window,regime,position_combination,path_mechanism,trading_days,market_return_sum,baseline_exposure,ex04_exposure,baseline_daily_return_sum,ex04_daily_return_sum,daily_return_delta_sum,log_wealth_delta
2021H1,warmup,both_cash,both_cash,11,0.021401506459358455,0.0,0.0,0.0022534435261709618,0.0022534435261709618,0.0,0.0
2021H1,warmup,baseline_only,late_entry,4,-0.005942501898986818,1.0,0.0,-0.006431515881254124,0.0,0.006431515881254124,0.0067564126559563585
2021H1,warmup,both_long,both_long,12,0.014020846717522573,1.0,1.0,0.014020846717522906,0.012123757942998248,-0.0018970887745246579,-0.0018936034902544336
2021H1,sideways,both_cash,both_cash,24,-0.15291024296560685,0.0,0.0,-0.002075256107171075,-0.002075256107170964,1.1102230246251565e-16,1.1102230246251565e-16
2021H1,downtrend,both_cash,both_cash,7,0.04469190385752175,0.0,0.0,0.0,0.0,0.0,0.0
2021H1,sideways,both_long,both_long,30,0.0688037706675444,1.0,1.0,0.06520964923073724,0.06520964923073813,8.881784197001252e-16,8.893710420898593e-16
2021H1,downtrend,baseline_only,late_entry,1,0.007751937984496138,1.0,0.0,0.005689105911440562,0.0,-0.005689105911440562,-0.005672984065429894
2021H1,downtrend,both_long,both_long,12,0.042131264469044916,1.0,1.0,0.042131264469044916,0.04162190376478181,-0.0005093607042631065,-0.0004998750416509079
2021H1,uptrend,both_long,both_long,16,0.06447779305349988,1.0,1.0,0.06447779305349988,0.06397007349135475,-0.0005077195621451258,-0.0004998750416503399
2021H1,uptrend,baseline_only,interrupted_holding,1,0.04586518415566343,1.0,0.0,0.04586518415566365,0.0008891591382904629,-0.04497602501737319,-0.04395570622513633
2021H2,uptrend,both_long,both_long,20,-0.11470487275315056,1.0,1.0,-0.11009554601492577,-0.10611149401714626,0.003984051997779514,0.0039414703657674795
2021H2,uptrend,baseline_only,interrupted_holding,1,0.022292993630573132,1.0,0.0,0.022292993630573132,-0.008776114649681532,-0.031069108280254665,-0.030862988771800097
2021H2,uptrend,both_cash,both_cash,15,0.05616778057381866,0.0,0.0,-0.012066656552402355,-0.012066656552402466,-1.1102230246251565e-16,-1.1188966420050406e-16
2021H2,uptrend,baseline_only,late_entry,4,0.01620636483590787,1.0,0.0,0.021294344703969847,0.0,-0.021294344703969847,-0.019940601253142908
2021H2,sideways,both_long,both_long,32,-0.08152424839809469,1.0,1.0,-0.08119260364775804,-0.08119260364775827,-2.220446049250313e-16,-2.09576279941448e-16
2021H2,sideways,both_cash,both_cash,17,0.0022031712580847795,0.0,0.0,-0.0013875620341115003,0.0006690672793836505,0.0020566293134951508,0.002075761841534766
2021H2,sideways,baseline_only,fully_missed_entry,6,-0.051745544840320346,1.0,0.0,-0.04662388802070838,0.0,0.04662388802070838,0.047350730121812665
2021H2,downtrend,both_cash,both_cash,9,0.03393037217187478,0.0,0.0,-0.005091206033267293,-0.0031510043041605984,0.0019402017291066942,0.001942086358583634
