symbol,configuration,qualifies,full_calmar_10bp,buyhold_calmar_10bp,full_max_drawdown_10bp,buyhold_max_drawdown_10bp,positive_all_internal_periods_10bp,full_annualized_return_30bp,entries,top2_positive_year_concentration
518880.SH,lookback=60;entry_score=0.5;exit_score=0,False,0.18262079134234288,0.3211527369286858,0.16983516303212787,0.22846975088967936,False,0.022901497577290764,23,0.5302288712233361
518800.SH,lookback=60;entry_score=0.5;exit_score=0,False,0.16342303201966812,0.31054492767426894,0.17286106581083183,0.23232682060390586,False,0.020878251155564742,21,0.5489158329058972
518880.SH,lookback=60;entry_score=1;exit_score=0,False,0.13692851814146706,0.3211527369286858,0.18255320563901922,0.22846975088967936,False,0.01943618757313903,16,0.5268242695832273
518800.SH,lookback=60;entry_score=1;exit_score=0,False,0.08095184087316001,0.31054492767426894,0.1985371832470143,0.23232682060390586,False,0.01056664802509899,16,0.5538366657192971
518880.SH,lookback=120;entry_score=0.5;exit_score=0,False,0.26083083126273915,0.3211527369286858,0.20543144253474177,0.22846975088967936,True,0.0485927204898442,14,0.5320260808478714
518800.SH,lookback=120;entry_score=0.5;exit_score=0,False,0.25456450947555137,0.31054492767426894,0.204294095341083,0.23232682060390586,True,0.04629437559667915,16,0.5268403846682821
518880.SH,lookback=120;entry_score=1;exit_score=0,False,0.23493067657192046,0.3211527369286858,0.21224881497557757,0.22846975088967936,True,0.047110351001943274,8,0.5668249366810428
518800.SH,lookback=120;entry_score=1;exit_score=0,True,0.3113146073568586,0.31054492767426894,0.17595791103406833,0.23232682060390586,True,0.05202889133335731,8,0.552020086798233
518880.SH,lookback=180;entry_score=0.5;exit_score=0,False,0.17186047214442174,0.3211527369286858,0.26099254698771457,0.22846975088967936,False,0.041735337435161224,9,0.6044293310524002
518800.SH,lookback=180;entry_score=0.5;exit_score=0,False,0.19409522971505172,0.31054492767426894,0.2586558916841182,0.23232682060390586,False,0.047065915314840945,9,0.6037548988738488
518880.SH,lookback=180;entry_score=1;exit_score=0,False,0.316843680444426,0.3211527369286858,0.1731031349386638,0.22846975088967936,True,0.053553514891961695,4,0.6652174938322274
518800.SH,lookback=180;entry_score=1;exit_score=0,False,0.32626705868093114,0.31054492767426894,0.1724137931034474,0.23232682060390586,True,0.05495795992276942,4,0.6617155986539089
