mechanical_rank,state_id,frequency,name,namespace,state_primary,forward_bias,minimum_event_count,coverage_years,minimum_year_sign_consistency,median_absolute_standardized_effect,net_return_h3,net_return_h5,net_return_h10,mfe_h5,mae_h5,exact_duplicate_group
27,STATE-4DA7918DF5A31038,daily,tas_macd_bs1_V230412,tas,顶背驰,NEGATIVE,15,5,0.8,0.4956244536665263,-0.0033499578322535,-0.0180488484571065,-0.0313243201889417,0.0205323946219266,-0.0342898008254382,0
28,STATE-61F3C892BCC3A484,30m,tas_first_bs_V230217,tas,一卖,POSITIVE,10,5,0.8,0.3682850207074629,0.0115247738270397,0.0105313887506292,0.0083832566844885,0.026590750496179,-0.013520354751468,0
29,STATE-0E6D884A913C64B2,30m,cxt_bi_trend_V230824,cxt,向上,POSITIVE,23,5,0.8,0.3270579005265498,0.0152540323480909,0.0120001440004357,0.0108750323049303,0.0410434137804562,-0.0179929181641166,0
30,STATE-700F04CD7023E8BF,daily,cxt_three_bi_V230618,cxt,向下扩张,POSITIVE,15,5,0.8,0.3206534223400996,0.0039094711498031,0.0110839114376408,0.0177208695680074,0.0304347144473205,-0.0181505317171832,0
31,STATE-7DCD3E067E06D550,daily,bar_accelerate_V221110,bar,上涨,POSITIVE,37,5,0.8,0.2947398938021076,0.0048320327012922,0.0073743262152556,0.0149714960234269,0.0225449200164793,-0.0173885230584662,0
32,STATE-5AAA708487E2581C,weekly,cci_decision_V240620,cci,开多,NEGATIVE,12,5,0.8,0.269308741022795,-0.0049774702413359,-0.0043004536620086,-0.0109702628752621,0.0178757170252338,-0.0285777724359567,0
33,STATE-D2250EED281520F0,daily,tas_macd_bc_V221201,tas,底部,POSITIVE,22,5,0.8,0.2692079202475563,0.0054164538785367,0.0122757186686537,0.0163625106507711,0.0306053561822448,-0.0211200082009798,0
34,STATE-8F144DCDA1C16DB3,daily,bar_bpm_V230227,bar,超弱,POSITIVE,12,4,0.75,0.8732289909502616,0.0134920316034534,0.0234272862638458,0.0364037773491699,0.0401864432464292,-0.0315753593550801,0
35,STATE-A52AA78D99B5F894,daily,tas_macd_bs1_V230411,tas,顶背驰,NEGATIVE,16,4,0.75,0.4773813072408524,-0.0009423834342206,-0.0170248886381618,-0.025357740310639,0.0201206295089526,-0.0320733748981913,0
36,STATE-621A885F4A67D2BD,daily,tas_macd_change_V221105,tas,6次,POSITIVE,15,4,0.75,0.4434157359962264,0.0241321661105966,0.0180515697298697,0.0266643211028518,0.0445519880964587,-0.0106737892015697,0
37,STATE-13346C527F6FCC00,30m,tas_cross_status_V230624,tas,0轴下金叉第4次,POSITIVE,12,4,0.75,0.335169976966853,0.0101517406767718,0.0088253069605157,0.0216096417943901,0.0330415543033533,-0.0212708525104692,0
38,STATE-B5BABE488B4E365F,weekly,tas_macd_dist_V230408,tas,第5层,POSITIVE,10,4,0.75,0.3195231021100599,0.0040481138563119,0.0025515967634778,0.0094859944734474,0.0193659284628266,-0.0143377821727398,0
39,STATE-D488B36B3F104DC6,daily,tas_macd_bs1_V230411,tas,底背驰,POSITIVE,16,4,0.75,0.2889978825131789,0.012673304108359,0.0094128273123065,0.007133845274158,0.0338437462917289,-0.0170435542956799,0
40,STATE-5BB01A8E1E13B8F6,daily,bar_bpm_V230227,bar,超强,POSITIVE,16,4,0.75,0.2774158160592853,0.0159663019826122,0.0096713275259479,0.0108735147562031,0.0389777444885033,-0.0229410853792241,0
41,STATE-8CAF85105166F373,weekly,tas_atr_V230630,tas,第2层,POSITIVE,16,4,0.75,0.1009667298589057,0.000757812087024,0.0027166317466829,0.0038641012668073,0.0170981375907288,-0.0149220832598517,0
42,STATE-93E2A060E54E1E3C,weekly,bar_vol_grow_V221112,bar,否,POSITIVE,11,6,0.6666666666666666,0.5247164216557252,0.0036233511644957,0.0130096634308653,0.0190715750001437,0.0283965527702266,-0.0140640464604552,0
43,STATE-C4BFCA1A40ECC1C8,daily,cvolp_up_dw_line_V230612,cvolp,看多,POSITIVE,15,6,0.6666666666666666,0.4966012487990974,0.0247521759588055,0.0415890262627108,0.0318853284249279,0.0647000085104674,-0.0134559578211269,0
44,STATE-6473E109993817ED,daily,tas_macd_second_bs_V221201,tas,二卖,POSITIVE,14,3,0.6666666666666666,0.4946522909991279,0.0066197909583673,0.0082734179754152,0.0236947364803229,0.0239966629891661,-0.0142779967688418,0
45,STATE-8DA28D2550043831,daily,tas_cross_status_V230625,tas,0轴下第0次金叉以后,POSITIVE,21,6,0.6666666666666666,0.4705467384886269,0.0099180376698973,0.0126585616854558,0.0070625288854954,0.0250584682679574,-0.0162375985558125,0
46,STATE-15168463749D96D3,daily,tas_cross_status_V230624,tas,0轴下金叉第0次,POSITIVE,18,6,0.6666666666666666,0.4643756847918853,0.0121546846760847,0.0131389602923399,0.0070277099857974,0.026202869920199,-0.0159280276096341,0
47,STATE-0ED96ECB508F459D,daily,tas_rumi_V230704,tas,空头,NEGATIVE,12,6,0.6666666666666666,0.4537981479880945,-0.0093657202207054,-0.0120206633422369,-0.0057359553698803,0.0136438359942664,-0.0277284688628949,0
48,STATE-2EF5B0D0DC932357,30m,cxt_overlap_V240612,cxt,支撑,NEGATIVE,34,6,0.6666666666666666,0.4484597977417948,-0.0112189168699572,-0.0168576239224114,-0.0281109930692669,0.0119863577348037,-0.0355368640718257,0
49,STATE-6D4CA981270883EA,30m,zdy_zs_space_V230421,zdy,上涨,POSITIVE,30,6,0.6666666666666666,0.3945139481677481,0.0068420589851818,0.008818175456574,0.0128152435495211,0.0224918265176753,-0.0110453018041,0
50,STATE-1CB10A7EF07EDDAB,weekly,bar_tnr_V230629,bar,第9层,NEGATIVE,15,6,0.6666666666666666,0.3926694833992,-0.0132380047532366,-0.0163660677404777,-0.0363886748696802,0.0143105669630791,-0.038731413519777,0
51,STATE-C854A44EAD6B03C6,daily,bar_window_ps_V230801,bar,最大N4,POSITIVE,24,6,0.6666666666666666,0.38687332990496,0.0033104503011949,0.00812970672122,0.0093338393286083,0.024270797685509,-0.017958320673728,0
52,STATE-D4A3C574C965D466,daily,cxt_bi_end_V230322,cxt,看多,NEGATIVE,40,6,0.6666666666666666,0.3712350563560154,-0.0078634653699201,-0.0113867501597536,-0.0054405417173724,0.0147712958673765,-0.0257471745114114,0
53,STATE-A25148D50F00D21F,daily,cxt_three_bi_V230618,cxt,向上收敛,NEGATIVE,18,6,0.6666666666666666,0.370196987654752,-0.0108101398041812,-0.0067975065349422,-0.0180202375063745,0.0192396241518975,-0.0297271737940687,0
54,STATE-4B2F02226AE0ADD5,30m,byi_bi_end_V230107,byi,看空,POSITIVE,47,6,0.6666666666666666,0.3549047313219712,0.0051119394545352,0.0083528822801464,0.01304994119763,0.0223872857654315,-0.0136561536376596,0
55,STATE-49875F659EBC7E1A,daily,pressure_support_V240402,pressure,压力位,NEGATIVE,44,6,0.6666666666666666,0.3330048687305562,-0.0031851658597585,-0.0058275936719591,-0.013788191076896,0.0172115977142349,-0.020108668994292,0
56,STATE-80AED3D5FDBC0801,30m,tas_second_bs_V230303,tas,二买,NEGATIVE,32,6,0.6666666666666666,0.3254683011437157,-0.010547360571644,-0.0089216615168395,-0.0102668761216341,0.0153422627930225,-0.0270732622457897,0
57,STATE-ABCE2C120C6F258E,daily,tas_macd_dist_V230410,tas,多头,POSITIVE,24,6,0.6666666666666666,0.3133445723219793,0.0125830907307308,0.0098883514044257,0.0150434756856217,0.0316244540467231,-0.0125563202648311,0
58,STATE-ACDA29A858FC99A4,daily,tas_dif_zero_V240614,tas,卖点,POSITIVE,12,6,0.6666666666666666,0.30887684367346,0.0030655386352942,0.006069247880322,0.012067907793392,0.0207037762027312,-0.0134958991327293,0
59,STATE-C4787519D7CB42DC,30m,jcc_ping_tou_V221113,jcc,顶部,POSITIVE,18,6,0.6666666666666666,0.3010125176080376,0.0152707603775864,0.0137864730688274,0.0141270793247389,0.0403297423108182,-0.0296303790716913,0
60,STATE-BBF26A578533E12D,30m,tas_boll_bc_V221118,tas,一卖,POSITIVE,13,6,0.6666666666666666,0.2960434976192708,0.0105990200825665,0.028806850549045,0.0181210394316393,0.0487399009693166,-0.0115440874107892,0
61,STATE-795E8120DD556FC3,daily,bar_decision_V240616,bar,看多,POSITIVE,18,6,0.6666666666666666,0.2827763498909201,0.007801700218874,0.0034072269277776,0.023643632146151,0.0323286452072529,-0.0223964908043654,0
62,STATE-C77A1ADF766FD342,30m,jcc_ta_xing_V221124,jcc,顶部,POSITIVE,22,6,0.6666666666666666,0.2810301842500596,0.0040542314594792,0.002565964684846,0.0085667611072036,0.0176966248897112,-0.0120604295725773,0
63,STATE-A089FC68496A0C00,30m,cmo_up_dw_line_V230605,cmo,看多,POSITIVE,28,6,0.6666666666666666,0.2804936907360495,0.011690576279556,0.0170895056849624,0.0057543180603003,0.0335250559180344,-0.0132265762722498,0
64,STATE-18D02C73BB283680,daily,cxt_five_bi_V230619,cxt,上颈线突破,NEGATIVE,36,6,0.6666666666666666,0.2759787889781616,-0.0087593977658523,-0.0054177313409573,-0.0113342848394065,0.0153326109933058,-0.0254057748009257,0
65,STATE-AF9A1F9EABF9C27C,daily,tas_boll_cc_V230312,tas,看多,POSITIVE,33,6,0.6666666666666666,0.2706685558746093,0.0101370554453662,0.0147732945132221,0.0124232403023034,0.0359770838496174,-0.0167230680880872,0
66,STATE-5FAA25E0D09ECFEA,30m,zdy_dif_V230527,zdy,多头远离,POSITIVE,20,6,0.6666666666666666,0.2656187626621363,0.0089489253231599,0.0082323256825761,0.0080147307322386,0.0306425506248179,-0.0155899877622516,0
67,STATE-32C078FF4F461D25,daily,tas_macd_power_V221108,tas,超弱,POSITIVE,31,6,0.6666666666666666,0.2552034505668796,0.0087670045949422,0.0082917843277628,0.0115636617672245,0.0244840883179306,-0.0173724361748838,0
68,STATE-B16AA5DCFA99C567,daily,vol_window_V230731,vol,高量N4,NEGATIVE,26,6,0.6666666666666666,0.253803499241717,-0.0079464449289886,-0.0063893762384327,-0.0033907715413894,0.0141073415535277,-0.0250578729894089,0
69,STATE-A62006E7921851AE,daily,tas_boll_vt_V230212,tas,看多,POSITIVE,44,6,0.6666666666666666,0.2481268701418081,0.0063949614538367,0.0107389956073509,0.0097744473228683,0.0263463914733956,-0.0128066546400342,0
70,STATE-2403DDB817E17EAD,daily,cxt_three_bi_V230618,cxt,向上奔走型,POSITIVE,25,6,0.6666666666666666,0.2458227418171229,0.0025052828522107,0.0084397935399417,0.0119411614286171,0.0253327465062893,-0.0145922133425787,0
71,STATE-79005186137ECB1F,daily,tas_macd_second_bs_V221201,tas,二买,POSITIVE,13,3,0.6666666666666666,0.24332229672694,0.00401045956777,0.0080886236542882,0.0025131334320833,0.027236380156349,-0.0154973927608909,0
72,STATE-C4911BABCA76B850,30m,cxt_three_bi_V230618,cxt,向上不重合,POSITIVE,41,6,0.6666666666666666,0.2360470237585917,0.0043008453474968,0.0075240128671714,0.012574742547662,0.0270563878457934,-0.0203611197791363,0
73,STATE-228A33B7F64BF69D,daily,tas_atr_V230630,tas,第8层,POSITIVE,49,6,0.6666666666666666,0.2356505541689143,0.0047185639532801,0.0110261302085212,0.0122289992267918,0.0295610793451314,-0.0182551737874,0
74,STATE-061DD04281DD407D,weekly,cxt_fx_power_V221107,cxt,中底,POSITIVE,12,6,0.6666666666666666,0.2327435834908539,0.0014352890466771,0.0049708189802027,0.0110068852347387,0.0194710056072776,-0.0159917507030824,0
75,STATE-E496EC015C77D43E,daily,bar_tnr_V230629,bar,第10层,POSITIVE,48,6,0.6666666666666666,0.2271316459731657,0.0039614991143798,0.0079161331403272,0.0127496143250828,0.0298509165079778,-0.0221784082245495,0
76,STATE-76FAACF6E2C060E4,30m,cxt_seven_bi_V230620,cxt,向上中枢完成,NEGATIVE,32,6,0.6666666666666666,0.2251470964046301,-0.0051525543352618,-0.0068655271510454,-0.0105515621201481,0.0162492564138638,-0.0252707475661433,0
77,STATE-F3BF419E22BFB64B,daily,cxt_range_oscillation_V230620,cxt,3笔震荡,NEGATIVE,34,6,0.6666666666666666,0.2234435545960319,-0.0059739085836561,-0.0047227167305432,-0.0176818894984726,0.0183326137650352,-0.0260993151638467,0
78,STATE-34437C2482B57CEC,daily,bar_volatility_V241013,bar,低波动,NEGATIVE,57,6,0.6666666666666666,0.2214979981230289,-0.0032779848879714,-0.0076399813998287,-0.0096455906633738,0.0150867118466387,-0.0246958613660382,0
79,STATE-7097838ECE7B2498,30m,cxt_double_zs_V230311,cxt,看多,POSITIVE,41,6,0.6666666666666666,0.2169119468658594,0.0048006842811004,0.0141839251311137,0.0077027057497911,0.0287706025615517,-0.0159342184199245,0
80,STATE-66B422A3C9BDA6F7,weekly,bar_tnr_V230629,bar,第6层,POSITIVE,23,6,0.6666666666666666,0.2128361002312477,0.0032526971378231,0.0021972546076937,0.007179975747878,0.0210017732917902,-0.0133793276639471,0
81,STATE-71728128404ED96A,30m,byi_bi_end_V230106,byi,看多,POSITIVE,10,6,0.6666666666666666,0.2106886686935311,0.0024348744981112,0.0066067744719773,0.012110397939607,0.024130279840578,-0.0232171856986449,0
82,STATE-DAE937C0F80EAA77,30m,cxt_bi_trend_V230824,cxt,横盘,POSITIVE,53,6,0.6666666666666666,0.2103129209791499,0.0051318730726316,0.0050988784821516,0.0146374529371247,0.0264433564409289,-0.0203312680486319,0
83,STATE-0E07D70FB531D8A8,daily,tas_rsi_base_V230227,tas,超卖,POSITIVE,33,6,0.6666666666666666,0.2049072987798562,0.0065995482157793,0.0095844730275541,0.0046493687390093,0.0297253677964447,-0.0276460777626765,0
84,STATE-EFFCC818A2955F30,30m,tas_cross_status_V230624,tas,0轴上金叉第4次,POSITIVE,18,6,0.6666666666666666,0.2018594490793187,0.0084551617752964,0.0058930852228932,0.0045049439082339,0.0258863340620585,-0.0163344545715975,0
85,STATE-4B9873F4BBB11AB4,daily,cci_decision_V240620,cci,开多,NEGATIVE,69,6,0.6666666666666666,0.1968905077791966,-0.0075558658488708,-0.0070587253590615,-0.0016364858043052,0.0171012156970665,-0.0310793896005461,0
86,STATE-6AFD3B30F3914C84,30m,tas_macd_base_V230320,tas,空头,POSITIVE,132,6,0.6666666666666666,0.1940813900563119,0.0042031879400688,0.0023063761335832,0.0077561781263824,0.0229758239030921,-0.0172066655768308,0
87,STATE-BB2D977D650F2966,daily,er_up_dw_line_V230604,er,均线上方,POSITIVE,33,6,0.6666666666666666,0.1898409394767455,0.0049113862126305,0.0109369544433605,0.0139753355374563,0.0302571848270299,-0.0172653719706465,0
88,STATE-0AECBCBE8BD62AF7,30m,amv_up_dw_line_V230603,amv,看多,POSITIVE,59,6,0.6666666666666666,0.1876926179470242,0.0042881527064745,0.007949520113309,0.0087010131513306,0.0242905121550281,-0.014766424690475,0
89,STATE-0CED3CFE239C45EA,weekly,jcc_szx_V221111,jcc,十字线,NEGATIVE,18,6,0.6666666666666666,0.1867673801889809,-0.0043434564034511,-0.0060112100435853,-0.0087231407876706,0.0176889617585974,-0.0245341490486186,0
90,STATE-9216121F37D8192B,30m,cxt_bi_end_V230322,cxt,看多,POSITIVE,53,6,0.6666666666666666,0.185236746590421,0.0040205950285458,0.0045011524229145,0.0079950118430273,0.0249369148357844,-0.0189376683019343,0
91,STATE-D06056F9A6F76F90,weekly,tas_atr_V230630,tas,第9层,POSITIVE,9,4,0.6666666666666666,0.1813940281187489,0.0035658948025464,0.0137256096832583,0.0068935902281385,0.0293616250537424,-0.0196782071872994,0
92,STATE-8785DE627FEC00D8,30m,tas_macd_dist_V230408,tas,第4层,NEGATIVE,112,6,0.6666666666666666,0.1793345306548952,-0.0033998042000933,-0.0050216599711001,-0.010045188215167,0.0169320981804282,-0.0248616071776415,0
93,STATE-C76CED992F51D7BD,daily,xl_bar_trend_V240330,xl,看多,POSITIVE,39,6,0.6666666666666666,0.1769875464655805,0.005181795879389,0.0090125307949045,0.0019616579410533,0.0271975084436826,-0.0147678542270848,0
94,STATE-2AF183C2E18FB45A,weekly,bar_bpm_V230227,bar,强势,NEGATIVE,27,6,0.6666666666666666,0.1761555101449781,-0.0045678274730342,-0.007789536543837,-0.0074108820149538,0.0157078979995169,-0.0239881308343538,0
95,STATE-D25D5D449AB68A58,30m,skdj_up_dw_line_V230611,skdj,看空,POSITIVE,23,6,0.6666666666666666,0.1756111439944028,0.0035339823541288,0.0077161991524912,0.0045454240776198,0.0240553153960045,-0.0141447581532006,0
96,STATE-120B77094C82ADB1,daily,tas_atr_V230630,tas,第5层,POSITIVE,49,6,0.6666666666666666,0.1745607394614266,0.0033545667832346,0.0004081978186603,0.0060071448079272,0.019015379718332,-0.0170623812759585,0
97,STATE-699466383FC83FBB,30m,bar_fake_break_V230204,bar,看多,POSITIVE,26,6,0.6666666666666666,0.1724635793934608,0.005712664575146,0.0106705228115389,0.0065256108593028,0.0315148587792756,-0.0174067302114012,0
98,STATE-38C449C3402A2F23,weekly,bar_tnr_V230629,bar,第3层,POSITIVE,25,6,0.6666666666666666,0.1723615920372805,0.00395786649553,0.0042863591456364,0.0050889210062266,0.0189146009987751,-0.0132395662116531,0
99,STATE-DDFCBF9CACFA9AB0,30m,tas_macd_xt_V221208,tas,多翻空,POSITIVE,83,6,0.6666666666666666,0.1720310105274761,0.0042336051606342,0.0044801007281713,0.0096917604192418,0.0258873703333683,-0.0182344529305483,0
100,STATE-ED428ABCD8C223DB,30m,cxt_three_bi_V230618,cxt,向上无背,POSITIVE,72,6,0.6666666666666666,0.1712749678451683,0.0059121654596099,0.0058424324359206,0.0086535120807465,0.025756689942586,-0.0155176252732646,0
101,STATE-EA7FFA4814A9876C,30m,cxt_three_bi_V230618,cxt,向下扩张,POSITIVE,50,6,0.6666666666666666,0.1678664209228336,0.002824599984037,0.0061601204650337,0.006474839968568,0.023803856923904,-0.0193347825545413,0
102,STATE-F7A10ECDA7281A09,30m,asi_up_dw_line_V230603,asi,看空,NEGATIVE,66,6,0.6666666666666666,0.167242955286025,-0.0050194004564478,-0.0050488693681611,-0.0042064521311541,0.0170551173778121,-0.0225104946000898,0
103,STATE-622B796367CDE162,30m,tas_macd_xt_V221208,tas,杀多棒,NEGATIVE,46,6,0.6666666666666666,0.1667100035833633,-0.0012313398091243,-0.0065204823890139,-0.0075592072145349,0.018983640130627,-0.0296578194071245,0
104,STATE-CE30311BE8AE9028,daily,cxt_bi_end_V230320,cxt,看空,POSITIVE,67,6,0.6666666666666666,0.1663782118804654,0.003062945969565,0.0043998472538623,0.0094267786927409,0.0226408022572425,-0.0172160798697785,0
105,STATE-337B12FF7362C773,weekly,bar_section_momentum_V221112,bar,下跌,POSITIVE,21,6,0.6666666666666666,0.1638744387724618,0.0026183217411704,0.000471292774743,0.0052684186488745,0.0184489344280493,-0.0177042967756522,0
106,STATE-0C05CFC7FBFB3B24,30m,bar_eight_V230702,bar,双中枢下跌,POSITIVE,55,6,0.6666666666666666,0.161949701083749,0.0049663976655688,0.0058824576886701,0.0065157843639051,0.0267895007568912,-0.0206653890711011,0
107,STATE-1E94A1E290BF5734,30m,tas_angle_V230802,tas,空头,NEGATIVE,22,6,0.6666666666666666,0.1603271731190548,-0.0018561730090214,-0.004572363593582,-0.0119630352164342,0.0174091414614727,-0.0216857604166768,0
108,STATE-735F671BAB509308,daily,bar_tnr_V230629,bar,第9层,POSITIVE,84,6,0.6666666666666666,0.1587816972742627,0.0054080380669707,0.0045003694936811,0.0066249305903667,0.027465160222425,-0.0233131552680585,0
109,STATE-8E5C30218C7DDE0B,30m,tas_macd_bc_V240307,tas,顶背驰,NEGATIVE,80,6,0.6666666666666666,0.1586619276971782,-0.0031687221016262,-0.0058556054877668,-0.0001931891196127,0.0162328599055373,-0.023256969460519,0
110,STATE-713682C36FBFB430,weekly,xl_bar_trend_V240623,xl,做空,POSITIVE,16,6,0.6666666666666666,0.157141601882231,0.003062264784295,0.0116631218110213,0.0106344888221613,0.0311156062905465,-0.0197074548621319,0
111,STATE-6A2A67E049881446,30m,cxt_decision_V240614,cxt,开空,POSITIVE,61,6,0.6666666666666666,0.1544641030730753,0.0051403521221236,0.0059098130860922,0.0116567926464738,0.0277238828636157,-0.0173145045384656,0
112,STATE-B45B800060FFF0AE,daily,cxt_bi_end_V230104,cxt,看多,NEGATIVE,24,6,0.6666666666666666,0.1518125888606307,-0.001266730032793,-0.0061359216973735,-0.0051624093740924,0.0163762002821894,-0.0195346634755877,0
113,STATE-DEFEC52222C5CFB3,weekly,bar_zfzd_V241014,bar,满足,NEGATIVE,35,6,0.6666666666666666,0.1496419094562956,-0.001733217199076,-0.0047651371987018,-0.0047863947041686,0.0158799189418326,-0.019929425108023,0
114,STATE-F502C87013426CEB,weekly,tas_double_ma_V230511,tas,看空,NEGATIVE,20,6,0.6666666666666666,0.1484283471731146,-0.0018953741137513,-0.0054001606428697,-8.827383233245834e-05,0.0188829527124989,-0.0193821127040745,0
115,STATE-3B3170D0AB0343F4,daily,tas_macd_bc_V221201,tas,顶部,NEGATIVE,44,6,0.6666666666666666,0.1480344472944016,-0.0027550880304263,-0.0038181609606971,-0.0080827185804063,0.0180937478337915,-0.0244225904864406,0
