symbol,year,trades,stress_mean
588080.SH,2021,35,0.000777269198984647
588080.SH,2022,69,-0.0022564230562719645
588080.SH,2023,60,-0.0020699795833370362
588080.SH,2024,70,0.00016841808708607816
588080.SH,2025,66,7.861514885902285e-05
588080.SH,2026,46,-0.0013874516233831325
510500.SH,2021,35,-3.953258328147021e-05
510500.SH,2022,74,0.0004065273399522066
510500.SH,2023,65,-0.0013274068935084577
510500.SH,2024,60,2.7640094611163884e-05
510500.SH,2025,67,-0.0006610499312953691
510500.SH,2026,44,-0.0023447183006605307
