feature,coverage,hypothesis_id,information_family,financial_role,formula,availability
rate_us_real_5y_level,0.9996404171161453,H01-REAL-RATE-OPPORTUNITY-COST,REAL_RATE,OPPORTUNITY,RealYield5YPercent,prior China session
rate_us_real_5y_change_5d,0.9978425026968716,H01-REAL-RATE-OPPORTUNITY-COST,REAL_RATE,OPPORTUNITY,diff(5),prior China session
rate_us_real_5y_change_20d,0.9924487594390508,H01-REAL-RATE-OPPORTUNITY-COST,REAL_RATE,OPPORTUNITY,diff(20),prior China session
rate_us_real_10y_level,0.9996404171161453,H01-REAL-RATE-OPPORTUNITY-COST,REAL_RATE,OPPORTUNITY,RealYield10YPercent,prior China session
rate_us_real_10y_change_5d,0.9978425026968716,H01-REAL-RATE-OPPORTUNITY-COST,REAL_RATE,OPPORTUNITY,diff(5),prior China session
rate_us_real_10y_change_20d,0.9924487594390508,H01-REAL-RATE-OPPORTUNITY-COST,REAL_RATE,OPPORTUNITY,diff(20),prior China session
rate_us_real_curve_10y_5y,0.9996404171161453,H01-REAL-RATE-OPPORTUNITY-COST,REAL_RATE_CURVE,RISK_CONTEXT,10Y minus 5Y real yield,prior China session
rate_us_real_10y_z120,0.9568500539374326,H01-REAL-RATE-OPPORTUNITY-COST,REAL_RATE,RISK_CONTEXT,"zscore(10Y,120)",prior China session
rate_shibor_overnight_level,1.0,H01-REAL-RATE-OPPORTUNITY-COST,DOMESTIC_LIQUIDITY,RISK_CONTEXT,SHIBOR overnight,T 12:00
rate_shibor_overnight_change_5d,0.9982020855807263,H01-REAL-RATE-OPPORTUNITY-COST,DOMESTIC_LIQUIDITY,RISK_CONTEXT,diff(5),T 12:00
rate_shibor_overnight_change_20d,0.9928083423229054,H01-REAL-RATE-OPPORTUNITY-COST,DOMESTIC_LIQUIDITY,RISK_CONTEXT,diff(20),T 12:00
currency_usdcnh_return_1d,0.9992808342322905,H02-CURRENCY-TRANSLATION,CURRENCY_TRANSLATION,OPPORTUNITY,USDCNH mid return 1d,prior China session
