factor,event_date
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2023-07-17
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2023-07-19
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2023-07-28
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2023-08-04
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2023-08-15
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2023-09-13
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2023-10-24
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2023-11-27
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2023-11-30
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2023-12-26
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2024-01-15
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2024-01-18
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2024-01-23
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2024-03-29
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2024-04-09
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2024-04-17
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2024-04-19
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2024-07-01
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2024-07-05
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2024-08-15
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2024-08-21
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2024-09-10
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2024-09-18
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2024-10-30
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2024-11-25
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2025-04-03
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2025-04-28
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2025-05-26
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2025-06-23
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2025-06-25
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,2025-11-17
