entry_year,size,mean
2021,31,-0.00010772401159551925
2022,48,-0.0006568796172908333
2023,46,-0.0014389196611252438
2024,56,0.0009261408504901068
2025,43,0.0018980951634824008
2026,33,0.001567728000699288
