mechanism_id,episodes,baseline_mean_return,stress_mean_return,stress_profit_factor,positive_years,recent_episodes,recent_stress_mean_return,opposite_stress_mean_return,random_percentile,random_median_return,random_p90_return,checks,evidence
LATE_PATH_SELLING,262,0.0029511349588518723,0.001988763738186499,1.2914932918316508,4,60,0.0042211232512219905,-0.003868374561194389,98.7,-0.0008394296790473232,0.0007660875590138178,"{""direction"": true, ""positive_years"": true, ""profit_factor"": true, ""random_control"": true, ""recent_mean"": true, ""stress_mean"": true}",FEASIBLE
LATE_VOLUME_PRESSURE,266,0.002751168164157105,0.0017889888195279594,1.2496302093428895,5,60,0.002616284476923684,-0.0036467905414880614,98.4,-0.0009032091465979255,0.0007238914756987515,"{""direction"": true, ""positive_years"": true, ""profit_factor"": true, ""random_control"": true, ""recent_mean"": true, ""stress_mean"": true}",FEASIBLE
CLOSE_VWAP_DISLOCATION,272,0.002141819182032281,0.0011802245318147525,1.1578300058432365,4,63,0.0015562861366665989,-0.003060768785043572,94.19999999999999,-0.000850037300924545,0.0007683874602481412,"{""direction"": true, ""positive_years"": true, ""profit_factor"": true, ""random_control"": true, ""recent_mean"": true, ""stress_mean"": true}",FEASIBLE
LATE_ACCELERATION,259,0.0007412425861368135,-0.0002190081555279982,0.971038696108288,1,52,-0.003321089204213135,-0.0017143096050309071,67.10000000000001,-0.0008331405806409696,0.00099762836761016,"{""direction"": true, ""positive_years"": false, ""profit_factor"": false, ""random_control"": false, ""recent_mean"": false, ""stress_mean"": false}",DIRECTION_FAIL
