candidate_id,period,max_drawdown,calmar,win_loss_ratio,win_loss_ratio_status,strategy_return,sharpe,trade_count,pareto_layer
0,full_2021_2026,-0.23072279847132016,0.9575801085647728,5.070468801536233,VALID,1.9694899816896903,0.9078891594797979,140,4
0,rolling_2021_2023,-0.23072279847132016,0.00878220712462795,2.30400888654446,VALID,0.005856755812779779,0.0933299662262917,77,17
0,rolling_2022_2024,-0.2245110384574629,0.3359303644071322,3.8347493170931295,VALID,0.2330341796983353,0.4038007001502954,75,11
0,rolling_2023_2025,-0.22451103845746312,0.9292990449878556,6.016370938447217,VALID,0.727499871167242,0.8144203355109694,79,4
0,rolling_2024_2026,-0.18483845171563495,2.835810086554982,7.792011270849618,VALID,1.95072430696362,1.443394720734058,64,2
1,full_2021_2026,-0.23072279847132016,0.8735544185181205,4.151054178877353,VALID,1.721327457702356,0.8433255160342982,134,11
1,rolling_2021_2023,-0.23072279847132016,0.10029689426712136,2.132915569096054,VALID,0.0682252175509721,0.22158108028746268,73,19
1,rolling_2022_2024,-0.21380540750845112,0.4667840818160822,3.4418213872601915,VALID,0.31529733351354583,0.49022196983794936,71,14
1,rolling_2023_2025,-0.2138054075084509,1.0232149361648033,5.040118222127966,VALID,0.769604853341237,0.8435327678727517,73,7
1,rolling_2024_2026,-0.18483845171563462,2.3756478979269966,6.065987833726283,VALID,1.5462490767641777,1.2652134602326117,62,14
2,full_2021_2026,-0.24783121480498949,0.7975431966521815,4.354986778768419,VALID,1.673601133017998,0.8234638120282795,150,12
2,rolling_2021_2023,-0.24046048456661984,0.03284927227550648,2.110738020485344,VALID,0.02295788756661299,0.12991972998981022,77,21
2,rolling_2022_2024,-0.24783121480498949,0.310201875361359,3.444689435012462,VALID,0.2378551517837948,0.4076658645122338,77,18
2,rolling_2023_2025,-0.24783121480498949,0.8369260027806338,5.335751271862845,VALID,0.7224679082342618,0.8083807048923709,81,9
2,rolling_2024_2026,-0.18565320588683332,2.4429203190124165,6.628877980920144,VALID,1.6122922878814276,1.283768137718539,74,11
3,full_2021_2026,-0.22236695886136038,0.8718022587962603,3.8988731944683264,VALID,1.6277212572313013,0.8190474363695136,156,13
3,rolling_2021_2023,-0.20338840003266,0.09176349577565,2.020086439690839,VALID,0.054795389717341214,0.1952728394009623,77,18
3,rolling_2022_2024,-0.22236695886136093,0.32478682402745,3.2952318518412453,VALID,0.2224993962024966,0.3928063792390738,81,19
3,rolling_2023_2025,-0.22236695886136026,0.8459970308530507,4.403534054453343,VALID,0.6442502914906727,0.7548013844998974,93,13
3,rolling_2024_2026,-0.18565320588683354,2.2980335667070193,5.5320051478942736,VALID,1.489969219441233,1.2361747075026843,80,19
4,full_2021_2026,-0.24046048456661984,0.9462177729494203,4.150073577487195,VALID,2.057969280214312,0.931321459366068,136,9
4,rolling_2021_2023,-0.24046048456661984,0.028999033995382055,1.8781008758618176,VALID,0.020249380836372177,0.12350084711768404,77,23
4,rolling_2022_2024,-0.1837461900416435,0.4934222965220667,3.1751210206039593,VALID,0.28406334833958335,0.4589882578055099,75,14
4,rolling_2023_2025,-0.18483845171563495,1.2176790536933149,4.090773296184087,VALID,0.7961442541802743,0.865894877559056,79,5
4,rolling_2024_2026,-0.18483845171563495,2.8846224270500715,6.553191441536843,VALID,1.995778401922561,1.4647097554461506,60,2
5,full_2021_2026,-0.3296322095996046,0.3709603095648383,3.536429513906908,VALID,0.8757369815306009,0.5645915961416266,148,25
5,rolling_2021_2023,-0.2968910537980175,-0.14511250608906348,1.743196672563166,VALID,-0.11930748678982894,-0.1807689870368875,81,31
5,rolling_2022_2024,-0.2734266731098822,0.19896178717488475,3.7460137347914046,VALID,0.16487462764203897,0.3267818557408849,79,17
5,rolling_2023_2025,-0.2734266731098822,0.5806823348745026,4.520765290727728,VALID,0.5297882961692113,0.658481310237039,73,17
5,rolling_2024_2026,-0.2263024021577732,1.5119490809835978,5.45614464039653,VALID,1.128778834403835,1.0256138694048622,68,24
6,full_2021_2026,-0.23072279847132016,0.9289193676684718,3.819481734256468,VALID,1.8828500803554244,0.8868186111714649,144,11
6,rolling_2021_2023,-0.23072279847132016,0.13035950859419987,1.9789618463097802,VALID,0.08925089643274275,0.2637642573502087,73,18
6,rolling_2022_2024,-0.1823154056517775,0.7240013458642521,3.6287107846933266,VALID,0.4293060520816221,0.6024368112411929,71,5
6,rolling_2023_2025,-0.20223972145745317,1.1751581214847988,4.943227978454965,VALID,0.8499127962503463,0.8992728032021385,81,6
6,rolling_2024_2026,-0.20223972145745306,2.2778156174606115,5.537393912497636,VALID,1.6453128338972252,1.312623559288302,72,20
7,full_2021_2026,-0.23072279847132016,0.8484143078145954,3.971491129649239,VALID,1.6504648978456538,0.8206889547724091,158,12
7,rolling_2021_2023,-0.23072279847132016,-0.0020705788097574096,1.8138450187762616,VALID,-0.0013775919367479128,0.07807273739043047,83,24
7,rolling_2022_2024,-0.2202577218338614,0.3622640549674982,3.109631445747043,VALID,0.24752892940870308,0.41932879360351405,83,18
7,rolling_2023_2025,-0.22025772183386183,0.8836088101733569,4.406140825597798,VALID,0.6703348194375669,0.773378165475316,91,12
7,rolling_2024_2026,-0.1856532058868332,2.489978640915487,6.36607004509031,VALID,1.652794796403184,1.305380552757617,76,10
8,full_2021_2026,-0.3048791417198149,0.46424608927099514,3.872270621187438,VALID,1.0580758852051284,0.6377667210008414,166,22
8,rolling_2021_2023,-0.23027896084427146,-0.1281291935152144,1.9122371846926707,VALID,-0.08277450334549863,-0.09897732650086721,89,23
8,rolling_2022_2024,-0.29280850310914885,0.13600999605338976,3.5462334922296104,VALID,0.11908106105131488,0.2731770479325457,87,21
8,rolling_2023_2025,-0.2928085031091491,0.5311735676459387,4.8200550787245335,VALID,0.517473687522386,0.6518011992867612,93,18
8,rolling_2024_2026,-0.20842291981367778,1.773724962366719,5.724244151815652,VALID,1.2426844533075707,1.1056527536174101,78,20
9,full_2021_2026,-0.22996893623984038,0.8841758494298397,4.394380521738739,VALID,1.7434314380578693,0.8495521429528907,148,9
9,rolling_2021_2023,-0.19988782627225332,0.1067860052488518,2.3874028521573893,VALID,0.06282585953336461,0.21183240670243472,73,12
9,rolling_2022_2024,-0.22996893623984094,0.33980149819699024,3.9652169701564763,VALID,0.24205256068822445,0.41463999753431297,77,10
9,rolling_2023_2025,-0.22996893623984116,0.8255624524807349,5.0385003842925675,VALID,0.6511744687588887,0.7602601149796324,89,10
9,rolling_2024_2026,-0.20223972145745328,2.2077995749654162,5.947521409485571,VALID,1.5799714819301123,1.2764566984124963,76,16
10,full_2021_2026,-0.23393905133030402,0.9317173695145008,4.290864731196117,VALID,1.9303112259784179,0.8966846305744337,136,8
10,rolling_2021_2023,-0.23393905133030402,0.13968007075746885,2.0144784782690457,VALID,0.09720058347286353,0.2789955522888492,73,17
10,rolling_2022_2024,-0.1823154056517775,0.7325125204414764,3.500390241090508,VALID,0.43495787840780276,0.6057556814858417,69,5
