factor,weight,active
state__raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N7,0.0,False
state__raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N8,0.0,False
state__raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N9,0.0,False
state__raw__weekly__cxt_bi_status_V230101::其他,0.0,False
state__raw__weekly__cxt_bi_status_V230101::向上,0.0,False
state__raw__weekly__cxt_bi_status_V230101::向下,0.0,False
interaction__bi_all_bull,0.0,False
interaction__bi_all_bear,0.0,False
interaction__trend_all_bull,0.0,False
interaction__trend_all_bear,0.0,False
