factor,type,origin_weight,raw_signal,primary,coverage,active_days,active_ratio
state__raw__daily__pressure_support_V240406__di_1__w_20::压力位,state,0.0,raw__daily__pressure_support_V240406__di_1__w_20,压力位,0.9759229534510433,97.0,0.07784911717495988
state__raw__daily__pressure_support_V240406__di_1__w_20::支撑位,state,0.0,raw__daily__pressure_support_V240406__di_1__w_20,支撑位,0.9759229534510433,117.0,0.09390048154093097
state__raw__daily__tas_atr_break_V230424__di_1::看多,state,0.0,raw__daily__tas_atr_break_V230424__di_1,看多,0.9759229534510433,40.0,0.03210272873194221
state__raw__daily__tas_atr_break_V230424__di_1::看空,state,0.0,raw__daily__tas_atr_break_V230424__di_1,看空,0.9759229534510433,42.0,0.033707865168539325
state__raw__daily__tas_boll_power_V221112__di_1::多头,state,0.0,raw__daily__tas_boll_power_V221112__di_1,多头,0.9759229534510433,553.0,0.4438202247191011
state__raw__daily__tas_boll_power_V221112__di_1::空头,state,0.0,raw__daily__tas_boll_power_V221112__di_1,空头,0.9759229534510433,656.0,0.5264847512038523
state__raw__daily__tas_kdj_base_V221101__di_1::多头,state,0.0,raw__daily__tas_kdj_base_V221101__di_1,多头,0.9759229534510433,619.0,0.4967897271268058
state__raw__daily__tas_kdj_base_V221101__di_1::空头,state,0.0,raw__daily__tas_kdj_base_V221101__di_1,空头,0.9759229534510433,597.0,0.47913322632423755
state__raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10::多头,state,0.0,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,多头,0.9759229534510433,569.0,0.456661316211878
state__raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10::空头,state,0.0,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,空头,0.9759229534510433,647.0,0.5192616372391653
state__raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20::多头,state,0.0,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,多头,0.9759229534510433,553.0,0.4438202247191011
state__raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20::空头,state,0.0,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,空头,0.9759229534510433,663.0,0.5321027287319422
state__raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5::多头,state,0.0,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,多头,0.9759229534510433,593.0,0.47592295345104335
state__raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5::空头,state,0.0,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,空头,0.9759229534510433,623.0,0.5
state__raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26::多头,state,0.0,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,多头,0.9759229534510433,559.0,0.44863563402889245
state__raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26::空头,state,0.0,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,空头,0.9759229534510433,657.0,0.5272873194221509
state__raw__daily__tas_macd_power_V221108__di_1::弱势,state,0.0,raw__daily__tas_macd_power_V221108__di_1,弱势,0.9759229534510433,252.0,0.20224719101123595
state__raw__daily__tas_macd_power_V221108__di_1::强势,state,0.0,raw__daily__tas_macd_power_V221108__di_1,强势,0.9759229534510433,322.0,0.25842696629213485
state__raw__daily__tas_macd_power_V221108__di_1::超弱,state,0.0,raw__daily__tas_macd_power_V221108__di_1,超弱,0.9759229534510433,385.0,0.3089887640449438
state__raw__daily__tas_macd_power_V221108__di_1::超强,state,0.0,raw__daily__tas_macd_power_V221108__di_1,超强,0.9759229534510433,237.0,0.19020866773675763
state__raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N10,state,0.0,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,高量N10,0.9759229534510433,480.0,0.3852327447833066
state__raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N3,state,0.0,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,高量N3,0.9759229534510433,30.0,0.024077046548956663
state__raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N4,state,0.0,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,高量N4,0.9759229534510433,55.0,0.044141252006420544
state__raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N5,state,0.0,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,高量N5,0.9759229534510433,58.0,0.04654895666131621
state__raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N6,state,0.0,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,高量N6,0.9759229534510433,84.0,0.06741573033707865
state__raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N7,state,0.0,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,高量N7,0.9759229534510433,129.0,0.10353130016051364
state__raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N8,state,0.0,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,高量N8,0.9759229534510433,143.0,0.11476725521669343
state__raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N9,state,0.0,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,高量N9,0.9759229534510433,215.0,0.1725521669341894
state__raw__weekly__cxt_bi_status_V230101::其他,state,0.0,raw__weekly__cxt_bi_status_V230101,其他,0.9574638844301766,110.0,0.08828250401284109
state__raw__weekly__cxt_bi_status_V230101::向上,state,0.0,raw__weekly__cxt_bi_status_V230101,向上,0.9574638844301766,526.0,0.42215088282504015
state__raw__weekly__cxt_bi_status_V230101::向下,state,0.0,raw__weekly__cxt_bi_status_V230101,向下,0.9574638844301766,557.0,0.44703049759229535
interaction__bi_all_bull,interaction,0.0,,,,,
interaction__bi_all_bear,interaction,0.0,,,,,
interaction__trend_all_bull,interaction,0.0,,,,,
interaction__trend_all_bear,interaction,0.0,,,,,
