period,signal_date,execution_date,side,size,price,fees,factor_event_id,event_type
2026Q1,2025-12-31,2026-01-05,Buy,716279.4768280691,1.3954054,499.75012493750546,InitialEntry:2026Q1:20251231,InitialEntry
2026Q1,2026-01-29,2026-01-30,Sell,716279.4768280691,1.5488798,554.7154064067821,FourLayer:20260129:Exit,Exit
2026Q1,2026-02-26,2026-02-27,Buy,731295.4655886787,1.5155596999999998,554.1609682193957,FourLayer:20260226:Entry,Entry
2026Q1,2026-03-11,2026-03-12,Sell,731295.4655886787,1.4418516,527.2097685658906,FourLayer:20260311:Exit,Exit
2026H1,2025-12-31,2026-01-05,Buy,716279.4768280691,1.3954054,499.75012493750546,InitialEntry:2026H1:20251231,InitialEntry
2026H1,2026-01-29,2026-01-30,Sell,716279.4768280691,1.5488798,554.7154064067821,FourLayer:20260129:Exit,Exit
2026H1,2026-02-26,2026-02-27,Buy,731295.4655886787,1.5155596999999998,554.1609682193957,FourLayer:20260226:Entry,Entry
2026H1,2026-03-11,2026-03-12,Sell,731295.4655886787,1.4418516,527.2097685658906,FourLayer:20260311:Exit,Exit
2026H1,2026-04-01,2026-04-02,Buy,791537.2965248809,1.3307846,526.6828222703189,FourLayer:20260401:Entry,Entry
2026H1,2026-06-01,2026-06-02,Sell,791537.2965248809,1.7215385,681.3309650767494,FourLayer:20260601:Exit,Exit
2026H1,2026-06-15,2026-06-16,Buy,751517.3879223346,1.8114018,680.6499746069312,FourLayer:20260615:Entry,Entry
2026M1-M8,2025-12-31,2026-01-05,Buy,716279.4768280691,1.3954054,499.75012493750546,InitialEntry:2026M1-M8:20251231,InitialEntry
2026M1-M8,2026-01-29,2026-01-30,Sell,716279.4768280691,1.5488798,554.7154064067821,FourLayer:20260129:Exit,Exit
2026M1-M8,2026-02-26,2026-02-27,Buy,731295.4655886787,1.5155596999999998,554.1609682193957,FourLayer:20260226:Entry,Entry
2026M1-M8,2026-03-11,2026-03-12,Sell,731295.4655886787,1.4418516,527.2097685658906,FourLayer:20260311:Exit,Exit
2026M1-M8,2026-04-01,2026-04-02,Buy,791537.2965248809,1.3307846,526.6828222703189,FourLayer:20260401:Entry,Entry
2026M1-M8,2026-06-01,2026-06-02,Sell,791537.2965248809,1.7215385,681.3309650767494,FourLayer:20260601:Exit,Exit
2026M1-M8,2026-06-15,2026-06-16,Buy,751517.3879223346,1.8114018,680.6499746069312,FourLayer:20260615:Entry,Entry
2026M1-M8,2026-07-13,2026-07-14,Sell,751517.3879223346,2.0476716,769.430406077374,FourLayer:20260713:Exit,Exit
2026M1-M8,2026-08-04,2026-08-05,Buy,923319.5555497821,1.6649953000000002,768.6613601942081,FourLayer:20260804:Entry,Entry
2026M1-M8,2026-08-14,2026-08-17,Sell,923319.5555497821,1.7750526,819.4703888547426,FourLayer:20260814:Exit,Exit
2026M1-M8,2026-08-17,2026-08-18,Buy,886590.1553144635,1.8467413,818.6513279962819,FourLayer:20260817:Entry,Entry
2026M1-M8,2026-08-20,2026-08-21,Sell,886590.1553144635,1.7043736,755.5404273689356,FourLayer:20260820:Exit,Exit
