fee_rate_one_way,variant,cagr,total_return,maximum_drawdown,calmar,closed_trades,order_count,rolling_60_closed_trades_median,rolling_60_closed_trades_p10,exposure_ratio
0.0005,ORIGINAL,0.26339264295125697,2.577879669447525,-0.1958398099707267,1.3449392286002921,160,320,7.0,4.0,0.3930131004366812
0.0005,MINIMUM_HOLD_3,0.21255692208040555,1.860065160132062,-0.32760348328163647,0.6488237547146992,139,279,6.0,4.0,0.4978165938864629
0.0015,ORIGINAL,0.19137804285064486,1.5980729760680914,-0.2732224845089798,0.7004476340758661,160,320,7.0,4.0,0.3930131004366812
0.0015,MINIMUM_HOLD_3,0.1520709063933139,1.1637549291962714,-0.39280614205912456,0.3871398384865999,139,279,6.0,4.0,0.4978165938864629
