mechanism,family,quantile,raw_events,independent_events,rolling_60_median,rolling_60_p10,rolling_60_minimum,rolling_60_maximum,density_pass
SEMI_BROAD_RISK_ON_Q50,SEMI_BROAD_RISK_ON,0.5,458,218,11.0,9.0,7.0,14.0,True
SEMI_BROAD_RISK_ON_Q60,SEMI_BROAD_RISK_ON,0.6,434,212,10.0,9.0,7.0,14.0,True
SEMI_SPECIFIC_RISK_ON_Q50,SEMI_SPECIFIC_RISK_ON,0.5,418,211,10.0,9.0,7.0,14.0,True
SEMI_SPECIFIC_RISK_ON_Q60,SEMI_SPECIFIC_RISK_ON,0.6,391,204,10.0,8.0,7.0,14.0,True
SEMI_SPECIFIC_RISK_ON_Q70,SEMI_SPECIFIC_RISK_ON,0.7,320,186,9.0,7.0,5.0,14.0,True
SEMI_BROAD_RISK_ON_Q70,SEMI_BROAD_RISK_ON,0.7,349,191,9.0,7.0,6.0,14.0,True
