path_id,panel,horizon_sessions,combiner,smoothing_sessions,entry_quantile,entry_threshold,information_families,components,weights_json,full_total_return,full_cagr,full_maximum_drawdown,full_calmar,full_closed_trades,full_rolling_60_closed_trades_median,full_rolling_60_closed_trades_p10,full_exposure_ratio,full_profit_factor,full_positive_years,full_annual_returns_json,discovery_total_return,discovery_cagr,discovery_maximum_drawdown,discovery_calmar,discovery_closed_trades,discovery_rolling_60_closed_trades_median,discovery_rolling_60_closed_trades_p10,discovery_exposure_ratio,discovery_profit_factor,discovery_positive_years,discovery_annual_returns_json,confirmation_total_return,confirmation_cagr,confirmation_maximum_drawdown,confirmation_calmar,confirmation_closed_trades,confirmation_rolling_60_closed_trades_median,confirmation_rolling_60_closed_trades_p10,confirmation_exposure_ratio,confirmation_profit_factor,confirmation_positive_years,confirmation_annual_returns_json,hard_gates_pass
STABLE:H5:POSITIVE_RIDGE_A10:S1:Q70,STABLE,5,POSITIVE_RIDGE_A10,1,0.7,0.0031337902714256697,8,205,"{""MARKET_BREADTH"": 0.0009107325363566165, ""MARKET_MICROSTRUCTURE"": 0.0003161672261297012, ""MARKET_STRUCTURE"": 0.0052869881767337625, ""POSITION_RISK"": 0.0, ""POSITION_VALUATION"": 0.004730871315170773, ""TREND_MOMENTUM"": 0.003023722861020046, ""VOLATILITY_RISK"": 0.0038773233440241787, ""VOLUME_LIQUIDITY"": 0.0015332129416648368}",3.2036493491870406,0.2930489528675604,-0.18140382862351878,1.6154507602799677,164,7.0,3.0,0.29332386363636365,2.6304817858751863,6,"{""2020"": 0.0, ""2021"": 0.004925223164395698, ""2022"": 0.20152552073494934, ""2023"": 0.08379230642967506, ""2024"": 0.5030198081932442, ""2025"": 0.4586853124085828, ""2026"": 0.4651677715519915}",0.30861776122514595,0.09771809405240384,-0.1790998153580845,0.5456068944405692,89,7.0,3.0,0.2998624484181568,1.5280248603357787,3,"{""2021"": 0.004925223164395698, ""2022"": 0.20152552073494934, ""2023"": 0.08379230642967506}",2.212282053432871,0.575428992022158,-0.1814038286235189,3.17208846355933,75,7.0,4.0,0.30139103554868624,4.093425637338474,3,"{""2024"": 0.5030198081932442, ""2025"": 0.4586853124085828, ""2026"": 0.4651677715519915}",True
STABLE:H1:POSITIVE_RIDGE_A10:S1:Q70,STABLE,1,POSITIVE_RIDGE_A10,1,0.7,0.0013456762605878476,9,146,"{""FUND_FLOW"": 0.0, ""MARKET_BREADTH"": 0.0, ""MARKET_MICROSTRUCTURE"": 0.0004392743580290886, ""MARKET_STRUCTURE"": 0.001795163091217307, ""POSITION_RISK"": 0.0, ""POSITION_VALUATION"": 0.0014232010810390425, ""TREND_MOMENTUM"": 0.0014350477755738738, ""VOLATILITY_RISK"": 0.0012428330537949915, ""VOLUME_LIQUIDITY"": 0.0009559890665061971}",2.544808469014457,0.25419370286199805,-0.11047386111826363,2.30093979054358,265,12.0,8.0,0.2961647727272727,1.9648290143570235,6,"{""2020"": 0.0, ""2021"": 0.11204002408019331, ""2022"": 0.24856800279437086, ""2023"": 0.31883672251562434, ""2024"": 0.13356030049863565, ""2025"": 0.1128525494010224, ""2026"": 0.5345705910437639}",0.8311488598443801,0.233297625940859,-0.11047386111826363,2.1117902785267098,133,11.0,8.0,0.2998624484181568,2.0623010782686446,3,"{""2021"": 0.11204002408019331, ""2022"": 0.24856800279437086, ""2023"": 0.31883672251562434}",0.9358385037662724,0.2933993599388218,-0.09812784390307483,2.9899705146749707,132,12.0,8.0,0.3075734157650695,1.8910311549194962,3,"{""2024"": 0.13356030049863565, ""2025"": 0.1128525494010224, ""2026"": 0.5345705910437639}",True
STABLE:H3:POSITIVE_RIDGE_A10:S3:Q70,STABLE,3,POSITIVE_RIDGE_A10,3,0.7,0.0007985114488966096,8,194,"{""MARKET_BREADTH"": 0.0009432172243016067, ""MARKET_MICROSTRUCTURE"": 0.0, ""MARKET_STRUCTURE"": 0.00315792536619953, ""POSITION_RISK"": 0.0, ""POSITION_VALUATION"": 0.0029812886522936756, ""TREND_MOMENTUM"": 0.002055175417070893, ""VOLATILITY_RISK"": 0.0017669060647127967, ""VOLUME_LIQUIDITY"": 0.0012388371774812632}",5.153051456147768,0.384296988281114,-0.15966206944911143,2.4069397923193008,92,4.0,2.0,0.34517045454545453,4.316468832115638,6,"{""2020"": 0.0, ""2021"": 0.09762197577600862, ""2022"": 0.29624668910398144, ""2023"": 0.0952446593976688, ""2024"": 0.6800322518298196, ""2025"": 0.20382570225923535, ""2026"": 0.9523501881308651}",0.5583018915897628,0.16621553073219064,-0.14147219000689537,1.174898972894173,45,4.0,2.0,0.2998624484181568,2.6108818228195294,3,"{""2021"": 0.09762197577600862, ""2022"": 0.29624668910398144, ""2023"": 0.0952446593976688}",2.9485618860864493,0.7072887501635803,-0.12736731723302164,5.553141618501535,47,4.0,2.0,0.4142194744976816,5.82027699272969,3,"{""2024"": 0.6800322518298196, ""2025"": 0.20382570225923535, ""2026"": 0.9523501881308651}",False
STABLE:H3:POSITIVE_RIDGE_A10:S3:Q50,STABLE,3,POSITIVE_RIDGE_A10,3,0.5,-0.0018825840261580337,8,194,"{""MARKET_BREADTH"": 0.0009432172243016067, ""MARKET_MICROSTRUCTURE"": 0.0, ""MARKET_STRUCTURE"": 0.00315792536619953, ""POSITION_RISK"": 0.0, ""POSITION_VALUATION"": 0.0029812886522936756, ""TREND_MOMENTUM"": 0.002055175417070893, ""VOLATILITY_RISK"": 0.0017669060647127967, ""VOLUME_LIQUIDITY"": 0.0012388371774812632}",4.417057730599782,0.3530909321991167,-0.2206654991243432,1.6001184308388547,101,5.0,2.0,0.5603693181818182,2.8235555328684576,6,"{""2020"": -0.010269010157182623, ""2021"": 0.22245272908388247, ""2022"": 0.32064233246782137, ""2023"": 0.10115419613727061, ""2024"": 0.5240620912780869, ""2025"": 0.4552143931449153, ""2026"": 0.38819739793789676}",0.7768586054737552,0.2204982776331279,-0.19399598157249054,1.1366126032395896,56,5.0,2.0,0.5006877579092159,2.2166978349658115,3,"{""2021"": 0.22185457031747902, ""2022"": 0.32064233246782137, ""2023"": 0.10115419613727061}",2.0787956791572895,0.5495994079588824,-0.2206654991243433,2.4906449360676333,45,4.0,2.0,0.60741885625966,3.41762224820063,3,"{""2024"": 0.5240620912780869, ""2025"": 0.4552143931449153, ""2026"": 0.38819739793789676}",False
STABLE:H5:POSITIVE_RIDGE_A10:S3:Q60,STABLE,5,POSITIVE_RIDGE_A10,3,0.6,-7.867498197061409e-05,8,205,"{""MARKET_BREADTH"": 0.0009107325363566165, ""MARKET_MICROSTRUCTURE"": 0.0003161672261297012, ""MARKET_STRUCTURE"": 0.0052869881767337625, ""POSITION_RISK"": 0.0, ""POSITION_VALUATION"": 0.004730871315170773, ""TREND_MOMENTUM"": 0.003023722861020046, ""VOLATILITY_RISK"": 0.0038773233440241787, ""VOLUME_LIQUIDITY"": 0.0015332129416648368}",4.379732629432319,0.35141755351004544,-0.18140382862351856,1.9372113376910558,91,4.0,2.0,0.3913352272727273,3.527371230905414,6,"{""2020"": -0.03098082252038392, ""2021"": 0.09122469937166566, ""2022"": 0.3316026712152711, ""2023"": 0.013781307981706181, ""2024"": 0.4762092517388954, ""2025"": 0.45628084051629325, ""2026"": 0.7530816206358839}",0.4731030362231772,0.14370664839562552,-0.17171113581276687,0.8369093111836536,53,5.0,1.0,0.40027510316368636,1.8350541827716185,3,"{""2021"": 0.09122469937166566, ""2022"": 0.3316026712152711, ""2023"": 0.013781307981706181}",2.768731479098038,0.6765721197636709,-0.18140382862351867,3.7296463084459655,37,3.0,2.0,0.37094281298299847,8.472349681370794,3,"{""2024"": 0.4762092517388954, ""2025"": 0.45628084051629325, ""2026"": 0.7530816206358839}",False
STABLE:H5:POSITIVE_RIDGE_A10:S3:Q70,STABLE,5,POSITIVE_RIDGE_A10,3,0.7,0.002264566154743399,8,205,"{""MARKET_BREADTH"": 0.0009107325363566165, ""MARKET_MICROSTRUCTURE"": 0.0003161672261297012, ""MARKET_STRUCTURE"": 0.0052869881767337625, ""POSITION_RISK"": 0.0, ""POSITION_VALUATION"": 0.004730871315170773, ""TREND_MOMENTUM"": 0.003023722861020046, ""VOLATILITY_RISK"": 0.0038773233440241787, ""VOLUME_LIQUIDITY"": 0.0015332129416648368}",4.346559034583939,0.34992227744038673,-0.1883075949221381,1.8582483493832176,70,3.0,1.0,0.2819602272727273,4.372667128990766,6,"{""2020"": 0.0, ""2021"": 0.04727657408509511, ""2022"": 0.2488906772824433, ""2023"": 0.05909693027727281, ""2024"": 0.6162984406851835, ""2025"": 0.34985434978611085, ""2026"": 0.769067402379721}",0.38522883135635033,0.11958121568140401,-0.1883075949221381,0.6350312940423287,45,3.0,1.0,0.2998624484181568,1.8539203631130403,3,"{""2021"": 0.04727657408509511, ""2022"": 0.2488906772824433, ""2023"": 0.05909693027727281}",2.8596937296986775,0.6922185059855359,-0.1814038286235189,3.8158979953071963,25,2.0,1.0,0.27666151468315303,11.904483121613158,3,"{""2024"": 0.6162984406851835, ""2025"": 0.34985434978611085, ""2026"": 0.769067402379721}",False
STABLE:H3:POSITIVE_RIDGE_A10:S3:Q60,STABLE,3,POSITIVE_RIDGE_A10,3,0.6,-0.0009264921299956862,8,194,"{""MARKET_BREADTH"": 0.0009432172243016067, ""MARKET_MICROSTRUCTURE"": 0.0, ""MARKET_STRUCTURE"": 0.00315792536619953, ""POSITION_RISK"": 0.0, ""POSITION_VALUATION"": 0.0029812886522936756, ""TREND_MOMENTUM"": 0.002055175417070893, ""VOLATILITY_RISK"": 0.0017669060647127967, ""VOLUME_LIQUIDITY"": 0.0012388371774812632}",4.157779687103441,0.34126516892145475,-0.2052268661883111,1.6628679044795152,98,4.0,2.0,0.4552556818181818,2.750129004665833,6,"{""2020"": 0.0, ""2021"": 0.16622773678052538, ""2022"": 0.2850767188509009, ""2023"": 0.09123463738696569, ""2024"": 0.6055459460200521, ""2025"": 0.41195431262595417, ""2026"": 0.3911976657233942}",0.6354247449369359,0.18590734708442547,-0.2052268661883111,0.9058626218744746,54,5.0,2.0,0.40027510316368636,2.1005814383765506,3,"{""2021"": 0.16622773678052538, ""2022"": 0.2850767188509009, ""2023"": 0.09123463738696569}",2.15378601373817,0.5641922844396141,-0.18140382862351867,3.1101454071872197,44,4.0,2.0,0.5409582689335394,3.288969298433981,3,"{""2024"": 0.6055459460200521, ""2025"": 0.41195431262595417, ""2026"": 0.3911976657233942}",False
STABLE:H5:POSITIVE_RIDGE_A10:S3:Q50,STABLE,5,POSITIVE_RIDGE_A10,3,0.5,-0.0021536358638034217,8,205,"{""MARKET_BREADTH"": 0.0009107325363566165, ""MARKET_MICROSTRUCTURE"": 0.0003161672261297012, ""MARKET_STRUCTURE"": 0.0052869881767337625, ""POSITION_RISK"": 0.0, ""POSITION_VALUATION"": 0.004730871315170773, ""TREND_MOMENTUM"": 0.003023722861020046, ""VOLATILITY_RISK"": 0.0038773233440241787, ""VOLUME_LIQUIDITY"": 0.0015332129416648368}",4.152340708254808,0.3410119155722753,-0.260507981005237,1.3090267494162489,97,4.0,2.0,0.48863636363636365,3.0681105147439163,6,"{""2020"": -0.0437931913988403, ""2021"": 0.23060786811735112, ""2022"": 0.2690212511167298, ""2023"": 0.02914766033234062, ""2024"": 0.49834415401985366, ""2025"": 0.4779688321987483, ""2026"": 0.5139433173261805}",0.6071864913363476,0.17876911819377517,-0.260507981005237,0.6862327883543091,50,4.0,1.0,0.5006877579092159,2.012310773665589,3,"{""2021"": 0.23060786811735112, ""2022"": 0.2690212511167298, ""2023"": 0.02914766033234062}",2.3526364986375223,0.6018902252456817,-0.18140382862351867,3.3179576738417733,45,4.0,2.0,0.4652241112828439,5.082597903002681,3,"{""2024"": 0.49834415401985366, ""2025"": 0.4779688321987483, ""2026"": 0.5139433173261805}",False
STABLE:H3:POSITIVE_RIDGE_A10:S1:Q50,STABLE,3,POSITIVE_RIDGE_A10,1,0.5,-0.0017721844368172993,8,194,"{""MARKET_BREADTH"": 0.0009432172243016067, ""MARKET_MICROSTRUCTURE"": 0.0, ""MARKET_STRUCTURE"": 0.00315792536619953, ""POSITION_RISK"": 0.0, ""POSITION_VALUATION"": 0.0029812886522936756, ""TREND_MOMENTUM"": 0.002055175417070893, ""VOLATILITY_RISK"": 0.0017669060647127967, ""VOLUME_LIQUIDITY"": 0.0012388371774812632}",3.4009837734589796,0.30370935596751325,-0.2551377693440099,1.1903739565819158,236,10.0,7.0,0.5497159090909091,1.9196770440054889,6,"{""2020"": -0.060754548695378, ""2021"": 0.05638691814463059, ""2022"": 0.146728539719857, ""2023"": 0.07946726113468139, ""2024"": 0.6135193541970756, ""2025"": 0.34736361113333203, ""2026"": 0.64823283888235}",0.30701494722949163,0.09725186307614386,-0.25513776934400967,0.3811739176296409,122,10.0,7.0,0.5006877579092159,1.3443401414919405,3,"{""2021"": 0.05587001709744177, ""2022"": 0.146728539719857, ""2023"": 0.07946726113468139}",2.5832536816781193,0.6439383978437516,-0.181403828623519,3.549750866505499,114,11.0,6.0,0.5811437403400309,2.563621696328093,3,"{""2024"": 0.6135193541970756, ""2025"": 0.34736361113333203, ""2026"": 0.64823283888235}",False
STABLE:H5:POSITIVE_RIDGE_A10:S1:Q60,STABLE,5,POSITIVE_RIDGE_A10,1,0.6,0.0005616605939110113,8,205,"{""MARKET_BREADTH"": 0.0009107325363566165, ""MARKET_MICROSTRUCTURE"": 0.0003161672261297012, ""MARKET_STRUCTURE"": 0.0052869881767337625, ""POSITION_RISK"": 0.0, ""POSITION_VALUATION"": 0.004730871315170773, ""TREND_MOMENTUM"": 0.003023722861020046, ""VOLATILITY_RISK"": 0.0038773233440241787, ""VOLUME_LIQUIDITY"": 0.0015332129416648368}",3.216700446910589,0.2937665498205204,-0.20942400642416337,1.4027357934578488,209,9.0,5.0,0.4005681818181818,2.153269794274796,6,"{""2020"": -0.00954857394868136, ""2021"": 0.09567790200041282, ""2022"": 0.14419516948853262, ""2023"": 0.05905361648510987, ""2024"": 0.551963740383536, ""2025"": 0.25868778016975047, ""2026"": 0.6414929499543496}",0.3277030725331913,0.10324123095918947,-0.2094240064241637,0.4929770598986942,116,10.0,4.0,0.40027510316368636,1.420610875695626,3,"{""2021"": 0.09567790200041282, ""2022"": 0.14419516948853262, ""2023"": 0.05905361648510987}",2.206554369138461,0.57433428718484,-0.18777129185967822,3.0586906097128037,92,8.0,5.0,0.42040185471406494,2.9757960649079194,3,"{""2024"": 0.551963740383536, ""2025"": 0.25868778016975047, ""2026"": 0.6414929499543496}",False
