prototype_id,runtime_sha256,input_requirement_count,prepared_input_count,advanced_input_ranges,history_rows,target_states,target_transitions,primary_decisions,primary_orders,primary_fills,stress_decisions,stress_orders,stress_fills
S008-P01-COMPOSITE-GATE,f809232a1a6266a74985bff7c437889de2564f2db17fbebc48b91b30cecf8860,8,8,7,521,0|1,8,521,9,8,521,9,8
S008-P02-REGIME-RECOVERY,72dfa727dba151120d6ca08489ccb86436465db70a7e90e9857a4e38d5f6a9a3,8,8,7,521,0|1,12,521,13,12,521,13,12
S008-P03-SAFE-HAVEN-PULSE,d7c8c24194c84c84e719c5e2429d104d38d2549402d76ee844fd31e5ac5d71a0,8,8,7,521,0|1,33,521,33,33,521,33,33
