candidate_id,cooldown_days,reentry_gate,pass_count,min_return_delta,min_sharpe_delta,mean_return_delta,mean_sharpe_delta,complexity,2023_return,2023_sharpe,2023_return_delta,2023_sharpe_delta,2023_pass,2024_return,2024_sharpe,2024_return_delta,2024_sharpe_delta,2024_pass,2025_return,2025_sharpe,2025_return_delta,2025_sharpe_delta,2025_pass
cooldown0_gate-trend,0,trend,1,-0.04689533287511316,-0.11476861180952813,-0.012251441634997326,-0.031618167933650264,1,-0.058154367032038135,-0.39368011847166445,0.0021647406052498486,-0.0038023694224498805,False,0.07619129808244685,0.4534348009354132,0.007976267364871337,0.023716477431027227,True,0.46968440250216714,2.078763524280942,-0.04689533287511316,-0.11476861180952813,False
cooldown2_gate-structure,2,structure,1,-0.20406304436513256,-1.1480266175534832,-0.08457972984322022,-0.5719172313181513,3,-0.13261343499626677,-1.0593467620628216,-0.07229432735897878,-0.6694690130136071,False,-0.13584801364755705,-0.7183082940490972,-0.20406304436513256,-1.1480266175534832,False,0.539197917571731,2.2952760727031065,0.022618182194450664,0.10174393661263625,True
cooldown3_gate-structure,3,structure,1,-0.21819786656817008,-1.2817183013568023,-0.09299564536427703,-0.6350079849301052,4,-0.13293090078215652,-1.09304102264626,-0.07261179314486854,-0.7031632735970453,False,-0.14998283585059458,-0.8519999778524164,-0.21819786656817008,-1.2817183013568023,False,0.5284024589974878,2.2733897562540024,0.011822723620207531,0.07985762016353215,True
cooldown0_gate-structure,0,structure,1,-0.22035234226561096,-1.238703549077163,-0.07872831552886295,-0.502615276382341,1,-0.10307305840988878,-0.779370712450212,-0.0427539507726008,-0.3894929634009975,False,-0.15213731154803545,-0.8089852255727771,-0.22035234226561096,-1.238703549077163,False,0.5435010818289032,2.3138828194216075,0.02692134645162292,0.12035068333113719,True
cooldown0_gate-none,0,none,0,0.0,0.0,0.0,0.0,0,-0.06031910763728798,-0.3898777490492146,0.0,0.0,False,0.06821503071757551,0.429718323504386,0.0,0.0,False,0.5165797353772803,2.1935321360904703,0.0,0.0,False
cooldown2_gate-trend,2,trend,0,-0.04140447468851205,-0.15350566220833117,-0.023643187942799515,-0.09017439145292182,3,-0.07519613187054663,-0.5433834112575457,-0.014877024233258651,-0.15350566220833117,False,0.053566965810947664,0.38538309532163834,-0.014648064906627845,-0.044335228182747655,False,0.47517526068876825,2.1208498521227837,-0.04140447468851205,-0.07268228396768661,False
cooldown2_gate-none,2,none,0,-0.0447563820090372,-0.39152220059043086,-0.026576736415611795,-0.15975377055506176,2,-0.10507548964632518,-0.7813999496396454,-0.0447563820090372,-0.39152220059043086,False,0.03516388836893536,0.32937506702046504,-0.03305114234864015,-0.10034325648392095,False,0.5146570504881223,2.206136281499637,-0.0019226848891580328,0.012604145409166545,False
cooldown8_gate-trend,8,trend,0,-0.06116652391819821,-0.3966260577404912,-0.035272861002183596,-0.1847186850505266,9,-0.09870063503500259,-0.7865038067897058,-0.03838152739771461,-0.3966260577404912,False,0.06194449902693755,0.4091211658674488,-0.006270531690637959,-0.020597157636937202,False,0.4554132114590821,2.056599296316319,-0.06116652391819821,-0.13693283977415138,False
cooldown3_gate-none,3,none,0,-0.06329105455911943,-0.40816386082508904,-0.03678411182591782,-0.19440140357129498,3,-0.1045559089410838,-0.7980416098743036,-0.044236801303795814,-0.40816386082508904,False,0.004923976158456078,0.23223723851286424,-0.06329105455911943,-0.19748108499152175,False,0.5137552557624421,2.215972871193196,-0.0028244796148382267,0.022440735102725817,False
cooldown8_gate-none,8,none,0,-0.06792555186994775,-0.36269703757501504,-0.03929673334771355,-0.18934980592262188,8,-0.09614254790643606,-0.7525747866242296,-0.03582344026914808,-0.36269703757501504,False,0.05407382281353068,0.38465641626075636,-0.014141207904044828,-0.04506190724362963,False,0.44865418350733255,2.0332416631412493,-0.06792555186994775,-0.16029047294922094,False
cooldown3_gate-trend,3,trend,0,-0.09883399310397678,-0.31319858786903654,-0.05728846833786261,-0.20962141922979857,4,-0.07905303456831769,-0.5875155850203453,-0.01873392693102971,-0.19763783597113072,False,-0.03061896238640127,0.11651973563534944,-0.09883399310397678,-0.31319858786903654,False,0.46228225039869897,2.075504302241242,-0.054297484978581334,-0.11802783384922844,False
cooldown5_gate-trend,5,trend,0,-0.10341588611669295,-0.3357411354405522,-0.04381659349512742,-0.15950494466257617,6,-0.07412244214620456,-0.5451792744984701,-0.013803334508916576,-0.15530152544925557,False,-0.03520085539911744,0.09397718806383382,-0.10341588611669295,-0.3357411354405522,False,0.5023491755175076,2.2060599629925495,-0.014230559859772729,0.012527826902079209,False
