dataset,symbol,alignment,rows,data_start,data_cutoff,content_sha256,source
macro.us_real_yield_daily,,prior_china_session,2855,2013-07-29T00:00:00,2024-12-31T00:00:00,182bf51119bd90a5789406dc919e6306dd982d17d70f7232b0e63a2cf9ae5f55,tushare
fx.usdcnh_daily,USDCNH.FXCM,prior_china_session,3506,2013-07-29T00:00:00,2024-12-31T00:00:00,44cfae35c88571ed929662c89637dffdc149b6fdd11b2faf149f0a25c7ea7b47,tushare
metal.sge_gold_daily,Au99.99,prior_china_session,2781,2013-07-29T00:00:00,2024-12-31T00:00:00,3ca6edc2461757e7cdf8e3c761a404a4d645a4836c3f9af80e9e907c18c26da1,tushare
index.domestic_daily,000001.SH,current_session_close,2781,2013-07-29T00:00:00,2024-12-31T00:00:00,aeeb2757d66feefbd0ef382b746f4ed6091d218fa369a3e955b27661e643c80b,tushare
macro.cn_cpi_monthly,,reference_month_m_plus_2,138,2013-07-31T00:00:00,2024-12-31T00:00:00,85255884355d78ff644c0a689c0c5dfe5285516a4da7bbd6cff0ce09653432b2,tushare
macro.cn_ppi_monthly,,reference_month_m_plus_2,138,2013-07-31T00:00:00,2024-12-31T00:00:00,9f532308dd72f6639cf110d87f61030c31446bc1f63487de802d322532756762,tushare
macro.cn_money_monthly,,reference_month_m_plus_2,138,2013-07-31T00:00:00,2024-12-31T00:00:00,d139a94db7a8c623f96704efd659c3fb6e09c39f124ead8d43ecb435ec85e401,tushare
macro.shibor_daily,,current_session_noon,2000,2016-11-29T00:00:00,2024-12-31T00:00:00,2ce265d638fa9c5b4b1f0552e9f02174d302a7a753a4d47b94e34499993a9cef,tushare
etf.share_size,518880.SH,prior_china_session,2781,2013-07-29T00:00:00,2024-12-31T00:00:00,a749a38023fb01189ad24ad949dc90998293f2fd285fe08a7f21a453213b62d4,tushare
index.daily_basic,000001.SH,current_session_close,2781,2013-07-29T00:00:00,2024-12-31T00:00:00,13afc4460433873d72eb9e568a3e2dea254125206f0580b09037e32a0b46746b,tushare
