path_id,component_id,catalog_id,kind,information_family,horizon_sessions,discovery_observations,confirmation_observations,discovery_ic,confirmation_ic,confirmation_residual_ic,hac_coefficient,hac_one_sided_pvalue,positive_confirmation_years,annual_ics,top_observations,bottom_observations,top_minus_bottom_return,identifiable,frequency,orientation,horizon_bh_qvalue,global_bh_qvalue,evidence_label
SIG-WEEKLY-E49E8730BAE56AF1:H3,SIG-WEEKLY-E49E8730BAE56AF1,SIG-CZSC-tas_boll_cc_V230312,CATEGORICAL_SIGNAL,VOLATILITY_RISK,3,514,644,0.04408571174847993,0.02017218542701308,0.03734138654652215,0.0038514395894895925,0.18197714693786943,3,"{'2024': 0.10663540397096652, '2025': 0.0007871675046913314, '2026': 0.1514446697532223}",129,515,0.012500553929039109,True,weekly,STATE_EDGE_LEARNED_IN_DISCOVERY,0.6759151171978007,0.7650313349754282,DIRECTIONALLY_STABLE
SIG-WEEKLY-6F802EEDCE56F3F7:H3,SIG-WEEKLY-6F802EEDCE56F3F7,SIG-CZSC-tas_cci_base_V230402,CATEGORICAL_SIGNAL,TREND_MOMENTUM,3,514,644,0.13165232053460726,0.047877959694210416,0.0366420534163482,0.002325917249371387,0.20732779105268218,2,"{'2024': 0.019300098775338403, '2025': -0.10388983349281185, '2026': 0.1870199182136884}",541,103,0.004598284565740563,True,weekly,STATE_EDGE_LEARNED_IN_DISCOVERY,0.6834564372973668,0.7650313349754282,DIRECTIONALLY_STABLE
SIG-30M-A3336C61BDD6B67A:H3,SIG-30M-A3336C61BDD6B67A,SIG-CZSC-cxt_bi_end_V230105,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,3,698,644,0.05932252433556112,0.03377394955636739,0.0363208169711777,0.00045354059868162245,0.20659403042404495,3,"{'2024': 0.0004108753624388864, '2025': 0.07565833032818199, '2026': 0.061249744793261715}",3,641,0.0013190472068922163,True,30m,STATE_EDGE_LEARNED_IN_DISCOVERY,0.6834564372973668,0.7650313349754282,DIRECTIONALLY_STABLE
SIG-DAILY-23A1AA484C9D99B4:H3,SIG-DAILY-23A1AA484C9D99B4,SIG-CZSC-bar_reversal_V230227,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,3,510,640,-0.033267891591678554,0.029251824623318143,0.03466880458442075,0.0014190989753389135,0.21113057652334527,3,"{'2024': 0.027996434832324824, '2025': 0.061143084418268566, '2026': 0.038446185379037885}",0,640,,True,daily,STATE_EDGE_LEARNED_IN_DISCOVERY,0.6834564372973668,0.7650313349754282,DIRECTIONALLY_STABLE
SIG-30M-DA2E41440F98A0AC:H1,SIG-30M-DA2E41440F98A0AC,SIG-CZSC-zdy_bi_end_V230407,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,1,698,646,0.05376044175479012,0.05185105314744188,0.03397392126936147,0.0008502326516757126,0.2030929640114788,3,"{'2024': 0.07038691229389002, '2025': 0.017252250054004947, '2026': 0.05585469879491332}",600,46,0.0030571257901605142,True,30m,STATE_EDGE_LEARNED_IN_DISCOVERY,0.79567928366141,0.7650313349754282,DIRECTIONALLY_STABLE
SIG-30M-F5690EDBCA698E49:H3,SIG-30M-F5690EDBCA698E49,SIG-CZSC-vol_double_ma_V230214,CATEGORICAL_SIGNAL,VOLUME_LIQUIDITY,3,698,644,0.02247949002249396,0.020547490118978964,0.033045117270837567,0.0013670859869448688,0.18006885759604202,2,"{'2024': 0.05591565319736788, '2025': 0.026670001975605158, '2026': -0.02043719400239566}",147,497,0.0032572030837692265,True,30m,STATE_EDGE_LEARNED_IN_DISCOVERY,0.673198604868863,0.7650313349754282,DIRECTIONALLY_STABLE
SIG-DAILY-6F2E6E92C6E42081:H3,SIG-DAILY-6F2E6E92C6E42081,SIG-CZSC-zdy_macd_V230519,CATEGORICAL_SIGNAL,TREND_MOMENTUM,3,510,644,0.09491934043952786,0.017527493095302837,0.03238279188876669,0.001886546498382592,0.21148914231054883,2,"{'2024': 0.02461561136456166, '2025': 0.06556375287125796, '2026': -0.07289605862434742}",433,211,0.002675009640675582,True,daily,STATE_EDGE_LEARNED_IN_DISCOVERY,0.6834564372973668,0.7650313349754282,DIRECTIONALLY_STABLE
SIG-DAILY-C3BC9064C37E8971:H3,SIG-DAILY-C3BC9064C37E8971,SIG-CZSC-bar_bpm_V230227,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,3,510,644,0.05463197296391472,0.05065715413377345,0.0319898548451175,0.0017033235192638065,0.20155222085566127,2,"{'2024': -0.06820128834395942, '2025': 0.19427537042864168, '2026': 0.00029352284383049723}",47,597,0.005530810235790156,True,daily,STATE_EDGE_LEARNED_IN_DISCOVERY,0.6834564372973668,0.7650313349754282,DIRECTIONALLY_STABLE
SIG-DAILY-5B4888ED1F9C330D:H3,SIG-DAILY-5B4888ED1F9C330D,SIG-CZSC-tas_macd_bc_V240307,CATEGORICAL_SIGNAL,TREND_MOMENTUM,3,510,644,0.005702616896931282,0.07117248860351064,0.03120156782370148,0.0021830808074966013,0.19895235249125448,2,"{'2024': 0.015397665135266752, '2025': 0.23758440544124743, '2026': -0.08234810659817991}",56,588,0.004626448824359958,True,daily,STATE_EDGE_LEARNED_IN_DISCOVERY,0.6834564372973668,0.7650313349754282,DIRECTIONALLY_STABLE
SIG-DAILY-4F7D2B1561F747FC:H3,SIG-DAILY-4F7D2B1561F747FC,SIG-CZSC-vol_window_V230731,CATEGORICAL_SIGNAL,VOLUME_LIQUIDITY,3,510,640,0.11178648011180374,0.051709966455282176,0.030405244465651987,0.002918855320006525,0.16814132758334654,3,"{'2024': 0.006002732035870605, '2025': 0.11464786066404842, '2026': 0.0030125442961838186}",253,143,0.01064214940201854,True,daily,STATE_EDGE_LEARNED_IN_DISCOVERY,0.6608027660590964,0.7650313349754282,DIRECTIONALLY_STABLE
SIG-DAILY-F690AF77D8F29635:H5,SIG-DAILY-F690AF77D8F29635,SIG-CZSC-bar_tnr_V230630,CATEGORICAL_SIGNAL,VOLATILITY_RISK,5,510,642,0.08225110310642343,0.025922042209878562,0.02554380055674786,0.0016042718774541382,0.2105827198814023,2,"{'2024': -0.03859957133742937, '2025': 0.019074170238437004, '2026': 0.10191859893979166}",317,325,0.003208792892045174,True,daily,STATE_EDGE_LEARNED_IN_DISCOVERY,0.7946995550004956,0.7650313349754282,DIRECTIONALLY_STABLE
SIG-WEEKLY-230CFCDBA7303D7B:H3,SIG-WEEKLY-230CFCDBA7303D7B,SIG-CZSC-tas_ma_system_V230513,CATEGORICAL_SIGNAL,TREND_MOMENTUM,3,514,644,0.062291688018783,0.006384622049352582,0.024978433808687618,0.0025963478049388514,0.19771886131387195,3,"{'2024': 0.09496401316473105, '2025': 0.00649228450011739, '2026': 0.08582296629377971}",206,438,0.008197297604606192,True,weekly,STATE_EDGE_LEARNED_IN_DISCOVERY,0.6834564372973668,0.7650313349754282,DIRECTIONALLY_STABLE
SIG-30M-BECEBACA84608C80:H1,SIG-30M-BECEBACA84608C80,SIG-CZSC-jcc_san_xing_xian_V221023,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,1,698,646,0.010742715185340654,0.002748778978013448,0.019891620397767762,0.0004113822117437496,0.18289338700541719,2,"{'2024': 0.008759834227487035, '2025': 0.055943717251527324, '2026': -0.012326671027227317}",0,646,,True,30m,STATE_EDGE_LEARNED_IN_DISCOVERY,0.7903016696261662,0.7650313349754282,DIRECTIONALLY_STABLE
SIG-DAILY-A88766EFB61C335D:H1,SIG-DAILY-A88766EFB61C335D,SIG-CZSC-bar_window_ps_V230801,CATEGORICAL_SIGNAL,POSITION_VALUATION,1,510,646,0.12321105316234997,0.050475408219737644,0.01947477455991416,0.0006954233065506404,0.1867086460002822,2,"{'2024': 0.01793453127222683, '2025': 0.09479319155205791, '2026': -0.0035592128047348855}",209,155,8.32218238519338e-05,True,daily,STATE_EDGE_LEARNED_IN_DISCOVERY,0.7903016696261662,0.7650313349754282,DIRECTIONALLY_STABLE
SIG-30M-5E1BA4E10F41F424:H5,SIG-30M-5E1BA4E10F41F424,SIG-CZSC-bar_window_ps_V230801,CATEGORICAL_SIGNAL,POSITION_VALUATION,5,698,642,0.15174375383332242,0.05502015198548303,0.01815839580895384,0.0027950677418920656,0.1712107013869414,2,"{'2024': -0.010727339248725966, '2025': 0.12439504240524936, '2026': 0.05732411122391686}",172,153,0.007389731356707977,True,30m,STATE_EDGE_LEARNED_IN_DISCOVERY,0.7946995550004956,0.7650313349754282,DIRECTIONALLY_STABLE
SIG-30M-7244E471EBB5B66C:H5,SIG-30M-7244E471EBB5B66C,SIG-CZSC-tas_second_bs_V230228,CATEGORICAL_SIGNAL,TREND_MOMENTUM,5,698,642,0.06730929119958912,0.009577892722383373,0.01811401892644642,0.0014414342601358052,0.2009063878339002,2,"{'2024': -0.07302573933142213, '2025': 0.06076403656552261, '2026': 0.050744803304687024}",569,73,0.004430293135918032,True,30m,STATE_EDGE_LEARNED_IN_DISCOVERY,0.7946995550004956,0.7650313349754282,DIRECTIONALLY_STABLE
SIG-DAILY-B61B26A9B16E7BDB:H3,SIG-DAILY-B61B26A9B16E7BDB,SIG-CZSC-tas_macd_bc_V230803,CATEGORICAL_SIGNAL,TREND_MOMENTUM,3,510,644,0.02403167745417419,0.03135203005273976,0.015344022004060645,0.004856320894712636,0.201950473017371,2,"{'2024': 0.05074574038669012, '2025': 0.09143736990860117, '2026': -0.06059856425838142}",67,577,0.01873555085087023,True,daily,STATE_EDGE_LEARNED_IN_DISCOVERY,0.6834564372973668,0.7650313349754282,DIRECTIONALLY_STABLE
SIG-30M-2346F01266E63ACB:H5,SIG-30M-2346F01266E63ACB,SIG-CZSC-tas_boll_cc_V230312,CATEGORICAL_SIGNAL,VOLATILITY_RISK,5,698,642,0.06684664089197503,0.00938331027470837,0.012695713917174448,0.0017971358923242857,0.21200018204580645,2,"{'2024': 0.03496449566693301, '2025': 0.08754066708942887, '2026': -0.05414802542693255}",34,608,-0.008072251752638414,True,30m,STATE_EDGE_LEARNED_IN_DISCOVERY,0.7946995550004956,0.7650313349754282,DIRECTIONALLY_STABLE
SIG-30M-2EBFCBE9F804598E:H3,SIG-30M-2EBFCBE9F804598E,SIG-CZSC-bar_tnr_V230630,CATEGORICAL_SIGNAL,VOLATILITY_RISK,3,698,644,0.030994507211142427,0.01416694577340036,0.012675679496264558,0.0030318809126995364,0.19317908362895464,2,"{'2024': 0.04674389070544478, '2025': -0.014685634966493433, '2026': 0.023738677266057523}",297,347,0.006082120836363433,True,30m,STATE_EDGE_LEARNED_IN_DISCOVERY,0.6834564372973668,0.7650313349754282,DIRECTIONALLY_STABLE
SIG-30M-009DC0C6A026EFEA:H1,SIG-30M-009DC0C6A026EFEA,SIG-CZSC-tas_macd_bs1_V230313,CATEGORICAL_SIGNAL,TREND_MOMENTUM,1,698,646,0.028942866477902254,0.04518298814733169,0.008837299587208292,0.0008805129968495482,0.19794859543382065,2,"{'2024': -0.011771593484980686, '2025': 0.0626310353102895, '2026': 0.05430922814827667}",46,600,0.003605205964624884,True,30m,STATE_EDGE_LEARNED_IN_DISCOVERY,0.7903016696261662,0.7650313349754282,DIRECTIONALLY_STABLE
SIG-DAILY-1B4BF7A4B82F9B4E:H5,SIG-DAILY-1B4BF7A4B82F9B4E,SIG-CZSC-tas_macd_xt_V221208,CATEGORICAL_SIGNAL,TREND_MOMENTUM,5,510,642,0.1425905992540814,0.030656016607299785,0.008287498611469126,0.0041766480529717995,0.2043789802955317,2,"{'2024': 0.051851504951358776, '2025': -0.03835937122938027, '2026': 0.08452538202233915}",153,439,0.007561824908571717,True,daily,STATE_EDGE_LEARNED_IN_DISCOVERY,0.7946995550004956,0.7650313349754282,DIRECTIONALLY_STABLE
SIG-DAILY-F63B3328339E4A4D:H1,SIG-DAILY-F63B3328339E4A4D,SIG-CZSC-jcc_yun_xian_V221118,CATEGORICAL_SIGNAL,MARKET_STRUCTURE,1,510,646,-0.005008453514847135,0.02999008689851239,0.005836331542429116,0.0007548410574979771,0.1862140678098126,2,"{'2024': 0.07105076141162585, '2025': -0.06967473713899115, '2026': 0.09022671235846791}",35,611,0.0027465007694237467,True,daily,STATE_EDGE_LEARNED_IN_DISCOVERY,0.7903016696261662,0.7650313349754282,DIRECTIONALLY_STABLE
