factor_id,horizon_sessions,discovery_raw_ic,orientation,discovery_observations
F-PROJECT-BREADTH-BALANCE,1,-0.0010884898041113647,-1,706
F-PROJECT-BREADTH-THRUST-5,1,-0.024215741052437928,-1,702
F-PROJECT-EARNINGS-ACCELERATION-BREADTH,1,-0.10131333627009408,-1,90
F-PROJECT-ER60,1,0.03836609119267765,1,700
F-PROJECT-ETF-NAV-PREMIUM,1,-0.0118586005432822,-1,726
F-PROJECT-ETF-SHARE-CHANGE,1,0.0022930918191483443,1,725
F-PROJECT-FIRST-HOUR-ACTIVITY,1,-0.018597510973420803,-1,727
F-PROJECT-FIRST-HOUR-PATH-EFFICIENCY,1,-0.017645653510041086,-1,727
F-PROJECT-FIRST-HOUR-RETURN,1,0.07204374657984372,1,727
F-PROJECT-FIRST-HOUR-VWAP-DEVIATION,1,0.03464723117491229,1,727
F-PROJECT-MONEYFLOW-BREADTH,1,0.023265208878263905,1,706
F-PROJECT-SIGNED-VOLUME-IMBALANCE,1,0.016487247703122945,1,727
F-PROJECT-EXTERNAL-INDUSTRY-MONEYFLOW,1,-0.019990291327223936,-1,476
F-PROJECT-SELL-SIDE-REVISION-BREADTH,1,0.016165464581494222,1,697
F-PROJECT-BREADTH-BALANCE,3,-0.02364104876073216,-1,706
F-PROJECT-BREADTH-THRUST-5,3,-0.05550811958168915,-1,702
F-PROJECT-EARNINGS-ACCELERATION-BREADTH,3,-0.07394358951204544,-1,90
F-PROJECT-ER60,3,0.0916885721398379,1,700
F-PROJECT-ETF-NAV-PREMIUM,3,0.01814223172423884,1,726
F-PROJECT-ETF-SHARE-CHANGE,3,0.023151273287339187,1,725
F-PROJECT-FIRST-HOUR-ACTIVITY,3,-0.005340635932671927,-1,727
F-PROJECT-FIRST-HOUR-PATH-EFFICIENCY,3,-0.0876995490137088,-1,727
F-PROJECT-FIRST-HOUR-RETURN,3,0.0287464830944546,1,727
F-PROJECT-FIRST-HOUR-VWAP-DEVIATION,3,0.03558239377701795,1,727
F-PROJECT-MONEYFLOW-BREADTH,3,0.03600710183482759,1,706
F-PROJECT-SIGNED-VOLUME-IMBALANCE,3,0.04880526296710906,1,727
F-PROJECT-EXTERNAL-INDUSTRY-MONEYFLOW,3,0.02111020586103401,1,476
F-PROJECT-SELL-SIDE-REVISION-BREADTH,3,0.026398831100094507,1,697
F-PROJECT-BREADTH-BALANCE,5,-0.022212981187979767,-1,706
F-PROJECT-BREADTH-THRUST-5,5,-0.045389683148711446,-1,702
F-PROJECT-EARNINGS-ACCELERATION-BREADTH,5,-0.07307074947524386,-1,90
F-PROJECT-ER60,5,0.1206544141492555,1,700
F-PROJECT-ETF-NAV-PREMIUM,5,0.0308984319691214,1,726
F-PROJECT-ETF-SHARE-CHANGE,5,0.003479319254069541,1,725
F-PROJECT-FIRST-HOUR-ACTIVITY,5,0.05062046541972693,1,727
F-PROJECT-FIRST-HOUR-PATH-EFFICIENCY,5,-0.08115413048613818,-1,727
F-PROJECT-FIRST-HOUR-RETURN,5,0.04466358014320979,1,727
F-PROJECT-FIRST-HOUR-VWAP-DEVIATION,5,0.05873920183736,1,727
F-PROJECT-MONEYFLOW-BREADTH,5,0.056637364509932266,1,706
F-PROJECT-SIGNED-VOLUME-IMBALANCE,5,0.057440205572066895,1,727
F-PROJECT-EXTERNAL-INDUSTRY-MONEYFLOW,5,0.03525866929811825,1,476
F-PROJECT-SELL-SIDE-REVISION-BREADTH,5,0.05424290369816048,1,697
