kind,information_family,horizon_sessions,paths,identifiable,positive_confirmation_ic,median_confirmation_ic,median_residual_ic
CATEGORICAL_SIGNAL,CALENDAR_SEASONALITY,1,12,2,0,-0.026256673656890217,-0.05578529113284093
CATEGORICAL_SIGNAL,CALENDAR_SEASONALITY,3,12,2,0,-0.050908513766171754,-0.05962574961883419
CATEGORICAL_SIGNAL,CALENDAR_SEASONALITY,5,12,2,0,-0.007752587625772666,-0.007384024612233732
CATEGORICAL_SIGNAL,FUND_FLOW,1,1,1,1,0.0072861696244960915,-0.11724151419738485
CATEGORICAL_SIGNAL,FUND_FLOW,3,1,1,0,-0.01016926629617264,-0.07276692038591842
CATEGORICAL_SIGNAL,FUND_FLOW,5,1,1,0,-0.001834678532272078,-0.033846307670012385
CATEGORICAL_SIGNAL,MARKET_BREADTH,1,1,1,1,0.01084451516507359,0.17016540081597603
CATEGORICAL_SIGNAL,MARKET_BREADTH,3,1,1,0,-0.05245215092840326,0.028784122416882857
CATEGORICAL_SIGNAL,MARKET_BREADTH,5,1,1,0,-0.02122552980157724,0.016660287541817607
CATEGORICAL_SIGNAL,MARKET_MICROSTRUCTURE,1,6,5,1,-0.04976409238247076,0.03061943196584834
CATEGORICAL_SIGNAL,MARKET_MICROSTRUCTURE,3,6,5,2,-0.051229159464954786,-0.028319205075990114
CATEGORICAL_SIGNAL,MARKET_MICROSTRUCTURE,5,6,5,3,0.04979553302562245,0.04518240749242161
CATEGORICAL_SIGNAL,MARKET_STRUCTURE,1,287,240,102,-0.009552605442874484,-0.0055980120268517616
CATEGORICAL_SIGNAL,MARKET_STRUCTURE,3,287,240,126,0.00446052541612345,0.002874475967046881
CATEGORICAL_SIGNAL,MARKET_STRUCTURE,5,287,240,130,0.005915763632953895,0.01057058028440545
CATEGORICAL_SIGNAL,POSITION_RISK,1,3,3,2,0.008328682116206208,-0.00968791384366769
CATEGORICAL_SIGNAL,POSITION_RISK,3,3,3,2,0.007016693593175345,0.052874020169361775
CATEGORICAL_SIGNAL,POSITION_RISK,5,3,3,2,0.0022946554874503397,0.04847444743354286
CATEGORICAL_SIGNAL,POSITION_VALUATION,1,21,19,7,-0.00773531631180064,-0.027442392578919932
CATEGORICAL_SIGNAL,POSITION_VALUATION,3,21,19,9,-0.006982760218604787,-0.028820618496835596
CATEGORICAL_SIGNAL,POSITION_VALUATION,5,21,19,9,-0.014245101302894548,-0.010547185609922313
CATEGORICAL_SIGNAL,TREND_MOMENTUM,1,252,215,109,0.000333261391679734,-0.010497303351332433
CATEGORICAL_SIGNAL,TREND_MOMENTUM,3,252,215,124,0.010098480356142633,-0.0017083009648280328
CATEGORICAL_SIGNAL,TREND_MOMENTUM,5,252,215,108,0.00038919192665161074,0.002640734380384736
CATEGORICAL_SIGNAL,TREND_REGIME,1,1,1,0,-0.007212333278005153,-0.0028262167304180736
CATEGORICAL_SIGNAL,TREND_REGIME,3,1,1,0,-0.03908093716203627,-0.032805020241919725
CATEGORICAL_SIGNAL,TREND_REGIME,5,1,1,0,-0.0357378318772115,-0.02929789294338593
CATEGORICAL_SIGNAL,VOLATILITY_RISK,1,36,33,18,0.004302513777832373,-0.008998953980585868
CATEGORICAL_SIGNAL,VOLATILITY_RISK,3,36,33,21,0.011028658486092401,-9.473512498164757e-05
CATEGORICAL_SIGNAL,VOLATILITY_RISK,5,36,33,19,0.011881164380787667,0.010203684988766686
CATEGORICAL_SIGNAL,VOLUME_LIQUIDITY,1,45,38,21,0.01456216186491805,-0.0015229553490758293
CATEGORICAL_SIGNAL,VOLUME_LIQUIDITY,3,45,38,23,0.004722105251877833,-0.009052074990737496
CATEGORICAL_SIGNAL,VOLUME_LIQUIDITY,5,45,38,21,0.003156667658106028,-0.0019149074425765557
CONTINUOUS_FACTOR,FUNDAMENTAL_EXPECTATION,1,2,2,1,-0.004024227400260387,-0.013471448633792415
CONTINUOUS_FACTOR,FUNDAMENTAL_EXPECTATION,3,2,2,0,-0.029256327017764157,-0.039195738926033424
CONTINUOUS_FACTOR,FUNDAMENTAL_EXPECTATION,5,2,2,0,-0.02376895165371019,-0.025391908950108063
CONTINUOUS_FACTOR,FUND_FLOW,1,3,3,1,-0.004838180506693211,0.1481666279671638
CONTINUOUS_FACTOR,FUND_FLOW,3,3,3,1,-0.015222103074870541,-0.05334588913410265
CONTINUOUS_FACTOR,FUND_FLOW,5,3,3,1,-0.009608367328368662,-0.04630129445423783
CONTINUOUS_FACTOR,MARKET_BREADTH,1,2,2,2,0.04339600894789383,0.2541485241070659
CONTINUOUS_FACTOR,MARKET_BREADTH,3,2,2,2,0.01061893332565255,0.11841102418120522
CONTINUOUS_FACTOR,MARKET_BREADTH,5,2,2,2,0.022334487430958193,0.07843862091733915
CONTINUOUS_FACTOR,MARKET_MICROSTRUCTURE,1,2,2,1,0.001907985812965838,-0.03983740423065783
CONTINUOUS_FACTOR,MARKET_MICROSTRUCTURE,3,2,2,1,0.029216086604890366,0.004026009934946662
CONTINUOUS_FACTOR,MARKET_MICROSTRUCTURE,5,2,2,1,0.00960847546054348,-0.004373625149596514
CONTINUOUS_FACTOR,POSITION_VALUATION,1,2,2,1,-0.02555880396813363,-0.08627324925615437
CONTINUOUS_FACTOR,POSITION_VALUATION,3,2,2,1,0.0009215814557655185,-0.0309448388986523
CONTINUOUS_FACTOR,POSITION_VALUATION,5,2,2,0,-0.02319104990651359,-0.04109822219322379
