mechanism,direction,quantile,raw_events,independent_events,rolling_60_median,rolling_60_p10,rolling_60_minimum,rolling_60_maximum,density_pass
HIGH_EXPECTED_MOVE_UP_Q50,HIGH_EXPECTED_MOVE_UP,0.5,152,69,6.0,0.0,0.0,14.0,False
HIGH_EXPECTED_MOVE_DOWN_Q50,HIGH_EXPECTED_MOVE_DOWN,0.5,138,70,7.0,0.0,0.0,14.0,False
HIGH_EXPECTED_MOVE_UP_Q60,HIGH_EXPECTED_MOVE_UP,0.6,122,57,4.0,0.0,0.0,14.0,False
HIGH_EXPECTED_MOVE_DOWN_Q60,HIGH_EXPECTED_MOVE_DOWN,0.6,110,58,5.0,0.0,0.0,13.0,False
HIGH_EXPECTED_MOVE_UP_Q70,HIGH_EXPECTED_MOVE_UP,0.7,102,49,3.0,0.0,0.0,14.0,False
HIGH_EXPECTED_MOVE_DOWN_Q70,HIGH_EXPECTED_MOVE_DOWN,0.7,91,49,4.0,0.0,0.0,13.0,False
