sample_id,state,rejection,feasible,behavior_hash,cagr,maximum_drawdown,calmar,frequency_median,frequency_p10,closed_trades,pass_full_cagr,pass_full_drawdown,pass_s001_drawdown,pass_frequency_median,pass_frequency_p10,pass_discovery_cagr,pass_confirmation_cagr,pass_confirmation_drawdown,params
222,COMPLETE,,False,79d39917cb4fbf2bc6504f0bc89f23c78c7c114995bed67bfa73f778b7b1b848,0.1790142892285882,-0.33766998166627704,0.5301457012708639,9.0,6.0,193.0,False,False,False,True,True,False,True,True,"{""confirm_share_fraction"": 0.75, ""confirmation_total"": 0.21654115910847077, ""entry_quantile"": 0.6920048280554795, ""entry_timing_total"": 0.1662887442342818, ""exit_quantile"": 0.4846817835813598, ""opp_spx_fraction"": 0.6143472166365342, ""opportunity_total"": 0.42778341717516055, ""risk_shibor_fraction"": 0.5476491495330295}"
223,COMPLETE,,False,c570cf302f9dcbcf2552bddfb3f1db1421ad2f346bbe425aa708f5ed864d6885,0.21534162715288496,-0.2222501747432155,0.9689154458559478,6.0,4.0,143.0,False,False,False,False,True,True,True,True,"{""confirm_share_fraction"": 0.719977398905785, ""confirmation_total"": 0.2775220892004407, ""entry_quantile"": 0.7591053112606657, ""entry_timing_total"": 0.1280917711308493, ""exit_quantile"": 0.5027917010215789, ""opp_spx_fraction"": 0.5887451104537776, ""opportunity_total"": 0.4781076493305809, ""risk_shibor_fraction"": 0.5205234099813962}"
224,COMPLETE,,False,d37d1cb77f71d30fcd75003fc4c462f83b67d4b7c91fd4663210ee3885b704a3,0.1988214454807602,-0.2683834086909028,0.7408112388562098,8.0,6.0,186.0,False,False,False,True,True,False,True,True,"{""confirm_share_fraction"": 0.75, ""confirmation_total"": 0.23252553604540832, ""entry_quantile"": 0.6985221765793537, ""entry_timing_total"": 0.15477177138544618, ""exit_quantile"": 0.4872174652314736, ""opp_spx_fraction"": 0.692304491926743, ""opportunity_total"": 0.43669659931421034, ""risk_shibor_fraction"": 0.5545837948215058}"
225,COMPLETE,,False,9157d2f06d8643f52c957119950ca85ec9305bc1435afb503dcf030632668ad9,0.16750563734597268,-0.27198654326847327,0.6158600176797376,6.0,3.0,148.0,False,False,False,False,True,False,True,True,"{""confirm_share_fraction"": 0.7008160617490476, ""confirmation_total"": 0.218362301755993, ""entry_quantile"": 0.7715652456937528, ""entry_timing_total"": 0.12815857935151326, ""exit_quantile"": 0.4693671206251364, ""opp_spx_fraction"": 0.6561023602875388, ""opportunity_total"": 0.42687801058532104, ""risk_shibor_fraction"": 0.48563675163627157}"
226,COMPLETE,,False,51d170e2ae1cc48c6d2c9f61a8ab68035e2f3c327362c0e7dcd452f8c8d35edb,0.2313009853257859,-0.24073480098226674,0.960812414250087,7.0,3.0,150.0,False,False,False,True,True,False,True,True,"{""confirm_share_fraction"": 0.75, ""confirmation_total"": 0.24079101194196734, ""entry_quantile"": 0.7603492918557337, ""entry_timing_total"": 0.1144603793295415, ""exit_quantile"": 0.46144190610415586, ""opp_spx_fraction"": 0.6559728507962711, ""opportunity_total"": 0.4347187986128114, ""risk_shibor_fraction"": 0.5616902300050458}"
227,COMPLETE,,False,3111cb21451f3ffb674b4107704dd29411b1914d59ebc1f990832b814dc0dda2,0.24363127081296354,-0.285497755295511,0.8533561693358583,8.0,5.0,175.0,True,False,False,True,True,False,True,True,"{""confirm_share_fraction"": 0.75, ""confirmation_total"": 0.23888482439061337, ""entry_quantile"": 0.7106709639784528, ""entry_timing_total"": 0.151884641631994, ""exit_quantile"": 0.45468035662570994, ""opp_spx_fraction"": 0.6337271615771916, ""opportunity_total"": 0.47841378828003145, ""risk_shibor_fraction"": 0.5239107133979594}"
228,COMPLETE,,False,ee7238d415a0dda2c1d1a27921b066de4382f272890294428386d5c7d0284e17,0.18681927415013977,-0.29975346928255375,0.6232430757091258,9.0,6.0,194.0,False,False,False,True,True,False,True,True,"{""confirm_share_fraction"": 0.75, ""confirmation_total"": 0.2157392711280912, ""entry_quantile"": 0.6888080907110167, ""entry_timing_total"": 0.11500317174161898, ""exit_quantile"": 0.5130651302384143, ""opp_spx_fraction"": 0.6543377758385944, ""opportunity_total"": 0.45888458308931757, ""risk_shibor_fraction"": 0.5032343639854606}"
229,COMPLETE,,False,87438e5016a8dc662a8b7d218c5941a7019d2b92aca06c66e62001da03bca9a6,0.2020579203700572,-0.3324916423506322,0.607708268820108,8.0,6.0,185.0,False,False,False,True,True,False,True,True,"{""confirm_share_fraction"": 0.6743506461754325, ""confirmation_total"": 0.21967834463314292, ""entry_quantile"": 0.7042257034829662, ""entry_timing_total"": 0.16270569514720096, ""exit_quantile"": 0.44016027552083825, ""opp_spx_fraction"": 0.7061574134572577, ""opportunity_total"": 0.4398063424341465, ""risk_shibor_fraction"": 0.5324331741161169}"
230,COMPLETE,,False,0e5530da83a2a792520bfa02f7df02043edc8fd0ec2e4826ceee1b33d6bf28cd,0.2454386219989484,-0.25656275999514355,0.9566416497998161,8.0,5.0,179.0,True,False,False,True,True,False,True,True,"{""confirm_share_fraction"": 0.75, ""confirmation_total"": 0.2515103402623971, ""entry_quantile"": 0.6925587266576926, ""entry_timing_total"": 0.12102019998903207, ""exit_quantile"": 0.49066160285689264, ""opp_spx_fraction"": 0.6675526375089336, ""opportunity_total"": 0.4184856584674729, ""risk_shibor_fraction"": 0.4499814187335522}"
231,COMPLETE,,False,ea21e3a1257c7bf357b3419a5e56ca6ba1da6abda00224a3a576f4ead75f8157,0.20772939094349918,-0.2222501747432153,0.9346646911909373,7.0,3.0,143.0,False,False,False,True,True,True,True,True,"{""confirm_share_fraction"": 0.75, ""confirmation_total"": 0.2776256673405504, ""entry_quantile"": 0.7574906832521148, ""entry_timing_total"": 0.11056061362870652, ""exit_quantile"": 0.5174158376008288, ""opp_spx_fraction"": 0.5739228506220733, ""opportunity_total"": 0.46165975301959167, ""risk_shibor_fraction"": 0.4982010319396083}"
