entry_signal_date,pool_size,nearest_distance,farthest_selected_distance
2021-01-28,30,0.06117920266970074,2.559849194519314
2021-02-26,30,0.23739828751547784,2.550753276288657
2021-03-10,30,1.3512967017397444,3.664296169922918
2021-04-27,30,0.30601951717802856,2.8291837496305297
2022-08-26,30,0.5015829077315794,2.7483920976691927
2022-09-15,30,0.1919456064854942,2.5209008207359664
2022-11-11,30,0.2868290041450657,1.4897910513380774
2023-02-17,30,0.2212190293357078,1.6284464217250276
2023-06-08,30,0.26374992698945404,1.6047876221386663
2023-07-10,30,0.2773595356005092,1.2800976397023769
2023-07-18,30,0.2927005293189309,1.5763736161428898
2023-08-28,30,0.20867017790405903,1.2003476375295938
2023-10-11,30,0.18774695579494535,1.0970583504466447
2023-11-02,30,0.9341260990649051,3.704289229840853
2024-01-19,30,0.21962930892706864,2.2497035320468086
2024-11-26,30,0.4661154924708867,1.8294690561981966
2025-03-25,30,0.3466428011511718,2.529581936415705
2025-05-23,30,0.25457072220609905,2.6485946559733424
2025-06-19,30,1.5714328184001307,2.980638474601762
2025-11-12,30,0.5029243652168245,1.4165983768393366
2026-08-20,30,0.5374331678857459,2.0566739040359208
