year_group,volatility_group,trades,mean_return_5,win_rate_5,mean_band_return,summed_return_5
2023,LOW,9,-0.0026721177797415555,0.5555555555555556,-0.002583840595767455,-0.024049060017673998
2023,NON_LOW,2,0.009322607339636649,0.5,0.00633262652425905,0.018645214679273298
OTHER,LOW,3,0.0030436281366603007,0.3333333333333333,0.0037284349806447994,0.009130884409980902
OTHER,NON_LOW,11,0.027657289911850905,0.8181818181818182,0.025125374285875746,0.30423018903036
