date,known_close,efficiency_ratio,direction_return,regime,forward_1d,forward_5d,forward_20d
2021-01-04,1.9741529,0.06575185820468829,0.03375899016585926,range,0.00879519754292879,-0.0012564567918470493,-0.012564567918469827
2021-01-05,2.0077889,0.05027608253414698,0.0247496423462088,range,-0.0011071132023248165,0.002214226404649855,-0.011901466924992943
2021-01-06,2.0254478,0.006686930091185196,0.0030538589672404193,range,0.004156275976724855,-0.003047935716265049,-0.01662510390689953
2021-01-07,2.0232054,0.0036407766990292733,0.0016652789342215257,range,0.002483443708609201,-0.014210816777042057,-0.031318984547461404
2021-01-08,2.0316144,0.022465088038858477,0.010315026484527534,range,-0.015414258188824581,-0.020231213872832332,-0.048169556840077066
2021-01-11,2.0366598,0.04481276856967453,0.020505617977528035,range,0.012300810735253132,0.007128878948839956,-0.02166620072686609
2021-01-12,2.0052662,0.021915340738516906,0.010309278350515427,range,-0.0063518365092516405,-0.010494338580502638,-0.013946423639878414
2021-01-13,2.0299326,0.06865671641791041,0.03280091272104957,range,-0.007087270705947835,0.004863813229571967,0.0036131183991108262
2021-01-14,2.0170388,0.03774715398442168,0.017821782178217838,range,-0.0036389083275016887,0.026312106368089783,0.02575227431770477
2021-01-15,2.0027435,0.039927949564694996,0.018967484312606864,range,0.012080348363534332,0.031465093411996214,0.04424778761061954
2021-01-18,1.9954557,0.04557802595834585,0.021670493685419068,range,-0.005412907702984082,0.020818875780707735,0.022206800832754947
2021-01-19,2.0195615,0.1068493150684934,0.051210971695360374,trend_up,0.009070611219648361,0.010745185598660223,0.024979067820262157
2021-01-20,2.0086298,0.0958408679927668,0.04643691588785037,range,0.014105932789379105,0.00414880376158222,0.002765869174388147
2021-01-21,2.0268493,0.113871635610766,0.056237218813905754,trend_up,0.0013636983499250022,-0.0285012955134325,-0.016091640529114937
2021-01-22,2.0554399,0.12982863781585846,0.06491431890792909,trend_up,0.0016342094511778704,-0.04344273457714842,-0.03908484270734047
2021-01-25,2.0582429,0.12982863781585866,0.06482018561484937,trend_up,-0.015227736233854428,-0.03834126444595498,-0.023657375934738156
2021-01-26,2.0616065,0.18642012731130658,0.09124629080118685,trend_up,0.002485158083667116,-0.01422062681209435,-0.016291591881816947
2021-01-27,2.0302129,0.14142308827871286,0.0708160851567119,trend_up,-0.018867924528301994,-0.022448698526373878,-0.005646605150805728
2021-01-28,2.0352583,0.11852076386783898,0.056914119359534165,trend_up,-0.014037057832678279,-0.014458169567658663,-0.0036496350364964014
2021-01-29,1.9968572,0.074235807860262,0.03712330761391747,range,0.006976082004555906,-0.01537585421412302,0.012101366742596875
2021-02-01,1.9688272,0.005589879376287136,0.0027123483226267897,range,0.009472642443093537,-0.010462321504312255,-0.018945284886186964
2021-02-02,1.9825619,0.03533568904593641,0.017258737235725574,range,-0.005882352941176561,0.0001400560224089631,-0.050000000000000044
2021-02-03,2.001342,0.02179755150791297,0.010329701429177884,range,-0.010848126232741562,0.017469709777402143,-0.05438151591997742
2021-02-04,1.9895694,0.0236314687406521,0.01125516455335518,range,-0.014955134596211339,0.04386839481555338,-0.01837345107534538
2021-02-05,1.9679863,0.026086956521739223,0.012546870493221896,range,0.012001156737998953,0.07489878542510131,-0.0027472527472527375
2021-02-08,1.9385548,0.011998829382499283,-0.0058933448325427795,range,0.020288612658951433,0.052293184740677345,-0.021003000428632568
2021-02-09,1.9618197,0.01143510577472842,0.0057479522919958725,range,0.011342949166783356,0.02856742753115782,-0.04005041310740809
2021-02-10,2.0016223,0.028651685393258672,0.01449069470095199,range,0.014815840487399479,0.0040155081694821515,-0.045278316255884965
2021-02-18,2.0243266,0.06399554813578195,0.03289473684210531,range,0.014326647564469885,-0.015554645927138733,-0.052258152544685466
2021-02-19,2.0543187,0.09282814614343711,0.049098196392785676,range,-0.009281678773204183,-0.05084745762711862,-0.07331181059994607
2021-02-22,2.0837502,0.1087476734910927,0.05822064056939502,trend_up,-0.0027155465037339566,-0.02498302783435158,-0.052545824847250566
2021-02-23,2.0644095,0.07451604348979055,0.03966685488424626,range,-0.012797821647379082,-0.02995234853641926,-0.06085772634445197
2021-02-24,2.0588035,0.05564472980203285,0.02914389799635675,range,-0.004964832436905264,-0.0042752723762239375,-0.059026341194318044
2021-02-25,2.0324553,0.030287206266318725,0.016257883672039286,range,-0.022037422037422094,-0.016216216216216273,-0.052113652113652154
2021-02-26,2.0223645,0.05170575692963771,0.027631391539666872,range,0.017715419501133978,0.007511337868480794,-0.01814058956916098
2021-03-01,1.9777968,0.01439588688946012,0.008000000000000007,range,-0.007798356774822546,-0.03370004177691144,-0.035231861857680014
2021-03-02,2.0128343,0.03813346713497254,0.0216246976810357,range,0.01333333333333342,-0.04800000000000004,-0.024140350877192907
2021-03-03,1.9971375,0.037092731829574024,0.021212555539630307,range,-0.01689750692520786,-0.07036011080332416,-0.03836565096952915
2021-03-04,2.023766,0.03297256481248439,0.018479334179715146,range,0.0015497323189630485,-0.029022259791490534,-0.015074668920822654
2021-03-05,1.9895694,0.0007336757153338514,0.00042283298097256505,range,-0.02391334927556621,-0.029821353214235513,-0.01434800956533977
2021-03-08,1.9926527,0.0024533856722275768,-0.0014046916701783152,range,-0.022481625594466093,-0.012537829658452182,0.01181726473555278
2021-03-09,1.9450017,0.0488151658767771,-0.028831350594821448,range,-0.010467344832669867,0.010614772224679214,0.03670942061034954
2021-03-10,1.9012749,0.07169287696577248,-0.04370506132806995,range,0.02681764004767584,0.027264600715136922,0.050804529201430304
2021-03-11,1.8813736,0.08481532147742807,-0.05251270468661773,range,0.0007254788160184766,0.00783517121300048,0.019878119558908836
2021-03-12,1.9318276,0.01840215439856374,-0.011757958130197865,range,-0.006524575902566276,-0.001159924604900664,0.002609830361026466
2021-03-15,1.9332291,0.020004495392223043,-0.01273976524477527,range,0.00043782837127825935,0.01838879159369511,0.005983654407472283
2021-03-16,1.9206156,0.0045662100456620985,-0.0029103608847497187,range,0.005835156819839593,0.006272793581327596,0.014733770970094762
2021-03-17,1.9214565,0.01569713758079416,-0.00982233135923738,range,0.007396664249456286,-0.010442349528643868,0.009862218999274974
2021-03-18,1.9326685,0.008018327605956607,-0.005050505050505083,range,-0.008206161819752311,-0.015404549380938715,0.014972646127267453
2021-03-19,1.9469638,0.009567198177676553,0.006083429895712644,range,0.012919146465379505,0.005661199012919171,0.03382203512846571
2021-03-22,1.9309867,0.022690809076323617,-0.014167143674871152,range,-0.011464603038119803,-0.0071653768988247935,0.02264259100028676
2021-03-23,1.9559334,0.003161698283649449,0.0020103388856977933,range,-0.010872716729486753,0.007973325601623671,0.03174833285010137
2021-03-24,1.9335094,0.040254719126677246,-0.025017667844522973,range,0.002345009526601105,0.017587571449509065,0.0469001905320241
2021-03-25,1.9124869,0.026752767527675237,-0.01671710621126965,range,0.01301359847930983,0.02222547156016974,0.049568650387483704
2021-03-26,1.9169717,0.03174971031286208,-0.019638761467889898,range,0.0,0.01140300230946889,0.03175519630484969
2021-03-29,1.9419184,0.009267840593141796,0.005807200929152101,range,0.003608545034642141,0.013423787528868303,0.03146651270207834
2021-03-30,1.9419184,0.005880969183721522,-0.003595570257442837,range,-0.0014382281029772237,0.011362002013519445,0.03523658852293976
2021-03-31,1.9489259,0.01015828017954172,0.006222865412445655,range,0.006913437995103022,0.01584329540544438,0.03701569926544712
2021-04-01,1.9461229,0.01495371469261811,0.00915697674418614,range,0.002288656844514403,0.005435560005721651,0.031469031612072706
2021-04-02,1.9595773,0.012844909609895464,0.007784344817644673,range,0.0019980019980019303,-0.013129727415441717,0.025831311545597258
2021-04-06,1.9640621,0.008750607681088924,-0.005111458185432349,range,0.0015667283862699222,-0.018231021222048116,0.01937046004842613
2021-04-07,1.9679863,0.03542914171656688,-0.019824096049141482,range,0.002986348122866911,-0.010807736063708884,0.020904436860068376
2021-04-08,1.9710696,0.04903943377148606,-0.02684749515637963,range,-0.0034028073160357053,-0.012760527435134006,0.015029065645824291
2021-04-09,1.9769559,0.0415721844293273,-0.0228595178719867,range,-0.016218523260776885,0.0029876227059326688,0.029733959311424085
2021-04-12,1.9702287,0.05526116578349728,-0.0302152317880795,range,-0.0031814895155458656,0.029934924078091063,0.0351409978308026
2021-04-13,1.9382745,0.08647450110864724,-0.048307184145334414,range,0.009139706949078619,0.035253155375018164,0.05454809226751767
2021-04-14,1.9321079,0.06575963718820835,-0.036483086385238894,range,0.0010063254744105965,0.023145485911443275,0.05031627372052894
2021-04-15,1.9497668,0.0725152129817444,-0.03949185307925995,range,0.012494614390349046,0.02585092632486008,0.05213270142180093
2021-04-16,1.9517289,0.05966709346991024,-0.032379099499722064,range,0.01021276595744669,0.018156028368794264,0.03744680851063831
2021-04-19,1.976115,0.024105556965236974,-0.013296011196640922,range,0.0019657399606853865,0.0036506599269867657,0.023167649536647072
2021-04-20,1.9962966,0.0007524454477050704,0.0004214075010535723,range,-0.0026625560538117155,0.0014013452914796165,0.017236547085201837
2021-04-21,2.0002208,0.017624521072796804,-0.009576682859125496,range,0.0036532246733176343,0.011381199943796494,0.022902908528874555
2021-04-22,1.9948951,0.012580231065468624,-0.006837845380965768,range,0.004899902001959999,0.007979840403191885,0.030099398012039646
2021-04-23,2.0021829,0.022821576763485108,-0.012169824367307291,range,-0.004179437169128053,0.0045973808860406695,0.026609083310114245
2021-04-26,2.0119934,0.04090789126418568,-0.021137324423837422,range,-0.0002797985450475604,0.005595970900951208,0.039451594851706684
2021-04-27,2.0035844,0.051194539249147034,-0.026555903581642615,range,0.007276798208788238,0.0015393226980129349,0.039322698012874246
2021-04-28,2.0030238,0.05501447749407737,-0.0284160435078179,range,0.0002778549597111102,-0.0026396221172546586,0.03903862183939988
2021-04-29,2.0175994,0.012035303557100854,-0.006212895209167457,range,0.0015277777777777946,-0.005694444444444446,0.04041666666666677
2021-04-30,2.01816,0.01638463604619949,-0.008401046687784186,range,-0.0031895714880045833,0.003744279572874598,0.03245042296491474
2021-05-06,2.0212433,0.024186822351959993,0.012212240314430245,range,-0.004312743461324375,-0.004173622704507496,0.03366722314969395
2021-05-07,2.0147964,0.046590909090908794,0.023348519362186737,range,0.003073913650971205,0.015649014950398277,0.043034791113595094
2021-05-10,2.0061071,0.023986293546544597,0.011876148734624614,range,-0.0027859033291546265,0.0176904861401308,0.0426243209360635
2021-05-11,2.0122737,0.011281457911483906,0.00546218487394956,range,0.011035060762676352,0.023327280346417067,0.04176560972202825
2021-05-12,2.0066677,0.017758369723435193,0.008593970132431572,range,-0.01105277701022378,0.010500138159712513,0.0294280187897209
2021-05-13,2.0288114,0.06313645621181244,0.030907278165503538,range,0.015507124895222102,0.018021793797150076,0.05420508521933498
2021-05-14,2.0063874,0.07092614302461885,0.03499132446500863,range,0.005090108680698924,-0.001375705048837328,0.033016921172100755
2021-05-17,2.0375007,0.07848837209302297,0.03857693956279462,range,0.0027374760470846304,-0.003558718861209842,0.015329865863673797
2021-05-18,2.0478718,0.049475262368815075,0.023106007561966013,range,-0.0016380016380016515,0.00436800436800433,0.00027300027300025675
2021-05-19,2.0534778,0.03176542455711641,0.014400443090556436,range,-0.003691550451189407,0.007519824993163837,0.008066721356303042
2021-05-20,2.0501142,0.004718464926077557,-0.0020466639377815232,range,-0.00384245917387116,0.01962398792369968,0.021956909564978755
2021-05-21,2.0425461,0.047404063205417304,-0.019774011299435013,range,0.0028929604628735728,0.02314368370298925,0.02989392478302788
2021-05-24,2.0346977,0.03464052287581671,-0.014392396469789515,range,0.010714285714285676,0.027335164835164738,0.03296703296703307
2021-05-25,2.040584,0.021234890558640723,-0.008849557522123797,range,0.00149497145963573,0.018075564011959866,0.03030714868170703
2021-05-26,2.0624474,0.03513957307060729,0.014756585298579372,range,0.008277921020491075,0.010313475369792435,0.025105170308047153
2021-05-27,2.0655307,0.050993377483443486,0.021344421344421383,range,-0.00040376850605650105,0.0,0.024764468371467174
2021-05-28,2.082629,0.12799452429842534,0.05300453514739223,trend_up,0.007001481082536731,0.00511646694493062,0.02585162245859718
2021-05-31,2.0817881,0.08785714285714218,0.03425706726082689,range,0.0016044925792217946,0.0008022462896108973,0.010964032624682485
2021-06-01,2.0963637,0.12660944206008548,0.049684210526315775,trend_up,-0.006140702175944535,-0.004405286343612258,0.014283807235349055
2021-06-02,2.0997273,0.09988942130482825,0.037534626038781216,range,-0.002014775016789927,0.0008059100067159264,0.009133646742780277
2021-06-03,2.0868335,0.13158892681076964,0.048887010425471944,trend_up,0.004710632570659401,0.015612382234185818,0.002557200538358062
2021-06-04,2.082629,0.12154486936766322,0.045154030102686704,trend_up,0.0026791694574683778,0.00589417280643012,0.0038847957133290034
2021-06-07,2.0924395,0.20989624900239362,0.07580342988903288,trend_up,-0.003607214428857697,-0.00895123580494317,0.0010688042752171611
2021-06-08,2.0980455,0.2962025316455689,0.10349402919062367,trend_up,-0.0009385894341646939,-0.01743094663448652,0.013810673102708337
2021-06-09,2.0904774,0.32072226999140085,0.11114421930870089,trend_up,0.012749966447456629,-0.010468393504227569,0.013286807139981205
2021-06-10,2.0885153,0.2596377148165343,0.08110853163087639,trend_up,-0.004903260005300836,-0.01311953352769668,0.00914391730718278
2021-06-11,2.1151438,0.28934462773071684,0.09409888357256779,trend_up,-0.01211879078439193,-0.0043947263284058735,0.028499134372086843
2021-06-15,2.1047727,0.2939597315436229,0.09588441330998232,trend_up,-0.012132650310056725,0.013750337018064052,0.05095713130223767
2021-06-16,2.0792654,0.2423590185105465,0.08212983223924164,trend_up,0.00614082969432328,0.03452510917030582,0.05690502183406099
2021-06-17,2.0540384,0.18246944795617337,0.0627991298042061,trend_up,0.0100366201003661,0.024549030245490266,0.05289570052895698
2021-06-18,2.0666519,0.1803971271651877,0.06147422977253103,trend_up,0.0038941855780851853,0.02242513763931786,0.04391029944944269
2021-06-21,2.0873941,0.23406040268456316,0.08099869356945844,trend_up,0.005885500267522659,0.019127875869449085,0.033975387907972276
2021-06-22,2.0955228,0.21428571428571372,0.07136715391229576,trend_up,0.00811170212765977,0.005452127659574479,0.02912234042553208
2021-06-23,2.107856,0.2718531468531462,0.09017106407654385,trend_up,-0.0035615354174912683,0.0022424482258276424,0.03376863210658221
2021-06-24,2.1249543,0.33333333333333265,0.11109482632273204,trend_up,0.00794281175536149,-0.005427588032830277,0.04196452210749291
2021-06-25,2.1173862,0.3129102844638938,0.10454744845737673,trend_up,0.0006566850538483049,-0.02167060677698973,0.03178355660625165
2021-06-28,2.1342042,0.3040780141843961,0.09901847575057743,trend_up,-0.007612547578422446,-0.01640635253970335,0.012075075469221597
2021-06-29,2.1356057,0.3056169836355585,0.0997401847575059,trend_up,0.004893532601507822,-0.008993519375743886,0.00039677291363582334
2021-06-30,2.1193483,0.265039232781167,0.08744426866100952,trend_up,-0.011187154514345932,-0.004869702553303434,-0.01947881021321396
2021-07-01,2.1297194,0.2822059457130536,0.09433962264150941,trend_up,-0.00851856781578586,0.004924797018501348,0.008518567815786193
2021-07-02,2.1058939,0.22137404580152562,0.07466742955228134,trend_up,0.006041079339508704,0.022284870452409677,0.020405423546784762
2021-07-05,2.0879547,0.183707398171238,0.06307977736549164,trend_up,-0.0001334400854016149,0.030557779556978915,0.028022417934347565
2021-07-06,2.1005682,0.19409109560935528,0.06736932060959977,trend_up,0.009075136794341354,0.04043774189243288,0.02095288936340589
2021-07-07,2.1002879,0.18994643592913,0.0655574516496018,trend_up,-0.0014548340166645746,0.024335405369660057,0.026716042851474775
2021-07-08,2.1193483,0.20533548908649876,0.0720260881894228,trend_up,0.008609271523178919,0.028211920529801482,0.027019867549668897
2021-07-09,2.116265,0.2117025599349848,0.07412149665670786,trend_up,0.014182534471437913,0.02087984241628371,0.022980958634274407
2021-07-12,2.1344845,0.29021558872305075,0.10122921185827916,trend_up,0.009452285381328362,0.0009063835297165035,0.01268936941603016
2021-07-13,2.1647569,0.3322658126501188,0.12041201218627595,trend_up,-0.0065418163160595455,-0.007311441765007531,0.01000513083632626
2021-07-14,2.1852188,0.3349282296650706,0.1207590569292698,trend_up,0.0023240800516464155,0.011878631375080717,0.024402840542285587
2021-07-15,2.1709235,0.3064263322883999,0.11230791325578049,trend_up,0.001416977972433342,0.013912147365709338,0.026020868221048543
2021-07-16,2.1759689,0.287152637937977,0.10113475177304965,trend_up,-0.00565989194751737,0.010547980447646044,0.024826344224337493
2021-07-19,2.1790522,0.26919900908340116,0.0915473181690536,trend_up,0.0011642949547219228,-0.00245795601552401,0.025485122897800805
2021-07-20,2.166719,0.24225122349102665,0.08323991031390121,trend_up,0.012663134771934148,-0.022612740664168518,0.001679803592195217
2021-07-21,2.1692417,0.25470925470925404,0.08739637487705498,trend_up,0.004338394793926392,-0.049381140742631,-0.006635192037769633
2021-07-22,2.1967111,0.27605409705648243,0.09715805683886303,trend_up,-0.0019057298945497347,-0.037352305933172514,-0.00876635751492838
2021-07-23,2.2062413000000003,0.2757660167130911,0.09654499860685428,trend_up,-0.018457230142566283,-0.03245926680244404,-0.011201629327902252
2021-07-26,2.2020368,0.28342674139311397,0.09904868494683838,trend_up,-0.019063675269096025,-0.0009077940604329537,0.02191674231617169
2021-07-27,2.1613933,0.2139341158652019,0.07906521130702493,trend_up,-0.015071390798519269,0.011369645690111119,0.052749867794817495
2021-07-28,2.1201892,0.13377192982456107,0.05084745762711873,trend_up,0.01704697986577175,0.042013422818791835,0.07744966442953016
2021-07-29,2.088235,0.08778089887640438,0.03472222222222232,range,0.0031674805331924905,0.02336016893229509,0.05490299590867087
2021-07-30,2.1238331,0.12348178137651797,0.050755789765635884,trend_up,0.013550848572556395,0.024865149322457425,0.059597421391922145
2021-08-02,2.1305603,0.1392917369308599,0.057456872565386785,trend_up,-0.007009345794392607,0.015186915887850372,0.05269989615783999
2021-08-03,2.1594312,0.18011195258478752,0.07642867123096275,trend_up,0.014771241830065396,0.029281045751633927,0.0643137254901962
2021-08-04,2.144295,0.15347018572824975,0.06560802340158789,trend_up,-0.0011593456138091485,0.02202756666237282,0.03993301558675766
