candidate_id,window,metric,baseline_value,candidate_value,difference,outcome,score
125,2026Q1,max_drawdown,-0.08487871516881784,-0.039979086344358095,0.04489962882445975,better,1.0
125,2026Q1,calmar,3.936749383367035,13.691587481360877,9.754838097993842,better,1.0
125,2026Q1,win_loss_ratio,2.8264348948834463,17.24542371848595,14.418988823602502,better,1.0
125,2026H1,max_drawdown,-0.12086776859504111,-0.12086776859504123,-1.1102230246251565e-16,tie,0.5
125,2026H1,calmar,18.108745934844787,18.47668477173366,0.36793883688887163,better,1.0
125,2026H1,win_loss_ratio,4.618281743191085,16.552232054653448,11.933950311462363,better,1.0
125,2026M1_M8,max_drawdown,-0.12086776859504111,-0.12086776859504123,-1.1102230246251565e-16,tie,0.5
125,2026M1_M8,calmar,9.043112923109664,9.67476833880068,0.6316554156910161,better,1.0
125,2026M1_M8,win_loss_ratio,3.665597294397283,16.552447911919774,12.88685061752249,better,1.0
143,2026Q1,max_drawdown,-0.08487871516881784,-0.039979086344358095,0.04489962882445975,better,1.0
143,2026Q1,calmar,3.936749383367035,15.521885951775387,11.585136568408352,better,1.0
143,2026Q1,win_loss_ratio,2.8264348948834463,9.440078789316033,6.613643894432586,better,1.0
143,2026H1,max_drawdown,-0.12086776859504111,-0.12086776859504123,-1.1102230246251565e-16,tie,0.5
143,2026H1,calmar,18.108745934844787,23.047402609165648,4.93865667432086,better,1.0
143,2026H1,win_loss_ratio,4.618281743191085,21.72811428911582,17.109832545924732,better,1.0
143,2026M1_M8,max_drawdown,-0.12086776859504111,-0.12086776859504123,-1.1102230246251565e-16,tie,0.5
143,2026M1_M8,calmar,9.043112923109664,11.352490014138525,2.3093770910288605,better,1.0
143,2026M1_M8,win_loss_ratio,3.665597294397283,19.6579772525972,15.992379958199916,better,1.0
275,2026Q1,max_drawdown,-0.08487871516881784,-0.039979086344358095,0.04489962882445975,better,1.0
275,2026Q1,calmar,3.936749383367035,13.691587481360877,9.754838097993842,better,1.0
275,2026Q1,win_loss_ratio,2.8264348948834463,17.24542371848595,14.418988823602502,better,1.0
275,2026H1,max_drawdown,-0.12086776859504111,-0.12086776859504123,-1.1102230246251565e-16,tie,0.5
275,2026H1,calmar,18.108745934844787,18.47668477173366,0.36793883688887163,better,1.0
275,2026H1,win_loss_ratio,4.618281743191085,16.552232054653448,11.933950311462363,better,1.0
275,2026M1_M8,max_drawdown,-0.12086776859504111,-0.12086776859504123,-1.1102230246251565e-16,tie,0.5
275,2026M1_M8,calmar,9.043112923109664,9.67476833880068,0.6316554156910161,better,1.0
275,2026M1_M8,win_loss_ratio,3.665597294397283,16.552447911919774,12.88685061752249,better,1.0
293,2026Q1,max_drawdown,-0.08487871516881784,-0.039979086344358095,0.04489962882445975,better,1.0
293,2026Q1,calmar,3.936749383367035,15.521885951775387,11.585136568408352,better,1.0
293,2026Q1,win_loss_ratio,2.8264348948834463,9.440078789316033,6.613643894432586,better,1.0
293,2026H1,max_drawdown,-0.12086776859504111,-0.12086776859504123,-1.1102230246251565e-16,tie,0.5
293,2026H1,calmar,18.108745934844787,23.047402609165648,4.93865667432086,better,1.0
293,2026H1,win_loss_ratio,4.618281743191085,21.72811428911582,17.109832545924732,better,1.0
293,2026M1_M8,max_drawdown,-0.12086776859504111,-0.12086776859504123,-1.1102230246251565e-16,tie,0.5
293,2026M1_M8,calmar,9.043112923109664,11.352490014138525,2.3093770910288605,better,1.0
293,2026M1_M8,win_loss_ratio,3.665597294397283,19.6579772525972,15.992379958199916,better,1.0
400,2026Q1,max_drawdown,-0.08487871516881784,-0.08487871516881784,0.0,tie,0.5
400,2026Q1,calmar,3.936749383367035,3.936749383367035,0.0,tie,0.5
400,2026Q1,win_loss_ratio,2.8264348948834463,2.8264348948834463,0.0,tie,0.5
400,2026H1,max_drawdown,-0.12086776859504111,-0.12086776859504134,-2.220446049250313e-16,tie,0.5
400,2026H1,calmar,18.108745934844787,15.940508117357247,-2.1682378174875403,worse,0.0
400,2026H1,win_loss_ratio,4.618281743191085,2.7128244009065257,-1.9054573422845595,worse,0.0
400,2026M1_M8,max_drawdown,-0.12086776859504111,-0.12086776859504134,-2.220446049250313e-16,tie,0.5
400,2026M1_M8,calmar,9.043112923109664,8.416706956581761,-0.6264059665279031,worse,0.0
400,2026M1_M8,win_loss_ratio,3.665597294397283,2.6367120545133096,-1.0288852398839734,worse,0.0
418,2026Q1,max_drawdown,-0.08487871516881784,-0.08487871516881784,0.0,tie,0.5
418,2026Q1,calmar,3.936749383367035,3.594647744576733,-0.342101638790302,worse,0.0
418,2026Q1,win_loss_ratio,2.8264348948834463,2.5196507631099796,-0.30678413177346675,worse,0.0
418,2026H1,max_drawdown,-0.12086776859504111,-0.12086776859504123,-1.1102230246251565e-16,tie,0.5
418,2026H1,calmar,18.108745934844787,19.15950365451188,1.050757719667093,better,1.0
418,2026H1,win_loss_ratio,4.618281743191085,4.642472792903741,0.0241910497126554,better,1.0
418,2026M1_M8,max_drawdown,-0.12086776859504111,-0.12086776859504123,-1.1102230246251565e-16,tie,0.5
418,2026M1_M8,calmar,9.043112923109664,9.543617688344348,0.5005047652346839,better,1.0
418,2026M1_M8,win_loss_ratio,3.665597294397283,3.4456084374024547,-0.21998885699482829,worse,0.0
