left_alias,right_alias,left_signal,right_signal,left_family,right_family,nmi,identical_state_ratio
F02,F03,raw__30m__cxt_third_buy_V230228__di_1,raw__daily__cxt_bi_status_V230101,MARKET_STRUCTURE,MARKET_STRUCTURE,0.057836871999768856,0.10298295454545454
F06,F12,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,raw__weekly__cxt_bi_status_V230101,TREND_MOMENTUM,MARKET_STRUCTURE,0.05773322303003336,0.4446022727272727
F07,F10,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,TREND_MOMENTUM,VOLUME_LIQUIDITY,0.0570545675115236,0.4268465909090909
F06,F10,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,TREND_MOMENTUM,VOLUME_LIQUIDITY,0.05332906468924127,0.43394886363636365
F10,F12,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,raw__weekly__cxt_bi_status_V230101,VOLUME_LIQUIDITY,MARKET_STRUCTURE,0.04774500725420468,0.3927556818181818
F02,F11,raw__30m__cxt_third_buy_V230228__di_1,raw__daily__pressure_support_V240406__di_1__w_20,MARKET_STRUCTURE,POSITION_VALUATION,0.04508132992113804,0.7528409090909091
F02,F07,raw__30m__cxt_third_buy_V230228__di_1,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,MARKET_STRUCTURE,TREND_MOMENTUM,0.04336194515995583,0.08877840909090909
F03,F11,raw__daily__cxt_bi_status_V230101,raw__daily__pressure_support_V240406__di_1__w_20,MARKET_STRUCTURE,POSITION_VALUATION,0.03884280209410219,0.08238636363636363
F11,F12,raw__daily__pressure_support_V240406__di_1__w_20,raw__weekly__cxt_bi_status_V230101,POSITION_VALUATION,MARKET_STRUCTURE,0.026383472128172138,0.23011363636363635
F02,F10,raw__30m__cxt_third_buy_V230228__di_1,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,MARKET_STRUCTURE,VOLUME_LIQUIDITY,0.025840922272166843,0.2705965909090909
F01,F11,raw__30m__cxt_bi_status_V230101,raw__daily__pressure_support_V240406__di_1__w_20,MARKET_STRUCTURE,POSITION_VALUATION,0.025445770887023014,0.10014204545454546
F04,F12,raw__daily__cxt_five_bi_V230619__di_1,raw__weekly__cxt_bi_status_V230101,MARKET_STRUCTURE,MARKET_STRUCTURE,0.021606215497722323,0.140625
F02,F05,raw__30m__cxt_third_buy_V230228__di_1,raw__daily__cxt_seven_bi_V230620__di_1,MARKET_STRUCTURE,MARKET_STRUCTURE,0.019436076863748875,0.8053977272727273
F04,F11,raw__daily__cxt_five_bi_V230619__di_1,raw__daily__pressure_support_V240406__di_1__w_20,MARKET_STRUCTURE,POSITION_VALUATION,0.018769992754518686,0.7151988636363636
F04,F06,raw__daily__cxt_five_bi_V230619__di_1,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,MARKET_STRUCTURE,TREND_MOMENTUM,0.01809323471090327,0.09801136363636363
F01,F02,raw__30m__cxt_bi_status_V230101,raw__30m__cxt_third_buy_V230228__di_1,MARKET_STRUCTURE,MARKET_STRUCTURE,0.01704963510270739,0.06676136363636363
F01,F05,raw__30m__cxt_bi_status_V230101,raw__daily__cxt_seven_bi_V230620__di_1,MARKET_STRUCTURE,MARKET_STRUCTURE,0.0157666202129603,0.11576704545454546
F04,F09,raw__daily__cxt_five_bi_V230619__di_1,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,MARKET_STRUCTURE,TREND_MOMENTUM,0.01521867326381206,0.09019886363636363
F02,F06,raw__30m__cxt_third_buy_V230228__di_1,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,MARKET_STRUCTURE,TREND_MOMENTUM,0.01505396022075424,0.078125
F05,F11,raw__daily__cxt_seven_bi_V230620__di_1,raw__daily__pressure_support_V240406__di_1__w_20,MARKET_STRUCTURE,POSITION_VALUATION,0.014334724197429632,0.7279829545454546
F05,F06,raw__daily__cxt_seven_bi_V230620__di_1,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,MARKET_STRUCTURE,TREND_MOMENTUM,0.014290560247194812,0.09730113636363637
F01,F04,raw__30m__cxt_bi_status_V230101,raw__daily__cxt_five_bi_V230619__di_1,MARKET_STRUCTURE,MARKET_STRUCTURE,0.014064341091960626,0.11008522727272728
F05,F08,raw__daily__cxt_seven_bi_V230620__di_1,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,MARKET_STRUCTURE,TREND_MOMENTUM,0.013647182354455188,0.061079545454545456
F10,F11,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,raw__daily__pressure_support_V240406__di_1__w_20,VOLUME_LIQUIDITY,POSITION_VALUATION,0.013638314364262135,0.23011363636363635
F05,F12,raw__daily__cxt_seven_bi_V230620__di_1,raw__weekly__cxt_bi_status_V230101,MARKET_STRUCTURE,MARKET_STRUCTURE,0.012410421574399323,0.15056818181818182
F04,F07,raw__daily__cxt_five_bi_V230619__di_1,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,MARKET_STRUCTURE,TREND_MOMENTUM,0.008448184279259386,0.08735795454545454
F04,F08,raw__daily__cxt_five_bi_V230619__di_1,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,MARKET_STRUCTURE,TREND_MOMENTUM,0.007002902227764769,0.07599431818181818
F02,F12,raw__30m__cxt_third_buy_V230228__di_1,raw__weekly__cxt_bi_status_V230101,MARKET_STRUCTURE,MARKET_STRUCTURE,0.0068520261367813595,0.1434659090909091
F05,F09,raw__daily__cxt_seven_bi_V230620__di_1,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,MARKET_STRUCTURE,TREND_MOMENTUM,0.006802059258780853,0.06960227272727272
F04,F10,raw__daily__cxt_five_bi_V230619__di_1,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,MARKET_STRUCTURE,VOLUME_LIQUIDITY,0.005873715821993778,0.2421875
F05,F07,raw__daily__cxt_seven_bi_V230620__di_1,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,MARKET_STRUCTURE,TREND_MOMENTUM,0.004907692148043582,0.08167613636363637
F05,F10,raw__daily__cxt_seven_bi_V230620__di_1,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,MARKET_STRUCTURE,VOLUME_LIQUIDITY,0.0021461331281710434,0.2294034090909091
F02,F04,raw__30m__cxt_third_buy_V230228__di_1,raw__daily__cxt_five_bi_V230619__di_1,MARKET_STRUCTURE,MARKET_STRUCTURE,0.0002747423441298288,0.8210227272727273
