variant_id,factor_alias,signal_input,default_weight,trend_weight,range_weight
LOO-F04,F02,raw__30m__cxt_third_buy_V230228__di_1,0.06340885709364721,0.088262258797279,0.29387866386082306
LOO-F04,F03,raw__daily__cxt_bi_status_V230101,0.05060058421438182,0.07043372273099574,0.07871860248963322
LOO-F04,F04,raw__daily__cxt_five_bi_V230619__di_1,0.0,0.0,0.0
LOO-F04,F05,raw__daily__cxt_seven_bi_V230620__di_1,0.05060058421438182,0.07043372273099574,0.0949470499631922
LOO-F04,F06,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.08903135731545715,0.09294571445489574,0.015598119842434819
LOO-F04,F07,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.07590087632157273,0.0792379380723702,0.080772524583283
LOO-F04,F08,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.07590087632157273,0.0792379380723702,0.022589674691740766
LOO-F04,F09,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.07590087632157273,0.0792379380723702,0.017691061168593585
LOO-F04,F10,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.20240233685752732,0.14086744546199148,0.1460916102865114
LOO-F04,F11,raw__daily__pressure_support_V240406__di_1__w_20,0.20240233685752732,0.14086744546199148,0.07814506247656614
LOO-F04,F12,raw__weekly__cxt_bi_status_V230101,0.05060058421438182,0.07043372273099574,0.050696948986686426
LOO-F05,F01,raw__30m__cxt_bi_status_V230101,0.062440972243987806,0.0864810500130469,0.1196077933933826
LOO-F05,F02,raw__30m__cxt_third_buy_V230228__di_1,0.06259707467459776,0.0866972526380795,0.290808143296617
LOO-F05,F03,raw__daily__cxt_bi_status_V230101,0.049952777795190244,0.06918484001043752,0.07789613009727048
LOO-F05,F04,raw__daily__cxt_five_bi_V230619__di_1,0.06275512838559036,0.08691615779592504,0.10440327811624868
LOO-F05,F05,raw__daily__cxt_seven_bi_V230620__di_1,0.0,0.0,0.0
LOO-F05,F06,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.08789154666556548,0.0912976644550968,0.015435146637405453
LOO-F05,F07,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.07492916669278535,0.07783294501174222,0.07992859227973455
