variant_id,variant_kind,window,sessions,total_return,cagr,maximum_drawdown,calmar,closed_trades,win_loss_ratio,win_loss_ratio_status
CONTROL,control,FULL,1374,2.6423167354999912,0.26753541939751635,-0.2153338010058451,1.2424218499271011,73,4.5025235129258006,VALID
CONTROL,control,2021,243,-0.018195219499998805,-0.018862721129591642,-0.16399176937661686,-0.11502236484973999,13,2.0892953018966534,VALID
CONTROL,control,2022,242,0.09227174719384124,0.09626263918388811,-0.0953429886318834,1.0096457072009297,11,2.9170816561252404,VALID
CONTROL,control,2023,242,-0.014713086975950418,-0.015316386277953509,-0.1444856348653184,-0.10600629115988316,17,1.7610576303556755,VALID
CONTROL,control,2024,242,0.2951921786391174,0.3091099470481231,-0.18231336323128544,1.6954870535517554,12,4.650158615794195,VALID
CONTROL,control,2025,243,0.5124074078963756,0.5357594479031507,-0.11707955660468516,4.576029013435051,13,9.086650271318286,VALID
CONTROL,control,2026,162,0.7597709461295015,1.4089105142737828,-0.12035534331473874,11.706256452523013,7,17.73350300556208,VALID
LOO-F01,leave_one_out,FULL,1374,1.6102050764999927,0.19239645030771624,-0.2591094971139951,0.7425295191826624,59,5.298908518682701,VALID
LOO-F01,leave_one_out,2021,243,0.010092057500001195,0.01046778706228424,-0.18267212246839915,0.05730369210603049,12,3.4695011318071316,VALID
LOO-F01,leave_one_out,2022,242,0.10872948627259116,0.11346839655059382,-0.11331612181038464,1.0013438047276626,9,4.304603354159256,VALID
LOO-F01,leave_one_out,2023,242,-0.06103091364348623,-0.06347110262820399,-0.19075148295089617,-0.3327423810620802,12,2.177171461655325,VALID
LOO-F01,leave_one_out,2024,242,0.23844344990797994,0.24943606933702434,-0.18227427011765784,1.3684656050248543,11,6.98611917984491,VALID
LOO-F01,leave_one_out,2025,243,0.38008345922767517,0.396648214182985,-0.16388095714315631,2.420343529214914,9,14.063760047677894,VALID
LOO-F01,leave_one_out,2026,162,0.4522963661223376,0.786841150117725,-0.18423259998035135,4.270911609572044,6,2.772964985371561,VALID
LOO-F02,leave_one_out,FULL,1374,2.1174135389999935,0.2318701023041536,-0.2134149555366509,1.0864754146263818,87,3.8427783615879845,VALID
LOO-F02,leave_one_out,2021,243,0.04867455349999994,0.05052211964239328,-0.1138735850777679,0.4436684733153006,13,1.7371529908735095,VALID
LOO-F02,leave_one_out,2022,242,0.1049354708119179,0.10950099801598512,-0.10430905007177105,1.0497746642371077,14,2.9744600734158784,VALID
LOO-F02,leave_one_out,2023,242,-0.028601448973364585,-0.02976556374531847,-0.17000600836966506,-0.17508536333960342,19,1.9095588406372352,VALID
LOO-F02,leave_one_out,2024,242,0.26557112581183984,0.27794827189423965,-0.18225403820842023,1.5250596070545575,15,5.103299135993375,VALID
LOO-F02,leave_one_out,2025,243,0.5141053193892906,0.537547469419591,-0.11711664167965885,4.589847025240937,15,8.907792109961457,VALID
LOO-F02,leave_one_out,2026,162,0.4453621497588065,0.7735874598645731,-0.16650288664529556,4.646090379877689,11,3.7369060240788503,VALID
LOO-F03,leave_one_out,FULL,1374,0.8929028110000006,0.12415715088906665,-0.4126709309658887,0.30086236168481045,110,2.716724608915023,VALID
