year,trades,stress_mean
2021,26,-0.0014654287166890403
2022,59,-0.0022492128420685932
2023,57,-0.002459533724366397
2024,59,-0.0017987821648509875
2025,40,0.00030253785013140827
2026,34,-0.0008343116004068033
