entry_year,trades,stress_mean,total_return
2021,21,-0.005868664517128821,-0.1193654492848103
2022,31,-0.000784310134556029,-0.03625418723573093
2023,37,0.00034072509402614993,0.006587749505675866
2024,32,0.00329171286826092,0.04445528249349251
2025,20,-0.006374449361802171,-0.12587846601512032
2026,17,-0.0022567343633887425,-0.05749136862788773
