mechanism,family,quantile,raw_events,independent_events,rolling_60_median,rolling_60_p10,rolling_60_minimum,rolling_60_maximum,density_pass
DIP_CREATION_Q50,DIP_CREATION,0.5,408,187,9.0,6.0,4.0,15.0,True
RALLY_REDEMPTION_Q50,RALLY_REDEMPTION,0.5,349,174,8.0,5.0,3.0,15.0,True
DIP_CREATION_Q60,DIP_CREATION,0.6,354,174,8.0,5.0,2.0,14.0,True
RALLY_REDEMPTION_Q60,RALLY_REDEMPTION,0.6,332,165,8.0,5.0,3.0,14.0,True
DIP_CREATION_Q70,DIP_CREATION,0.7,271,149,7.0,4.0,0.0,11.0,True
RALLY_REDEMPTION_Q70,RALLY_REDEMPTION,0.7,271,145,7.0,4.0,2.0,13.0,True
RALLY_CREATION_Q50,RALLY_CREATION,0.5,178,112,5.0,2.0,0.0,11.0,False
RALLY_CREATION_Q60,RALLY_CREATION,0.6,150,98,5.0,2.0,0.0,10.0,False
RALLY_CREATION_Q70,RALLY_CREATION,0.7,117,82,4.0,2.0,0.0,8.0,False
DIP_REDEMPTION_Q50,DIP_REDEMPTION,0.5,139,87,4.0,1.0,0.0,9.0,False
DIP_REDEMPTION_Q60,DIP_REDEMPTION,0.6,124,80,3.0,1.0,0.0,9.0,False
DIP_REDEMPTION_Q70,DIP_REDEMPTION,0.7,104,71,3.0,1.0,0.0,8.0,False
