,rate_shibor_overnight_level,risk_sse_drawdown_60,price_trend_distance_20,risk_sse_turnover_z20,price_return_20d,gold_sge_return_20d,price_return_120d,price_trend_distance_60,gold_sge_trend_distance_60,price_intraday_range,risk_sse_return_1d,currency_usdcnh_return_5d,risk_sse_return_5d,currency_usdcnh_return_1d,rate_us_real_curve_10y_5y,currency_usdcnh_return_20d,tsfresh_price_intraday_range_cid_ce_normalized_20,risk_sse_return_20d,price_return_5d,gold_sge_return_5d
rate_shibor_overnight_level,1.0,0.07386828716768683,-0.13948638740611458,0.028112550068672644,-0.09196429843193706,-0.07351842025292461,0.032278769233579044,-0.05942025088186712,-0.05009762379608648,-0.00949745529804397,0.011614889948625022,0.09958668954833737,-0.018474224507396685,-0.0018192304298420472,0.2629631259212917,0.09529287814597126,0.027266188050836828,-0.01372509167176227,-0.09166959594620007,-0.0752256437055119
risk_sse_drawdown_60,0.07386828716768683,1.0,-0.17449177808537675,0.20063157930261658,-0.11424080246425539,-0.09898559510700342,0.04911386541357228,-0.08828099416418295,-0.07726249618328133,-0.08690801694698182,0.19952848953171065,0.20438686478580398,0.39869534171103477,0.07768377337041849,0.10887616812573583,0.32006324084573945,0.05968230235710629,0.6553806212030994,-0.13090039320996638,-0.13242695246567077
price_trend_distance_20,-0.13948638740611458,-0.17449177808537675,1.0,0.1241031117556813,0.7828882014151015,0.6790297310328585,0.260434053029297,0.7022436153378847,0.6199922999401521,0.11973601507019083,0.05488794791733325,0.06978930208769622,0.13263122544940148,0.021851218534862105,-0.1408308836883279,-0.05495704994050215,0.18926659243154795,-0.03603012190633981,0.7129376886459772,0.65226580719754
risk_sse_turnover_z20,0.028112550068672644,0.20063157930261658,0.1241031117556813,1.0,0.20241617333638146,0.2015943042728062,0.002975233785273574,0.1083489199350063,0.11362734089633734,0.04086509641788434,0.12276291412314451,0.13019247101445394,0.3255254184783864,0.043340088087771844,0.039567975071100096,0.11805088182237705,0.069839814962189,0.22245704609904457,-0.004042082646151442,0.024672189589609466
price_return_20d,-0.09196429843193706,-0.11424080246425539,0.7828882014151015,0.20241617333638146,1.0,0.9278425471712769,0.3052029324986065,0.7663865892325453,0.7314037173998807,0.17203470948474703,0.057355943008542444,0.0617569920516674,0.14682109905493126,0.01725830735785939,-0.16462663398100505,0.006378615192889038,0.20858887200193485,0.08410972275568915,0.4016430104201048,0.4025617196729027
gold_sge_return_20d,-0.07351842025292461,-0.09898559510700342,0.6790297310328585,0.2015943042728062,0.9278425471712769,1.0,0.2965860830413671,0.7446523578099546,0.7693856179552675,0.20146363616522023,0.05408762144039405,0.058467180638905165,0.14291308356256102,0.013006352992947997,-0.17026500486319152,0.023004351979339838,0.22265221458557574,0.1076559339874017,0.30106819659445583,0.4010917247188286
price_return_120d,0.032278769233579044,0.04911386541357228,0.260434053029297,0.002975233785273574,0.3052029324986065,0.2965860830413671,1.0,0.5508462147525516,0.5492666877741199,0.12018436173821646,0.01832110208858643,0.0625818420589123,0.04388333762342317,0.016553496079613986,-0.44197625816985675,0.02161245326647067,0.2875145116980641,0.07248561169883637,0.1850386944112007,0.17664382363187747
price_trend_distance_60,-0.05942025088186712,-0.08828099416418295,0.7022436153378847,0.1083489199350063,0.7663865892325453,0.7446523578099546,0.5508462147525516,1.0,0.9646975893439818,0.21003409533395884,0.04626909046065766,0.02827777841309963,0.12075699138297756,0.00121801055407979,-0.32414054166401735,-0.03356473431629764,0.31534210682439284,0.10066419722541255,0.44000376143042264,0.41785714715101396
gold_sge_trend_distance_60,-0.05009762379608648,-0.07726249618328133,0.6199922999401521,0.11362734089633734,0.7314037173998807,0.7693856179552675,0.5492666877741199,0.9646975893439818,1.0,0.2361807132320754,0.036553536254234624,0.025700132019727057,0.11850455864847816,-0.008200799753806574,-0.3252427735124243,-0.02330071838197804,0.32131277895027727,0.11170873293155344,0.3417753670008399,0.4374325082692567
price_intraday_range,-0.00949745529804397,-0.08690801694698182,0.11973601507019083,0.04086509641788434,0.17203470948474703,0.20146363616522023,0.12018436173821646,0.21003409533395884,0.2361807132320754,1.0,-0.06830572172776161,0.0374371890901477,-0.07284574025689122,-0.01322820747375551,0.1446177016503077,0.07412671549562873,0.18028091137702107,-0.0032876138349061572,0.06482127774695978,0.11847183452331503
risk_sse_return_1d,0.011614889948625022,0.19952848953171065,0.05488794791733325,0.12276291412314451,0.057355943008542444,0.05408762144039405,0.01832110208858643,0.04626909046065766,0.036553536254234624,-0.06830572172776161,1.0,0.10171371775526063,0.39510696302968235,0.15223493228197474,0.04343200240040293,0.0473176578381808,0.03270344801417688,0.18362360633232147,-0.0008362379966284383,-0.0017316095676719343
currency_usdcnh_return_5d,0.09958668954833737,0.20438686478580398,0.06978930208769622,0.13019247101445394,0.0617569920516674,0.058467180638905165,0.0625818420589123,0.02827777841309963,0.025700132019727057,0.0374371890901477,0.10171371775526063,1.0,0.327368882992016,0.39605013138366446,0.12114469499232072,0.4892285118435166,0.0111416311119598,0.19545426307198638,0.07561100857917395,0.09007616061046907
