trial_number,min_return_delta,win_count,median_return_delta,mean_return_delta,active_factor_count
0,0.0,0,0.0,0.0,12
468,-0.032309167520462534,5,0.011924010468763346,0.02394006943488282,7
436,-0.033724588037125636,3,-0.007214978103615488,-0.005557276173005984,10
129,-0.05571291178614146,3,-0.016560063720786222,-0.015394778601565351,10
234,-0.058216392371743475,5,0.011676536963793005,0.006154435971520364,8
463,-0.06738175514810263,5,0.007622878627248808,-0.001151480638355698,17
266,-0.06756480576836632,4,0.0026448438438194666,-0.0004894019386026544,7
590,-0.06871397533635681,4,-0.0032976791008872963,-0.01439317706256732,6
501,-0.06936802908722395,2,-0.02453388885207497,-0.017489080715627187,10
387,-0.07069777937658994,4,0.005699328893894295,0.0044713286866251145,6
565,-0.07083949360708963,4,-0.012055439658471667,-0.010649551792505,13
491,-0.07560443119770144,3,-0.04232776766897284,-0.021746812188274706,6
63,-0.07604417856278811,1,-0.026280916986912373,-0.027716737350492487,6
51,-0.07691142403348472,5,0.010085377153478625,-0.0068737222154247185,7
293,-0.07807665291185706,5,0.010844668958214676,-0.0028751319463647534,14
550,-0.07828186704319395,3,-0.014181274278974532,-0.016977065256084597,15
588,-0.07828348608447444,3,-0.026104552842621975,-0.020665495518942964,8
471,-0.08079187015437617,2,-0.007659520796520769,-0.01844911265019665,16
259,-0.08213833564496098,1,-0.04539823936644727,-0.037806333873653286,12
586,-0.08694445021739905,1,-0.03050141320309213,-0.030897114974524215,16
524,-0.08697240426020603,2,-0.01378263682420744,-0.0099760523797143,18
533,-0.093211572836152,2,-0.05969853682083537,-0.04310914706693611,18
488,-0.09422692605369609,4,-0.00121773983760598,-0.021211047105240285,15
572,-0.0972546522976061,4,-0.0008675314755519081,-0.014199620452204034,16
551,-0.09762372781307294,4,0.008263124019238621,-0.011517901473718395,17
580,-0.09923700583202522,6,0.03396242606266764,0.015717740205735048,10
490,-0.10168701372393119,3,-0.009690643275910515,-0.02338789534547353,6
397,-0.10288743145733026,3,-0.017075943460691467,-0.019738636258613967,14
482,-0.1034474048665226,3,-0.030699373595078017,-0.024829847446217385,16
331,-0.1059181669469128,2,-0.06260450841690124,-0.04509947923656643,14
159,-0.10620393046813714,3,-0.02432992956430713,-0.029324871486354875,13
571,-0.10931250458656261,1,-0.04770057214498685,-0.050730053587421206,17
401,-0.10951085745532851,4,0.005076479478777707,-0.004547459766894774,16
264,-0.11184989166440817,2,-0.017428688677220527,-0.01500131926013222,13
534,-0.11490553679358484,3,-0.03308576705373839,-0.025267650803626376,18
504,-0.11518490503481082,4,-0.033695227180937815,-0.03176797913630529,12
28,-0.1153880791480224,5,0.023805291309127397,0.002052468287821893,8
355,-0.1153880791480224,4,0.002247988397664158,-0.007772791906633006,6
454,-0.1153880791480224,4,0.00037381894740001753,-0.0074641830350365285,13
467,-0.1153880791480224,4,-0.018623430569572663,-0.0196902057077179,13
394,-0.1153880791480224,4,-0.0188968143330972,-0.006497254048060105,15
570,-0.1176654831501105,2,-0.028524986771483407,-0.03136172777274798,7
606,-0.1176654831501105,2,-0.03572470893381552,-0.032703425629286645,8
59,-0.1176654831501105,1,-0.04139315636948521,-0.046340395563874176,6
184,-0.1187432898878582,2,-0.048495233189652265,-0.04669535851697208,9
321,-0.11913439935632009,4,-0.0028297368240460807,-0.013525139842918837,15
499,-0.12097156373256013,2,-0.0526277881237755,-0.017019743521374753,15
458,-0.12231657801926621,2,-0.03917080939686146,-0.03981492441923844,16
536,-0.1232631683691865,2,-0.0198459455262196,-0.03639576098357042,18
402,-0.1253581320583208,5,0.0015135058230790754,-0.015327349188435202,10
528,-0.1261094235843414,4,-0.009000967031869866,-0.003778467376749889,15
390,-0.12827838382687395,4,-0.01492507821478567,-0.02593740041358554,7
453,-0.12827838382687395,4,-0.017332959095394895,-0.022619775647233484,14
121,-0.12827838382687395,3,-0.012873612209022334,-0.021325952151203045,14
526,-0.12827838382687395,3,-0.03364887944845757,-0.02957812544487276,9
258,-0.13061943420645172,1,-0.059197410957528174,-0.04994028124724213,15
456,-0.13081843375077673,3,-0.02130606058253459,-0.029233764907109633,14
538,-0.13082994465626152,3,-0.04774221886426233,-0.029275443670877727,17
412,-0.13158739260343255,2,-0.06012842884203401,-0.05467127959866232,12
492,-0.1331379765046221,3,-0.03941560119578069,-0.016125276282064255,15
527,-0.13330476602953323,4,5.961604180731994e-05,-0.020659093313521754,16
489,-0.1362631902224869,4,0.0007314806935299623,0.0027221922226082773,14
531,-0.13698459244478067,2,-0.04496221931286315,-0.04833441680941317,14
425,-0.13758910526059354,0,-0.09704027644275748,-0.07978821309111872,11
