hypothesis_id,exit_clock,signal_clock,episodes,share
M01,09:45,09:45,50,0.056433408577878104
M01,09:45,10:00,106,0.11963882618510158
M01,09:45,10:15,82,0.09255079006772009
M01,09:45,10:30,66,0.0744920993227991
M01,09:45,10:45,55,0.062076749435665914
M01,09:45,11:00,52,0.05869074492099323
M01,09:45,11:15,52,0.05869074492099323
M01,09:45,11:30,42,0.04740406320541761
M01,09:45,13:15,52,0.05869074492099323
M01,09:45,13:30,60,0.06772009029345373
M01,09:45,13:45,69,0.07787810383747178
M01,09:45,14:00,38,0.04288939051918736
M01,09:45,14:15,49,0.055304740406320545
M01,09:45,14:30,43,0.04853273137697517
M01,09:45,14:45,31,0.034988713318284424
M01,09:45,15:00,39,0.04401805869074492
M01,10:30,09:45,67,0.08758169934640522
M01,10:30,10:00,44,0.05751633986928104
M01,10:30,10:15,44,0.05751633986928104
M01,10:30,10:30,28,0.036601307189542485
M01,10:30,10:45,55,0.0718954248366013
M01,10:30,11:00,52,0.06797385620915032
M01,10:30,11:15,52,0.06797385620915032
M01,10:30,11:30,42,0.054901960784313725
M01,10:30,13:15,52,0.06797385620915032
M01,10:30,13:30,60,0.0784313725490196
M01,10:30,13:45,69,0.09019607843137255
M01,10:30,14:00,38,0.04967320261437908
M01,10:30,14:15,49,0.06405228758169934
M01,10:30,14:30,43,0.05620915032679739
M01,10:30,14:45,31,0.040522875816993466
M01,10:30,15:00,39,0.050980392156862744
M01,11:30,09:45,73,0.10413694721825963
M01,11:30,10:00,53,0.07560627674750357
M01,11:30,10:15,47,0.06704707560627675
M01,11:30,10:30,33,0.047075606276747506
M01,11:30,10:45,28,0.039942938659058486
M01,11:30,11:00,27,0.03851640513552068
M01,11:30,11:15,30,0.042796005706134094
M01,11:30,11:30,29,0.04136947218259629
M01,11:30,13:15,52,0.07417974322396577
M01,11:30,13:30,60,0.08559201141226819
M01,11:30,13:45,69,0.09843081312410841
M01,11:30,14:00,38,0.05420827389443652
M01,11:30,14:15,49,0.06990014265335236
M01,11:30,14:30,43,0.06134094151212553
M01,11:30,14:45,31,0.0442225392296719
M01,11:30,15:00,39,0.05563480741797432
M01,15:00,09:45,92,0.15593220338983052
M01,15:00,10:00,61,0.10338983050847457
M01,15:00,10:15,54,0.09152542372881356
M01,15:00,10:30,43,0.07288135593220339
M01,15:00,10:45,32,0.05423728813559322
M01,15:00,11:00,29,0.04915254237288136
M01,15:00,11:15,32,0.05423728813559322
M01,15:00,11:30,32,0.05423728813559322
M01,15:00,13:15,34,0.0576271186440678
M01,15:00,13:30,37,0.06271186440677966
M01,15:00,13:45,35,0.059322033898305086
M01,15:00,14:00,20,0.03389830508474576
M01,15:00,14:15,30,0.05084745762711865
M01,15:00,14:30,26,0.04406779661016949
M01,15:00,14:45,15,0.025423728813559324
M01,15:00,15:00,18,0.030508474576271188
M02,09:45,09:45,86,0.09817351598173515
M02,09:45,10:00,97,0.11073059360730593
M02,09:45,10:15,94,0.10730593607305935
M02,09:45,10:30,50,0.05707762557077625
M02,09:45,10:45,39,0.04452054794520548
M02,09:45,11:00,43,0.04908675799086758
M02,09:45,11:15,52,0.0593607305936073
M02,09:45,11:30,48,0.0547945205479452
M02,09:45,13:15,33,0.03767123287671233
M02,09:45,13:30,53,0.06050228310502283
M02,09:45,13:45,72,0.0821917808219178
M02,09:45,14:00,57,0.06506849315068493
M02,09:45,14:15,47,0.05365296803652968
M02,09:45,14:30,32,0.0365296803652968
M02,09:45,14:45,51,0.05821917808219178
M02,09:45,15:00,22,0.02511415525114155
M02,10:30,09:45,101,0.1316818774445893
M02,10:30,10:00,48,0.06258148631029987
M02,10:30,10:15,46,0.05997392438070404
M02,10:30,10:30,23,0.02998696219035202
M02,10:30,10:45,39,0.05084745762711865
M02,10:30,11:00,43,0.0560625814863103
M02,10:30,11:15,52,0.06779661016949153
M02,10:30,11:30,48,0.06258148631029987
M02,10:30,13:15,33,0.04302477183833116
M02,10:30,13:30,53,0.06910039113428944
M02,10:30,13:45,72,0.0938722294654498
M02,10:30,14:00,57,0.07431551499348109
M02,10:30,14:15,47,0.061277705345501955
M02,10:30,14:30,32,0.041720990873533245
M02,10:30,14:45,51,0.06649282920469361
M02,10:30,15:00,22,0.028683181225554105
M02,11:30,09:45,107,0.15351506456241032
M02,11:30,10:00,52,0.0746054519368723
M02,11:30,10:15,50,0.07173601147776183
M02,11:30,10:30,23,0.03299856527977044
M02,11:30,10:45,24,0.03443328550932568
M02,11:30,11:00,22,0.03156384505021521
M02,11:30,11:15,28,0.040172166427546625
M02,11:30,11:30,24,0.03443328550932568
M02,11:30,13:15,33,0.047345767575322814
M02,11:30,13:30,53,0.07604017216642754
M02,11:30,13:45,72,0.10329985652797705
M02,11:30,14:00,57,0.08177905308464849
M02,11:30,14:15,47,0.06743185078909612
M02,11:30,14:30,32,0.04591104734576758
M02,11:30,14:45,51,0.07317073170731707
M02,11:30,15:00,22,0.03156384505021521
M02,15:00,09:45,119,0.20552677029360966
M02,15:00,10:00,60,0.10362694300518134
M02,15:00,10:15,58,0.1001727115716753
M02,15:00,10:30,27,0.046632124352331605
M02,15:00,10:45,27,0.046632124352331605
M02,15:00,11:00,27,0.046632124352331605
M02,15:00,11:15,33,0.05699481865284974
M02,15:00,11:30,24,0.04145077720207254
M02,15:00,13:15,23,0.039723661485319514
M02,15:00,13:30,25,0.04317789291882556
M02,15:00,13:45,40,0.0690846286701209
M02,15:00,14:00,27,0.046632124352331605
M02,15:00,14:15,25,0.04317789291882556
M02,15:00,14:30,17,0.02936096718480138
M02,15:00,14:45,32,0.055267702936096716
M02,15:00,15:00,15,0.025906735751295335
M03,09:45,09:45,16,0.01652892561983471
M03,09:45,10:00,128,0.1322314049586777
M03,09:45,10:15,93,0.09607438016528926
M03,09:45,10:30,78,0.08057851239669421
M03,09:45,10:45,88,0.09090909090909091
M03,09:45,11:00,94,0.09710743801652892
M03,09:45,11:15,66,0.06818181818181818
M03,09:45,11:30,52,0.05371900826446281
M03,09:45,13:15,58,0.05991735537190083
M03,09:45,13:30,43,0.04442148760330578
M03,09:45,13:45,51,0.05268595041322314
M03,09:45,14:00,46,0.047520661157024795
M03,09:45,14:15,36,0.0371900826446281
M03,09:45,14:30,45,0.04648760330578512
M03,09:45,14:45,36,0.0371900826446281
M03,09:45,15:00,38,0.03925619834710744
M03,10:30,09:45,22,0.02753441802252816
M03,10:30,10:00,59,0.07384230287859825
M03,10:30,10:15,38,0.04755944931163955
M03,10:30,10:30,27,0.03379224030037547
M03,10:30,10:45,88,0.11013767209011265
M03,10:30,11:00,94,0.11764705882352941
M03,10:30,11:15,66,0.08260325406758448
M03,10:30,11:30,52,0.06508135168961202
M03,10:30,13:15,58,0.07259073842302878
M03,10:30,13:30,43,0.05381727158948686
M03,10:30,13:45,51,0.06382978723404255
M03,10:30,14:00,46,0.057571964956195244
M03,10:30,14:15,36,0.04505632040050062
M03,10:30,14:30,45,0.056320400500625784
M03,10:30,14:45,36,0.04505632040050062
M03,10:30,15:00,38,0.04755944931163955
M03,11:30,09:45,23,0.03412462908011869
M03,11:30,10:00,72,0.10682492581602374
M03,11:30,10:15,47,0.06973293768545995
M03,11:30,10:30,33,0.04896142433234421
M03,11:30,10:45,38,0.05637982195845697
M03,11:30,11:00,52,0.0771513353115727
M03,11:30,11:15,28,0.04154302670623145
M03,11:30,11:30,28,0.04154302670623145
M03,11:30,13:15,58,0.08605341246290801
M03,11:30,13:30,43,0.06379821958456973
M03,11:30,13:45,51,0.07566765578635015
M03,11:30,14:00,46,0.06824925816023739
M03,11:30,14:15,36,0.05341246290801187
M03,11:30,14:30,45,0.06676557863501484
M03,11:30,14:45,36,0.05341246290801187
M03,11:30,15:00,38,0.05637982195845697
M03,15:00,09:45,27,0.04647160068846816
M03,15:00,10:00,81,0.13941480206540446
M03,15:00,10:15,52,0.08950086058519793
M03,15:00,10:30,42,0.07228915662650602
M03,15:00,10:45,44,0.0757314974182444
M03,15:00,11:00,61,0.10499139414802065
M03,15:00,11:15,35,0.060240963855421686
M03,15:00,11:30,32,0.055077452667814115
M03,15:00,13:15,32,0.055077452667814115
M03,15:00,13:30,21,0.03614457831325301
M03,15:00,13:45,26,0.04475043029259897
M03,15:00,14:00,32,0.055077452667814115
M03,15:00,14:15,24,0.04130808950086059
M03,15:00,14:30,27,0.04647160068846816
M03,15:00,14:45,24,0.04130808950086059
M03,15:00,15:00,21,0.03614457831325301
M04,09:45,09:45,209,0.2753623188405797
M04,09:45,10:00,18,0.023715415019762844
