hypothesis_id,exit_clock,regime,episodes,mean_return,median_return,win_rate,profit_factor,cagr,max_drawdown,calmar
M01,09:45,range,432,-0.00019150887966638187,-0.0006005205974535799,0.4537037037037037,0.9477887051439625,-0.01808436094366994,-0.3059562326929349,-0.0591076729651716
M01,09:45,trend_down,207,-0.001625542238074837,-0.0017291481874800452,0.3719806763285024,0.6567989835983771,-0.059407625787807894,-0.3268577593827341,-0.18175375704709684
M01,09:45,trend_up,247,-0.0008550785638906305,-0.0007317500590299231,0.44534412955465585,0.795498308248074,-0.03888079254314969,-0.22907579507716547,-0.1697289429031665
M02,09:45,range,434,-0.0008391394164408608,-0.0011992804317409456,0.41705069124423966,0.7811052884377949,-0.06518281451799657,-0.4021692798007268,-0.1620780546696515
M02,09:45,trend_down,189,-0.0020643018140758538,-0.0019130919161564064,0.4021164021164021,0.5551904965684213,-0.06808249199013272,-0.3511409077336143,-0.1938893774284541
M02,09:45,trend_up,253,-0.001421779560944006,-0.000915247808516706,0.45849802371541504,0.6878040314106711,-0.06390491524804431,-0.31153655165912486,-0.20512814598386966
M03,09:45,range,459,-0.0012882627845652195,-0.0015351811277450889,0.39215686274509803,0.6924694656452804,-0.10273943469790714,-0.4913628573184726,-0.209090762900944
M03,09:45,trend_down,232,-0.001998625505437793,-0.002108845029456574,0.39655172413793105,0.6067495911959571,-0.08113080900308378,-0.40521557865780256,-0.20021641140208316
M03,09:45,trend_up,277,-0.0003952770902730615,-0.0005742486923364654,0.4548736462093863,0.9101723611771146,-0.023657370616366413,-0.15167353185997523,-0.15597560316724782
M04,09:45,range,372,-0.0014643498147582582,-0.001700523342648308,0.4032258064516129,0.6520487176757124,-0.09482193967129826,-0.45495713845802055,-0.20841950077468144
M04,09:45,trend_down,165,-0.0004280684699800952,-0.0007712535538456633,0.46060606060606063,0.9123250836039273,-0.015021958699137139,-0.22772957296359175,-0.06596402260649202
M04,09:45,trend_up,222,-0.0008622933079309874,-0.000309213886458104,0.49099099099099097,0.8004986091206385,-0.035545125601948446,-0.1885260192325814,-0.18854228051193836
M05,09:45,range,360,-0.0014582202838086995,-0.0016458666349064566,0.40555555555555556,0.6731387253378676,-0.09154764693526551,-0.4470725423668308,-0.20477134751019685
M05,09:45,trend_down,178,-0.001767167247126589,-0.0017719035825242702,0.43258426966292135,0.6481582274186254,-0.055840454909997006,-0.300049955880868,-0.186103859759166
M05,09:45,trend_up,218,-0.0019205273005155656,-0.0015131435903305013,0.42660550458715596,0.6060483111941972,-0.07316167641171556,-0.34902190775609265,-0.20961915222480307
M06,09:45,range,453,-0.000560170759248707,-0.0010371637754239549,0.4326710816777042,0.854875633448954,-0.04762569256117877,-0.41589991610624,-0.11451238799724348
M06,09:45,trend_down,206,-0.00027690035422518543,-0.001578741624960578,0.4223300970873786,0.9325164168387796,-0.012216904491919145,-0.22338749100463595,-0.05468929543447716
M06,09:45,trend_up,262,-0.0009620584355990926,-0.001129570722111728,0.42366412213740456,0.7638639908774968,-0.045639818587853376,-0.2506372927268933,-0.18209508286376508
M07,09:45,range,554,-0.0010455132051027606,-0.001520903623862646,0.41335740072202165,0.7503527756428381,-0.10154686345833175,-0.5315496667940287,-0.19103927591714653
M07,09:45,trend_down,263,-0.0014318125095029524,-0.001855846229320668,0.39923954372623577,0.7294082283239287,-0.0681059558751087,-0.3917682483138397,-0.17384245958735797
M07,09:45,trend_up,325,-0.0006178420317766687,-0.00041945476062277276,0.47692307692307695,0.8480852081729778,-0.038411006774446865,-0.202335822029875,-0.18983789617231228
M01,10:30,range,370,0.0002052301707056359,-0.0007467465716408661,0.4594594594594595,1.052409948547406,0.009498595374688001,-0.21386564179970502,0.04441384457436072
M01,10:30,trend_down,173,-0.0017947258673595807,-0.0024965927055016213,0.4046242774566474,0.6695705065928276,-0.05542726117633112,-0.31783138303531944,-0.17439203343293413
M01,10:30,trend_up,222,-0.0007322950611190847,-0.0001943696561563235,0.4864864864864865,0.8460675979050781,-0.03100366632540008,-0.2262556423575003,-0.13702936201879132
M02,10:30,range,379,-0.0010187865632811453,-0.001526113127934714,0.42744063324538256,0.7691581692268123,-0.06904222074624777,-0.3576390216936435,-0.19305002127365706
M02,10:30,trend_down,164,-0.0016113392555576905,-0.0022196258706354,0.40853658536585363,0.6800581954831512,-0.04753865313927452,-0.2687486539144228,-0.17688889766276625
M02,10:30,trend_up,224,-0.001882908263121159,-0.0006933151243611047,0.45089285714285715,0.6492531431449426,-0.07426398228554776,-0.36929075495716146,-0.2010989478850142
M03,10:30,range,374,-0.0012000772249776226,-0.0014865099346126343,0.4197860962566845,0.7358181409964104,-0.08018817836070902,-0.41890299313723667,-0.19142421914955998
M03,10:30,trend_down,190,-0.0016457920315008508,-0.002189772594956396,0.3894736842105263,0.6727781161716287,-0.056034920087475903,-0.32484486785584876,-0.172497476895161
M03,10:30,trend_up,235,-0.001040195460061225,-0.0005920144523714477,0.4595744680851064,0.7921005039366578,-0.04583716136110827,-0.253696648708183,-0.18067704715261299
M04,10:30,range,351,-0.0006475366883976974,-0.0013386803926017654,0.4358974358974359,0.8556368718907709,-0.04317745535758499,-0.36702649000409426,-0.11764125079119858
M04,10:30,trend_down,160,0.0001310806535619817,-0.0011998901918545135,0.45625,1.024889699360984,0.00017293549482233495,-0.24334543315908286,0.0007106584766243851
M04,10:30,trend_up,212,-0.0008381097151364421,0.0005727768450320969,0.5188679245283019,0.8271005522242795,-0.03363821923658361,-0.19380377419277728,-0.17356844249649936
M05,10:30,range,325,-0.001065072904794224,-0.0008600714931883413,0.4430769230769231,0.7603342514728603,-0.06242646875113078,-0.33740070574011394,-0.1850217491815662
M05,10:30,trend_down,157,-0.0020342430826945385,-0.0016898505297607835,0.4267515923566879,0.6504311307205353,-0.05712189827807035,-0.3148004693623364,-0.18145429831720755
M05,10:30,trend_up,194,-0.0015616195505868972,-0.00033253219895063024,0.4690721649484536,0.7051027614104481,-0.054423507057626,-0.28489401532073144,-0.19103071363698687
M06,10:30,range,383,-0.0001989271602149768,-0.0010740860572651112,0.4516971279373368,0.9525132746903086,-0.017723216514998974,-0.2990929267426842,-0.05925655517171967
M06,10:30,trend_down,174,-0.00025451075617406553,-0.0018965679353103448,0.41379310344827586,0.9451347202814923,-0.010451648947870429,-0.19566628210144998,-0.05341568734081332
M06,10:30,trend_up,235,-0.0007327583143176521,-0.0009221437170993108,0.4595744680851064,0.8379301811647273,-0.032455818863054486,-0.24872613707894242,-0.1304881716261023
M07,10:30,range,424,-0.0007580136836059679,-0.0016961948189020415,0.4221698113207547,0.831428764666587,-0.05967091967584737,-0.4295081009889141,-0.13892850807344262
M07,10:30,trend_down,199,-0.0011752234182847016,-0.0014071041353549418,0.4371859296482412,0.7908480369844313,-0.04393124995823783,-0.35015138297119397,-0.12546359116294548
M07,10:30,trend_up,260,-0.0010122813448426573,-0.0015925870783293217,0.4307692307692308,0.7882308545399672,-0.04836576348567412,-0.26118753252066673,-0.18517638655607394
M01,11:30,range,331,0.00027994998262461046,-0.0004072100752234853,0.48338368580060426,1.0653543011911424,0.01151190008671299,-0.19816475487141139,0.05809257097299181
M01,11:30,trend_down,162,-0.0012954417134649757,-0.002066819078264448,0.4074074074074074,0.7647213226328665,-0.0387037714034667,-0.26648389226926783,-0.1452386899406235
M01,11:30,trend_up,208,-0.00043704508116629347,-0.00046035915877762346,0.4855769230769231,0.9192430403646046,-0.01929943461531769,-0.202421391844272,-0.09534286094705467
M02,11:30,range,341,-0.0009240301783819814,-0.0006946444738940016,0.4604105571847507,0.8041944589564185,-0.05751326678761293,-0.29442000587845485,-0.19534428924424407
M02,11:30,trend_down,147,-0.0016983990124188155,-0.002891060152182101,0.3741496598639456,0.6904795844187348,-0.0451601712474361,-0.24492265899685495,-0.18438543592659593
M02,11:30,trend_up,209,-0.001059688178969857,0.0003072063247724355,0.5119617224880383,0.8134958154810896,-0.04149300165213676,-0.22370192730346472,-0.18548343392611494
M03,11:30,range,313,-0.0015240457193114757,-0.0015226215517046837,0.40894568690095845,0.6913163991173223,-0.08434294236756179,-0.4288800094355979,-0.19665860033568905
M03,11:30,trend_down,159,-0.002197242415694591,-0.003092578366473031,0.3522012578616352,0.6331436423850707,-0.06256235192060822,-0.34195239372205277,-0.182956321023623
M03,11:30,trend_up,202,-0.0004307529106674816,-0.00031361412605185324,0.4801980198019802,0.9220367385451423,-0.01961077256403365,-0.2064463377486251,-0.09499210680071392
M04,11:30,range,315,-0.0003785400423052477,-0.0008807345157567648,0.45396825396825397,0.9177638094968181,-0.02503087628005185,-0.3031071950562436,-0.08258093733277166
M04,11:30,trend_down,153,0.00020171303824005515,-0.0015411013487732772,0.4444444444444444,1.0361892090491225,0.001895336467047315,-0.21000606240706265,0.00902515120431863
M04,11:30,trend_up,190,-2.6704070219220115e-05,0.0007020083392984544,0.5210526315789473,0.9949262277825794,-0.004886112253295272,-0.2245602113592733,-0.02175858413972542
M05,11:30,range,297,-0.001086219299690369,-0.00031003477685465075,0.48484848484848486,0.7796304954961659,-0.058550157719062246,-0.3156982019878827,-0.18546243643576263
M05,11:30,trend_down,143,-0.0017075897070525183,-0.001639087001343964,0.44755244755244755,0.7084744902783919,-0.0445932572426887,-0.2492002059404933,-0.1789455071852435
M05,11:30,trend_up,176,-0.0012655536267832561,-0.00019443123865636736,0.48863636363636365,0.7817610635267666,-0.041085133321187794,-0.221500629445615,-0.18548540211383652
M06,11:30,range,346,-0.00014293115735198914,-0.000597806782234811,0.4624277456647399,0.9692072455090774,-0.014309290558443544,-0.3150643760370505,-0.04541703742717272
M06,11:30,trend_down,156,-0.0004922980299263976,-0.001871585745011728,0.40384615384615385,0.9066208183170464,-0.01613073443925983,-0.21733635523057349,-0.07422013874368434
M06,11:30,trend_up,212,-0.0003283399393123023,8.93951781749669e-06,0.5,0.9348782660661232,-0.01543129391535758,-0.269097200539829,-0.057344683944690826
M07,11:30,range,359,-0.0003336077102312119,-0.001028807532002407,0.467966573816156,0.931238500270596,-0.0266378089652598,-0.3450375106872541,-0.07720264649545484
M07,11:30,trend_down,161,-0.0012838543897137514,-0.002267516495450095,0.39751552795031053,0.7927756530988399,-0.03973448636790289,-0.29340827759178645,-0.1354238765655574
