hypothesis_id,exit_clock,year,episodes,mean_return,median_return,win_rate,profit_factor,cagr,max_drawdown,calmar
M01,09:45,2021,153,-0.00013773047713610772,-0.00022992391632825626,0.49019607843137253,0.9557706016806247,-0.026580113522470028,-0.09399205731948224,-0.2827910600160959
M01,09:45,2022,159,-0.0012244707212876545,-0.00119928043174089,0.41509433962264153,0.7325199074230946,-0.18392279407424994,-0.18585211564475923,-0.9896190497277038
M01,09:45,2023,156,-0.0012018290418652554,-0.0016999433956877419,0.36538461538461536,0.6408730189416945,-0.17423010235646574,-0.20908319965119626,-0.8333051275622608
M01,09:45,2024,159,-0.00239045682639859,-0.0026611182942631872,0.3333333333333333,0.5629792265458793,-0.32358903766332425,-0.321300621466619,-1.007122352226583
M01,09:45,2025,154,0.00043678771392703056,-0.00018167125514545468,0.474025974025974,1.1351998935988608,0.06250826626137562,-0.11277589037594549,0.5542697650446421
M01,09:45,2026,105,0.0008156455342076245,0.0023960310297796994,0.5619047619047619,1.1698713724197058,0.07862988535074322,-0.13465193817954224,0.5839491537500164
M02,09:45,2021,148,-3.6252787465391076e-05,-0.00011698449509922604,0.4864864864864865,0.9878278024290262,-0.011195086133866328,-0.11485128991353866,-0.09747462255142379
M02,09:45,2022,155,-0.0029488270251353966,-0.002078506417276471,0.3741935483870968,0.4263379623765363,-0.37193175702603776,-0.36853272785129765,-1.0092231406273138
M02,09:45,2023,153,-0.001115443938898527,-0.0010335593898348483,0.42483660130718953,0.6463312289681628,-0.16019390452490212,-0.21926674804653556,-0.7305891383535443
M02,09:45,2024,157,-0.0018797838264945116,-0.0028316041063577435,0.35668789808917195,0.6184792163592134,-0.2624395635616471,-0.27703715998681255,-0.9473081646308376
M02,09:45,2025,157,-0.0006423118563319673,-0.0010296759624646157,0.445859872611465,0.8176983144621675,-0.100907770672934,-0.17434773521026714,-0.5787730511740634
M02,09:45,2026,106,-0.0008017380397962957,-0.0009066355211964083,0.49056603773584906,0.8684973312898131,-0.09137735960726578,-0.1501320427820526,-0.6086466147664341
M03,09:45,2021,161,-0.0012592774839715426,-0.0010527212652599038,0.39751552795031053,0.662839240379225,-0.1881884112933282,-0.20072340066785632,-0.9375509316162385
M03,09:45,2022,166,-0.002410031315882771,-0.0015367032131454739,0.40963855421686746,0.5517866927375622,-0.33808638439784366,-0.3413388088541037,-0.9904715655767984
M03,09:45,2023,176,-0.0014155097113766682,-0.0016049216643747588,0.36363636363636365,0.5793628976693507,-0.223995324548382,-0.23909504150117877,-0.9368463818488585
M03,09:45,2024,173,-0.0008378335923747422,-0.0029165393521247696,0.36416184971098264,0.8372441811764619,-0.1547445898235893,-0.24000806211220016,-0.6447474658215795
M03,09:45,2025,169,-0.00021058317787636736,-0.0003600931358509474,0.46745562130177515,0.9430316722150343,-0.044218538691593534,-0.16010816814698303,-0.2761791556505717
M03,09:45,2026,123,-0.0010732775470118164,-0.0002715658425681555,0.4878048780487805,0.8164794886852647,-0.13353754213450508,-0.24376452956237016,-0.5478136723757336
