mechanism_id,exit_clock,episodes,gross_mean_return,baseline_mean_return,baseline_profit_factor,stress_mean_return,stress_profit_factor,stress_win_rate,stress_cumulative_return,positive_years,rolling_window_sessions,rolling_median_episodes,rolling_p10_episodes,rolling_min_episodes,rolling_max_episodes,density_pass,incremental_terminal_return_vs_static,opponent_mechanism_id,stress_mean_advantage,evidence
PRESSURE_CONTINUATION,15:00,491,0.0008243413283305714,0.0005841723066944663,1.1953227943481377,-0.00037592771983449905,0.8917614644946117,0.4623217922606925,-0.18562513063915742,2,60,21.0,18.0,12.0,30.0,True,-0.08003802455192777,PRESSURE_REVERSAL,0.0015617570204779188,DIRECTION_FAIL
PRESSURE_REVERSAL,15:00,491,-0.0007392909257120513,-0.0009790847206343995,0.741831022765107,-0.0019376847403124178,0.5552943203174461,0.3869653767820774,-0.6220773182381791,0,60,21.0,18.0,12.0,30.0,True,-0.26822790372674743,PRESSURE_CONTINUATION,-0.0015617570204779188,DIRECTION_FAIL
