anchor,context,value,trades,trade_share,average_net_return,median_net_return,win_rate,loss_share
EX12_PLATFORM_MEDOID_REPRICED_10BP,rapid_reentry,False,73,0.45625,0.0005926205944590158,-0.006609841175460374,0.3972602739726027,0.4979243356720053
EX12_PLATFORM_MEDOID_REPRICED_10BP,rapid_reentry,True,87,0.54375,0.014808351411613236,0.0011535832588465134,0.5287356321839081,0.5020756643279948
EX12_PLATFORM_MEDOID_REPRICED_10BP,causal_falling_trend,False,96,0.6,0.004986389310830636,-0.0035088905427528294,0.4375,0.619828651966609
EX12_PLATFORM_MEDOID_REPRICED_10BP,causal_falling_trend,True,64,0.4,0.0133264765994706,0.00020541433356568994,0.515625,0.38017134803339103
EX12_PLATFORM_MEDOID_REPRICED_10BP,risk_overridden,False,109,0.68125,0.007682139209148898,-0.0019980019980018193,0.45871559633027525,0.6954405046709502
EX12_PLATFORM_MEDOID_REPRICED_10BP,risk_overridden,True,51,0.31875,0.009690876517816268,-0.0010678976196215606,0.49019607843137253,0.3045594953290497
EX14_UNIQUE_FEASIBLE_10BP,rapid_reentry,False,72,0.43902439024390244,0.002972446750789149,-0.00153294980881169,0.4722222222222222,0.4765115069189529
EX14_UNIQUE_FEASIBLE_10BP,rapid_reentry,True,92,0.5609756097560976,0.013582738008281511,0.0010945109921274288,0.5217391304347826,0.5234884930810471
EX14_UNIQUE_FEASIBLE_10BP,causal_falling_trend,False,99,0.6036585365853658,0.005579766603128848,-0.0019980019980018193,0.46464646464646464,0.6287501345490424
EX14_UNIQUE_FEASIBLE_10BP,causal_falling_trend,True,65,0.39634146341463417,0.014018941063214793,0.0007287794173040929,0.5538461538461539,0.3712498654509577
EX14_UNIQUE_FEASIBLE_10BP,risk_overridden,False,112,0.6829268292682927,0.008096066430915762,0.00020541433356568994,0.5089285714285714,0.7222206716537248
EX14_UNIQUE_FEASIBLE_10BP,risk_overridden,True,52,0.3170731707317073,0.010709011972233697,-0.0011800495266327538,0.4807692307692308,0.27777932834627517
