anchor,holding_bucket,trades,trade_share,average_net_return,median_net_return,win_rate,loss_share
EX12_PLATFORM_MEDOID_REPRICED_10BP,1-3,116,0.725,-0.0007545135691580634,-0.003567187529451621,0.41379310344827586,0.6799750404063729
EX12_PLATFORM_MEDOID_REPRICED_10BP,4-10,35,0.21875,0.02976216082617523,0.00991843976918605,0.6,0.199044195246383
EX12_PLATFORM_MEDOID_REPRICED_10BP,11+,9,0.05625,0.04193731347911797,0.04161096782873308,0.6666666666666666,0.12098076434724411
EX14_UNIQUE_FEASIBLE_10BP,1-3,117,0.7134146341463414,-0.0010968984845355356,-0.0019980019980019303,0.42735042735042733,0.6881969426862973
EX14_UNIQUE_FEASIBLE_10BP,4-10,37,0.22560975609756098,0.029766259905296594,0.016051770384852615,0.6486486486486487,0.21043914542408865
EX14_UNIQUE_FEASIBLE_10BP,11+,10,0.06097560975609756,0.0490613569013401,0.046920931860129245,0.8,0.1013639118896141
