left,right,discovery_spearman,confirmation_spearman,stable_absolute_spearman,redundant
gold_minus_silver_return_20,gold_minus_silver_return_60,0.5153325822049291,0.4664275289621158,0.4664275289621158,False
gold_minus_silver_return_20,gold_silver_ratio_distance_120,0.6427327896149788,0.5510968747157231,0.5510968747157231,False
gold_minus_silver_return_60,gold_silver_ratio_distance_120,0.8722206656187625,0.8612760450085463,0.8612760450085463,True
