year,cagr,total_return,maximum_drawdown,calmar,closed_trades,order_count,rolling_60_closed_trades_median,rolling_60_closed_trades_p10,exposure_ratio
2024,0.4945448861070447,0.4709028993540858,-0.1364297584393276,3.624904799101997,26,52,6.0,5.0,0.2231404958677686
2025,0.4490797383361649,0.4300097157163105,-0.04801181621946915,9.35352531308865,26,53,7.0,4.300000000000001,0.24691358024691357
2026,0.7491293377980865,0.43251707871031875,-0.043737766775669984,17.127745493736658,18,36,8.0,5.0,0.24691358024691357
