entry_date,exit_date,entry_open,exit_open,net_return,holding_sessions
2024-01-15,2024-01-17,0.463,0.462,-0.004153513872736214,2
2024-01-29,2024-02-07,0.458,0.441,-0.03904174428191898,7
2024-02-08,2024-02-20,0.453,0.465,0.024439137021918578,2
2024-02-22,2024-02-23,0.466,0.47,0.006568538757379949,1
2024-02-29,2024-03-01,0.468,0.486,0.03638669023284402,1
2024-03-20,2024-03-21,0.506,0.51,0.005891341859721511,1
2024-03-22,2024-03-26,0.504,0.488,-0.033680605109176476,2
2024-04-30,2024-05-10,0.497,0.498,1.0050311861187211e-05,5
2024-05-13,2024-05-15,0.491,0.485,-0.014193545761773785,2
2024-06-07,2024-06-11,0.482,0.472,-0.022703437641196866,1
2024-06-14,2024-06-17,0.478,0.478,-0.0019980019980018193,1
2024-06-19,2024-06-20,0.485,0.482,-0.008171210233065773,1
2024-07-01,2024-07-02,0.456,0.456,-0.0019980019980019303,1
2024-07-18,2024-07-19,0.461,0.468,0.01315604135560755,1
2024-07-24,2024-07-26,0.46,0.452,-0.019354558484993234,2
2024-08-02,2024-08-07,0.456,0.446,-0.0238840107261159,3
2024-09-02,2024-09-05,0.435,0.426,-0.022646319198043274,3
2024-09-26,2024-10-09,0.437,0.704,0.6077652324791913,4
2024-10-10,2024-10-21,0.627,0.606,-0.03542390623730329,7
2024-10-22,2024-10-23,0.598,0.598,-0.0019980019980019303,1
2024-10-30,2024-10-31,0.588,0.58,-0.015576260474219561,1
2024-11-11,2024-11-12,0.61,0.636,0.040539788080771855,1
2024-11-13,2024-11-14,0.623,0.64,0.02523479730542344,1
2024-12-11,2024-12-12,0.597,0.595,-0.00534139227606556,1
2024-12-24,2024-12-25,0.591,0.602,0.01657733129814365,1
2024-12-30,2024-12-31,0.599,0.599,-0.0019980019980018193,1
2025-01-17,2025-01-20,0.561,0.571,0.015791694936079903,1
2025-01-24,2025-02-11,0.574,0.596,0.0362529456606111,6
2025-02-12,2025-02-13,0.588,0.597,0.01327753878774307,1
2025-02-14,2025-02-18,0.587,0.602,0.023504604424536613,2
2025-02-19,2025-02-20,0.591,0.602,0.01657733129814365,1
2025-03-07,2025-03-10,0.618,0.61,-0.014917121713238113,1
2025-04-08,2025-04-10,0.504,0.525,0.03958541458541465,2
2025-04-11,2025-04-14,0.521,0.54,0.03439746433988278,1
2025-04-24,2025-04-30,0.54,0.537,-0.007542457542457526,4
2025-05-14,2025-05-19,0.561,0.551,-0.019787698932083764,3
2025-05-26,2025-05-27,0.548,0.545,-0.007461516585604233,1
2025-06-10,2025-06-17,0.558,0.554,-0.009152138184396308,5
2025-06-18,2025-06-19,0.548,0.551,0.0034655125896001504,1
2025-06-25,2025-07-01,0.559,0.579,0.03370868844929653,4
2025-07-07,2025-07-08,0.57,0.565,-0.010752405489247607,1
2025-07-24,2025-07-28,0.618,0.629,0.015765787610448,2
2025-07-31,2025-08-05,0.643,0.632,-0.01907113104624758,3
2025-08-14,2025-08-18,0.675,0.684,0.011308691308691277,2
2025-08-20,2025-08-21,0.692,0.711,0.025403786964480757,1
2025-08-26,2025-09-01,0.782,0.85,0.08478478043695437,4
2025-09-03,2025-09-04,0.837,0.851,0.014694982436918025,1
2025-09-05,2025-09-08,0.793,0.87,0.09490761445364226,1
2025-09-19,2025-09-22,0.907,0.895,-0.015201997561424152,1
2025-10-31,2025-11-04,0.97,0.946,-0.026690834938257524,2
2025-11-24,2025-12-01,0.86,0.9,0.04442069558348649,5
2025-12-12,2025-12-15,0.936,0.941,0.0033332052562822234,1
2025-12-29,2026-01-16,0.955,0.998,0.04293821361884187,12
2026-01-21,2026-01-22,0.962,0.998,0.03534926611849687,1
2026-01-30,2026-02-02,0.972,0.99,0.016483516483516647,1
2026-03-04,2026-03-05,0.933,0.944,0.009768366681550011,1
2026-03-23,2026-03-25,0.946,0.947,-0.0009430315984226834,2
2026-04-10,2026-04-22,0.982,1.08,0.09759893873946845,8
2026-04-24,2026-04-27,1.087,1.096,0.006265124020414126,1
2026-04-29,2026-04-30,1.07,1.105,0.03064692317028772,1
2026-05-07,2026-05-11,1.165,1.185,0.01513507951276205,2
2026-05-12,2026-05-14,1.239,1.295,0.04310943293994152,2
2026-05-18,2026-05-19,1.232,1.221,-0.010908734123019626,1
2026-05-22,2026-05-25,1.244,1.286,0.031696599220715216,1
2026-05-28,2026-05-29,1.319,1.373,0.038860305729145894,1
2026-06-01,2026-06-03,1.318,1.328,0.005574092068781011,2
2026-06-23,2026-06-25,1.432,1.434,-0.0006041444588928968,2
2026-07-03,2026-07-07,1.372,1.341,-0.02454760982457782,2
2026-07-13,2026-07-15,1.326,1.341,0.00929161336401152,2
2026-08-06,2026-08-07,1.14,1.164,0.019012566380987472,1
