trial_id,confirmation_gate_quantile,confirmation_threshold,feasible,behavior_hash,full_cagr,full_total_return,full_maximum_drawdown,full_calmar,closed_trades,rolling_60_closed_trades_median,rolling_60_closed_trades_p10,exposure_ratio,short_holding_trade_share,short_holding_average_net_return,short_holding_loss_share,cost_drag_0bp_to_10bp_cagr,discovery_cagr,discovery_maximum_drawdown,confirmation_cagr,confirmation_maximum_drawdown
S007-EX20-CONFIRMATION-GATE-00015,0.0,-0.08275594858243765,False,fde6c13d8bf6f931b39a8ecafd1c763b37987ca07a0437c207536496e6362f0a,0.24061571439522322,2.2400082083786144,-0.22110369813443342,1.0882482582852426,155,7.0,4.0,0.388646288209607,0.7161290322580646,-0.0002676572318844453,0.6572617539160425,0.07258009354893535,-0.005877561371974371,-0.19844244057018534,0.5905971088382276,-0.16078075496775535
S007-EX20-CONFIRMATION-GATE-00017,0.025,-0.057963823588243965,False,5aece32853431e31c61d12e6312300517f1a1e255a79f8f1b2192be272b71cbb,0.22739721119162004,2.0561934436741796,-0.21045131328853606,1.0805217018524877,146,6.0,4.0,0.37554585152838427,0.7054794520547946,-0.00037076327296545707,0.6484256515513657,0.06752476313088862,0.008105310904872098,-0.1984424405701849,0.530610170501991,-0.16078075496775535
S007-EX20-CONFIRMATION-GATE-00018,0.05,-0.054934502376652324,False,a341745af02a7197edf97c355fb5a3504ecfffab66f4941f958f3c077b66d67c,0.2537439796101775,2.4314061143648047,-0.21045131328853595,1.2057134528891527,143,6.0,4.0,0.36899563318777295,0.6993006993006993,-0.0005862790267489614,0.654402592792564,0.06751945245784707,0.00776929114970093,-0.1984424405701849,0.6018255914145707,-0.16078075496775535
S007-EX20-CONFIRMATION-GATE-00001,0.075,-0.04715886001228146,False,3a7509de54a9d7ce0fc02da6276e84aceb5f3d26f7cc70acddf1708c820624e1,0.2554203436946836,2.4564966879362164,-0.21045131328853584,1.2136790201185093,141,6.0,4.0,0.3660844250363901,0.6950354609929078,-0.0005017271726406166,0.651646379055608,0.06663948020600063,0.011096880555259592,-0.19844244057018545,0.6004382165330893,-0.16078075496775535
S007-EX20-CONFIRMATION-GATE-00020,0.1,-0.03625537616960345,False,6cbd9ed8ff12573fc520718bf6c407933dd2682c70517c43b80cd1e5f60e5058,0.24162677053669257,2.2544312960936588,-0.2645609010795874,0.9133124719136196,135,6.0,3.0,0.35880640465793306,0.6814814814814815,-0.0012239817704885626,0.6406138366111273,0.0630327444778338,-0.01682157317278965,-0.19844244057018545,0.6132938935107959,-0.16078075496775535
S007-EX20-CONFIRMATION-GATE-00019,0.125,-0.03537207897960819,False,bb355f26c89a1122b2bc7310f34c457c73482b91e82c14eee059de53f2f682d5,0.2448698270328995,2.301048935102249,-0.26456090107958674,0.9255707326126635,133,6.0,3.0,0.3558951965065502,0.6766917293233082,-0.001107812672092322,0.6367937332757374,0.062238103825231095,-0.015954259575697183,-0.19740532658256016,0.6206491932768889,-0.16078075496775535
S007-EX20-CONFIRMATION-GATE-00004,0.15,-0.03213647709039659,False,67bd9c66d3ed8f9e67b2ab3e642141c79add81f29f302f4ba946cc11804bd948,0.23092859733011228,2.104444750651342,-0.29135717890504975,0.7925962154011983,130,6.0,3.0,0.3529839883551674,0.6692307692307692,-0.001914326518728102,0.6390977059752538,0.06011960341203504,-0.03334542093599302,-0.20395330177361226,0.614371885468235,-0.16078075496775535
S007-EX20-CONFIRMATION-GATE-00010,0.175,-0.030640009806151804,False,489135d712f690eb47493b50cb49e8256f0f673b082b61fa46852b79579f6fd5,0.23987332323280786,2.2294509954911383,-0.27932554332406057,0.8587589963246502,128,6.0,3.0,0.3508005822416303,0.6640625,-0.0015000888064944126,0.6270606373824651,0.05960279390750123,-0.020026793609572824,-0.200495262763545,0.614371885468235,-0.16078075496775535
S007-EX20-CONFIRMATION-GATE-00013,0.2,-0.028699083283887913,False,ac00851dca7d78e0829d2f50bd752853baaaa47654785b98a0cf729dc1cd82cf,0.22411281649548775,2.011868276239769,-0.29193335972326306,0.7676848466647817,125,6.0,3.0,0.3471615720524017,0.656,-0.00240656848482574,0.6219120956155186,0.05743412190088093,-0.018207832612276764,-0.19620658344689268,0.5678334697172169,-0.17986181006713264
S007-EX20-CONFIRMATION-GATE-00016,0.225,-0.01659879726811596,False,7958dce106a04c6e0e1e2bfe19a3538d6a1ad210a6b2d12bf9def6cb767e51f2,0.21653812511139137,1.9116413285898193,-0.3083230887130608,0.7023091459521262,120,5.0,3.0,0.3406113537117904,0.6416666666666667,-0.00283129416421267,0.6133690195437053,0.054744973956040166,-0.026145579846122202,-0.21167748094367222,0.5614806806845842,-0.17986181006713264
S007-EX20-CONFIRMATION-GATE-00011,0.25,-0.01345309749030543,False,1e4a0371069506767ff972a97a8d55e349172ea65ba1d83f36000aa1401a3147,0.22410597660134446,2.011776518079126,-0.29817550170556995,0.7515908427065728,117,5.0,3.0,0.33551673944687044,0.6324786324786325,-0.0024918831213387766,0.6015062439910905,0.0536786365048354,-0.018708750682998043,-0.21167748094367167,0.5687141713855177,-0.17986181006713264
