factor,exact_match,closest_reference,max_abs_correlation
state__raw__30m__cxt_bs_V240526__di_1__v1::买点,False,raw__30m__cxt_third_buy_V230228__di_1,0.28241638127477037
state__raw__30m__cxt_bs_V240526__di_1__v1::卖点,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.05607973970222512
state__raw__30m__cxt_bs_V240527__di_1__v1::买点,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.10335706609819849
state__raw__30m__cxt_bs_V240527__di_1__v1::卖点,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.05908761476375901
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,False,target_position,0.2499473591207919
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|11笔|任意,False,raw__daily__pressure_support_V240406__di_1__w_20,0.1104595819835143
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|13笔|任意,False,target_position,0.12320850079602608
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|15笔|任意,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.0714667622193161
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|17笔|任意,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.0490291209711091
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|19笔|任意,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.04854693929571232
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|21笔|任意,False,raw__weekly__cxt_bi_status_V230101,0.08410898615379364
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|5笔|任意,False,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.1289840359879068
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|7笔|任意,False,target_position,0.11929972622427913
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|9笔|任意,False,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.09195351974650108
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,False,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.2509569637097084
state__raw__30m__cxt_first_sell_V221126__di_1__joint::一卖|11笔|任意,False,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.09343093137979534
state__raw__30m__cxt_first_sell_V221126__di_1__joint::一卖|13笔|任意,False,raw__daily__cxt_bi_status_V230101,0.05499027953764051
state__raw__30m__cxt_first_sell_V221126__di_1__joint::一卖|15笔|任意,False,raw__30m__cxt_bi_status_V230101,0.06703867498216877
state__raw__30m__cxt_first_sell_V221126__di_1__joint::一卖|17笔|任意,False,raw__daily__cxt_bi_status_V230101,0.08413452189913856
state__raw__30m__cxt_first_sell_V221126__di_1__joint::一卖|19笔|任意,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.08313585450176786
state__raw__30m__cxt_first_sell_V221126__di_1__joint::一卖|21笔|任意,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.06276885346584296
state__raw__30m__cxt_first_sell_V221126__di_1__joint::一卖|5笔|任意,False,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.09852468111794091
state__raw__30m__cxt_first_sell_V221126__di_1__joint::一卖|7笔|任意,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.10438494385274973
state__raw__30m__cxt_first_sell_V221126__di_1__joint::一卖|9笔|任意,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.11790539079750186
state__raw__30m__cxt_second_bs_V230320__di_1__v1::二买,False,raw__30m__cxt_third_buy_V230228__di_1,0.28523135344455885
state__raw__30m__cxt_second_bs_V230320__di_1__v1::二卖,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.2369066371298247
state__raw__30m__cxt_second_bs_V240524__di_1__v1::二买,False,raw__30m__cxt_bi_status_V230101,0.18796646680125267
state__raw__30m__cxt_second_bs_V240524__di_1__v1::二卖,False,raw__30m__cxt_bi_status_V230101,0.2415325333147643
state__raw__30m__cxt_third_bs_V230318__di_1__v1::三买,False,raw__30m__cxt_third_buy_V230228__di_1,0.22780422479366508
state__raw__30m__cxt_third_bs_V230318__di_1__v1::三卖,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.18547520068996684
state__raw__30m__cxt_third_bs_V230319__di_1__v1::三买,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.2497131788838195
state__raw__30m__cxt_third_bs_V230319__di_1__v1::三卖,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.22216993256910333
state__raw__30m__cxt_third_bs_V230319__di_1__joint::三买|均线底分|任意,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.1411163989544177
state__raw__30m__cxt_third_bs_V230319__di_1__joint::三买|均线顶分|任意,False,raw__30m__cxt_third_buy_V230228__di_1,0.09594174939570581
state__raw__30m__cxt_third_bs_V230319__di_1__joint::三卖|均线底分|任意,False,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.04285632052859816
state__raw__30m__cxt_third_bs_V230319__di_1__joint::三卖|均线顶分|任意,False,raw__daily__pressure_support_V240406__di_1__w_20,0.1734574034028848
state__raw__30m__cxt_third_buy_V230228__di_1__v1::三买,True,raw__30m__cxt_third_buy_V230228__di_1,0.9999999999999998
state__raw__30m__cxt_third_buy_V230228__di_1__joint::三买|10笔|任意,False,raw__30m__cxt_third_buy_V230228__di_1,0.4212567064319994
state__raw__30m__cxt_third_buy_V230228__di_1__joint::三买|12笔|任意,False,raw__30m__cxt_third_buy_V230228__di_1,0.3736877935104176
state__raw__30m__cxt_third_buy_V230228__di_1__joint::三买|14笔|任意,False,raw__30m__cxt_third_buy_V230228__di_1,0.4941958196876226
state__raw__30m__cxt_third_buy_V230228__di_1__joint::三买|6笔|任意,False,raw__30m__cxt_third_buy_V230228__di_1,0.4538506275823172
state__raw__30m__cxt_third_buy_V230228__di_1__joint::三买|8笔|任意,False,raw__30m__cxt_third_buy_V230228__di_1,0.4098541887379687
state__raw__daily__cxt_bs_V240526__di_1__v1::买点,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.22655481818728135
state__raw__daily__cxt_bs_V240527__di_1__v1::买点,False,raw__30m__cxt_third_buy_V230228__di_1,0.10746676174953941
state__raw__daily__cxt_bs_V240527__di_1__v1::卖点,False,raw__weekly__cxt_bi_status_V230101,0.031166473934249747
state__raw__daily__cxt_first_buy_V221126__di_1__v1::一买,False,raw__daily__cxt_five_bi_V230619__di_1,0.42958103947791293
state__raw__daily__cxt_first_buy_V221126__di_1__joint::一买|11笔|任意,False,raw__daily__cxt_five_bi_V230619__di_1,0.07946119218060035
state__raw__daily__cxt_first_buy_V221126__di_1__joint::一买|13笔|任意,False,raw__daily__cxt_five_bi_V230619__di_1,0.19550923527996722
state__raw__daily__cxt_first_buy_V221126__di_1__joint::一买|15笔|任意,False,raw__daily__cxt_five_bi_V230619__di_1,0.1184763669236278
state__raw__daily__cxt_first_buy_V221126__di_1__joint::一买|5笔|任意,False,raw__daily__cxt_five_bi_V230619__di_1,0.22061188113198968
state__raw__daily__cxt_first_buy_V221126__di_1__joint::一买|7笔|任意,False,raw__daily__cxt_five_bi_V230619__di_1,0.2764857771929817
state__raw__daily__cxt_first_buy_V221126__di_1__joint::一买|9笔|任意,False,raw__daily__cxt_seven_bi_V230620__di_1,0.20508064736499687
state__raw__daily__cxt_first_sell_V221126__di_1__v1::一卖,False,raw__daily__cxt_five_bi_V230619__di_1,0.31316829884441755
state__raw__daily__cxt_first_sell_V221126__di_1__joint::一卖|21笔|任意,False,raw__daily__cxt_five_bi_V230619__di_1,0.23987685711695464
state__raw__daily__cxt_first_sell_V221126__di_1__joint::一卖|7笔|任意,False,raw__daily__cxt_seven_bi_V230620__di_1,0.23487284701207
state__raw__daily__cxt_first_sell_V221126__di_1__joint::一卖|9笔|任意,False,raw__daily__cxt_five_bi_V230619__di_1,0.18119298114096472
state__raw__daily__cxt_second_bs_V230320__di_1__v1::二买,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.23671394154367398
state__raw__daily__cxt_second_bs_V230320__di_1__v1::二卖,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.25701433277685504
state__raw__daily__cxt_second_bs_V240524__di_1__v1::二买,False,raw__daily__cxt_bi_status_V230101,0.16885553151358348
state__raw__daily__cxt_second_bs_V240524__di_1__v1::二卖,False,raw__daily__cxt_bi_status_V230101,0.24281829044488973
state__raw__daily__cxt_third_bs_V230318__di_1__v1::三买,False,raw__daily__cxt_five_bi_V230619__di_1,0.21380832753675755
state__raw__daily__cxt_third_bs_V230318__di_1__v1::三卖,False,raw__weekly__cxt_bi_status_V230101,0.13646180295946167
state__raw__daily__cxt_third_bs_V230319__di_1__v1::三买,False,raw__daily__cxt_five_bi_V230619__di_1,0.28034945467865124
state__raw__daily__cxt_third_bs_V230319__di_1__v1::三卖,False,raw__weekly__cxt_bi_status_V230101,0.1719215129446823
state__raw__daily__cxt_third_bs_V230319__di_1__joint::三买|均线底分|任意,False,raw__daily__cxt_five_bi_V230619__di_1,0.19198331952373426
state__raw__daily__cxt_third_bs_V230319__di_1__joint::三卖|均线新高|任意,False,raw__daily__pressure_support_V240406__di_1__w_20,0.1348403133894751
state__raw__daily__cxt_third_bs_V230319__di_1__joint::三卖|均线顶分|任意,False,raw__weekly__cxt_bi_status_V230101,0.12575827261878117
state__raw__daily__cxt_third_buy_V230228__di_1__v1::三买,False,raw__weekly__cxt_bi_status_V230101,0.20951429403775265
state__raw__daily__cxt_third_buy_V230228__di_1__joint::三买|10笔|任意,False,raw__daily__pressure_support_V240406__di_1__w_20,0.15081678093955087
state__raw__daily__cxt_third_buy_V230228__di_1__joint::三买|12笔|任意,False,raw__daily__cxt_five_bi_V230619__di_1,0.27648577719298234
state__raw__daily__cxt_third_buy_V230228__di_1__joint::三买|14笔|任意,False,raw__weekly__cxt_bi_status_V230101,0.21530823411545189
state__raw__daily__cxt_third_buy_V230228__di_1__joint::三买|6笔|任意,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.07020598057823729
