factor,reason
state__raw__30m__cxt_bs_V240526__di_1__v1::买点,cross_year_direction
state__raw__30m__cxt_bs_V240526__di_1__v1::卖点,event_total_support
state__raw__30m__cxt_bs_V240527__di_1__v1::买点,cross_year_direction
state__raw__30m__cxt_bs_V240527__di_1__v1::卖点,event_total_support
state__raw__30m__cxt_first_buy_V221126__di_1__v1::一买,cross_year_direction
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|11笔|任意,cross_year_direction
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|13笔|任意,event_year_support
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|15笔|任意,event_total_support
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|17笔|任意,event_total_support
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|19笔|任意,event_total_support
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|21笔|任意,event_total_support
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|5笔|任意,event_total_support
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|7笔|任意,event_year_support
state__raw__30m__cxt_first_buy_V221126__di_1__joint::一买|9笔|任意,event_total_support
state__raw__30m__cxt_first_sell_V221126__di_1__v1::一卖,cross_year_direction
state__raw__30m__cxt_first_sell_V221126__di_1__joint::一卖|11笔|任意,event_total_support
state__raw__30m__cxt_first_sell_V221126__di_1__joint::一卖|13笔|任意,event_total_support
state__raw__30m__cxt_first_sell_V221126__di_1__joint::一卖|15笔|任意,event_total_support
state__raw__30m__cxt_first_sell_V221126__di_1__joint::一卖|17笔|任意,event_total_support
state__raw__30m__cxt_first_sell_V221126__di_1__joint::一卖|19笔|任意,event_total_support
state__raw__30m__cxt_first_sell_V221126__di_1__joint::一卖|21笔|任意,event_total_support
state__raw__30m__cxt_first_sell_V221126__di_1__joint::一卖|5笔|任意,event_total_support
state__raw__30m__cxt_first_sell_V221126__di_1__joint::一卖|7笔|任意,event_total_support
state__raw__30m__cxt_first_sell_V221126__di_1__joint::一卖|9笔|任意,event_total_support
state__raw__30m__cxt_second_bs_V230320__di_1__v1::二买,cross_year_direction
state__raw__30m__cxt_second_bs_V230320__di_1__v1::二卖,cross_year_direction
state__raw__30m__cxt_second_bs_V240524__di_1__v1::二买,cross_year_direction
state__raw__30m__cxt_second_bs_V240524__di_1__v1::二卖,cross_year_direction
state__raw__30m__cxt_third_bs_V230318__di_1__v1::三买,cross_year_direction
state__raw__30m__cxt_third_bs_V230318__di_1__v1::三卖,cross_year_direction
state__raw__30m__cxt_third_bs_V230319__di_1__v1::三买,cross_year_direction
state__raw__30m__cxt_third_bs_V230319__di_1__joint::三买|均线底分|任意,event_year_support
state__raw__30m__cxt_third_bs_V230319__di_1__joint::三买|均线顶分|任意,event_total_support
state__raw__30m__cxt_third_bs_V230319__di_1__joint::三卖|均线底分|任意,event_total_support
state__raw__30m__cxt_third_bs_V230319__di_1__joint::三卖|均线顶分|任意,cross_year_direction
