path_id,feature,hypothesis_id,information_family,original_financial_role,audit_role,horizon_sessions,orientation,raw_primary_discovery_ic,discovery_observations,confirmation_observations,discovery_ic,confirmation_ic,confirmation_residual_ic,hac_coefficient,hac_one_sided_pvalue,positive_confirmation_years,annual_ics,top_minus_bottom_drawdown,bootstrap_positive_probability,bootstrap_ic_lower_90,bootstrap_ic_median,bootstrap_ic_upper_90,identifiable,global_bh_qvalue,positive_horizon_count,evidence_label
risk_sse_return_1d:DD60,risk_sse_return_1d,H03-SAFE-HAVEN-RISK-APPETITE,EQUITY_RISK_APPETITE,RISK_CONTEXT,DRAWDOWN_RISK,60,POSITIVE,0.05915601313333631,1264,1396,0.05913623076441183,0.07444409791694177,0.055731233380326886,0.002372789142629982,0.0014171831764923522,5,"{""2019"": 0.03825976780238859, ""2020"": 0.06609214268777053, ""2021"": -0.001990706737885867, ""2022"": 0.10346981891719256, ""2023"": 0.02395985444506586, ""2024"": 0.17597364121007178}",0.005774345081716689,1.0,0.040993002669494336,0.07359309601419789,0.1102515352330758,True,0.020407437741489873,2,FDR_SUPPORTED
currency_usdcnh_return_5d:DD60,currency_usdcnh_return_5d,H02-CURRENCY-TRANSLATION,CURRENCY_TRANSLATION,OPPORTUNITY,DRAWDOWN_RISK,60,NEGATIVE,-0.05735324863346037,1259,1396,0.05738387758023143,0.20638311905540577,0.12353407492520752,0.005971970416530817,0.0024791256119589575,6,"{""2019"": 0.006409076686823336, ""2020"": 0.13478236102978025, ""2021"": 0.19578936168077687, ""2022"": 0.11444038984743934, ""2023"": 0.20711939692429487, ""2024"": 0.2609980550407337}",0.016385821426024808,0.995,0.07904004175436873,0.20672438558330686,0.30694266298093237,True,0.023727687451526765,2,FDR_SUPPORTED
risk_sse_return_5d:DD60,risk_sse_return_5d,H03-SAFE-HAVEN-RISK-APPETITE,EQUITY_RISK_APPETITE,RISK_CONTEXT,DRAWDOWN_RISK,60,POSITIVE,0.10498069731012473,1260,1396,0.10498506871147098,0.11724105332603142,0.05601769513387067,0.0034602118947177213,0.005220827064484963,6,"{""2019"": 0.0261756853563776, ""2020"": 0.008451271397461352, ""2021"": 0.09111504826334513, ""2022"": 0.16604279288581097, ""2023"": 0.09039531772625002, ""2024"": 0.17684880569374656}",0.01147462752581297,0.99,0.041523782316920374,0.11949825768111388,0.183248473283672,True,0.03637737567512104,2,FDR_SUPPORTED
currency_usdcnh_return_1d:DD60,currency_usdcnh_return_1d,H02-CURRENCY-TRANSLATION,CURRENCY_TRANSLATION,OPPORTUNITY,DRAWDOWN_RISK,60,NEGATIVE,-0.044896809694107746,1263,1396,0.04490255924944949,0.08458627539990561,0.047855390946239855,0.0026191319111839705,0.005808271563998552,4,"{""2019"": -0.0031996444903592634, ""2020"": 0.06877617735397884, ""2021"": 0.09603023122224781, ""2022"": -0.0005804862255418761, ""2023"": 0.11088751644601234, ""2024"": 0.08938165953363954}",0.006887256521054881,1.0,0.027865143490244902,0.07833406799374212,0.13669523605668968,True,0.03920583305699023,2,FDR_SUPPORTED
rate_us_real_curve_10y_5y:DD60,rate_us_real_curve_10y_5y,H01-REAL-RATE-OPPORTUNITY-COST,REAL_RATE_CURVE,RISK_CONTEXT,DRAWDOWN_RISK,60,POSITIVE,0.4809346838876503,1264,1396,0.4809484480188651,0.4460896645492336,0.21689223042904218,0.007853986447942576,0.01320361833467199,4,"{""2019"": -0.5501825084318334, ""2020"": 0.3486026430889803, ""2021"": 0.1907831449959587, ""2022"": 0.6236543267782239, ""2023"": -0.09100247964331393, ""2024"": 0.5112321952445901}",0.018741955448767944,1.0,0.23410326299995857,0.4576714011343823,0.5941379630623408,True,0.07129953900722875,2,FDR_SUPPORTED
currency_usdcnh_return_20d:DD60,currency_usdcnh_return_20d,H02-CURRENCY-TRANSLATION,CURRENCY_TRANSLATION,OPPORTUNITY,DRAWDOWN_RISK,60,NEGATIVE,-0.08850214905138436,1244,1396,0.08848010551268412,0.26673518093032283,0.1528093640054046,0.008258957436776185,0.014554575176579251,5,"{""2019"": -0.11586034166280854, ""2020"": 0.2537156439407163, ""2021"": 0.41410996650221477, ""2022"": 0.11354637794527622, ""2023"": 0.14530382061208338, ""2024"": 0.35912376661017537}",0.020625952152262324,0.98,0.06744235981479184,0.27441205969351323,0.4447905381621034,True,0.07485210090812186,2,FDR_SUPPORTED
tsfresh_price_intraday_range_cid_ce_normalized_20:DD60,tsfresh_price_intraday_range_cid_ce_normalized_20,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,RISK_CONTEXT,DRAWDOWN_RISK,60,NEGATIVE,-0.034823871565478406,1246,1396,0.034776907548959866,0.2140571057816832,0.11806290272919473,0.005964667470545373,0.015943464130918145,5,"{""2019"": 0.34617444428139227, ""2020"": -0.024039684518257557, ""2021"": 0.19133473756547736, ""2022"": 0.029541330518535087, ""2023"": 0.13311858281438205, ""2024"": 0.4017821622795525}",0.017417001889614966,0.995,0.058697907351167186,0.20936055590638647,0.3345845082519817,True,0.07486496200605042,2,FDR_SUPPORTED
risk_sse_return_20d:DD60,risk_sse_return_20d,H03-SAFE-HAVEN-RISK-APPETITE,EQUITY_RISK_APPETITE,RISK_CONTEXT,DRAWDOWN_RISK,60,POSITIVE,0.24074502428079322,1245,1396,0.24072082727674537,0.20171587464898125,0.10281281037131315,0.006050870121659951,0.015789289922458268,5,"{""2019"": -0.10782553972182489, ""2020"": 0.05697278753668415, ""2021"": 0.3381029003338553, ""2022"": 0.031558122085290366, ""2023"": 0.12788188693963495, ""2024"": 0.18392665471920222}",0.015640676349413588,0.985,0.0736405838746272,0.20451414271053325,0.34315186393823577,True,0.07486496200605042,2,FDR_SUPPORTED
price_return_5d:DD60,price_return_5d,H06-PRICE-VOLATILITY-STATE,TREND_MOMENTUM,ENTRY_TIMING,DRAWDOWN_RISK,60,POSITIVE,0.07445699848675226,1260,1396,0.07442196352683211,0.08862165407582336,0.048506385633008714,0.0025464202434342777,0.023879969932888198,6,"{""2019"": 0.12920585692920467, ""2020"": 0.15434168351747682, ""2021"": 0.20305145348886916, ""2022"": 0.006884761729256728, ""2023"": 0.20227946114248815, ""2024"": 0.2773541472263249}",0.008220609333150407,1.0,0.018161444017489824,0.09461452186729327,0.1611994133709593,True,0.09378315464552457,2,FDR_SUPPORTED
gold_sge_return_5d:DD60,gold_sge_return_5d,H02-CURRENCY-TRANSLATION,GOLD_BENCHMARK,CONFIRMATION,DRAWDOWN_RISK,60,POSITIVE,0.07658420213133021,1259,1396,0.07656061482216817,0.07985459956434916,0.03536108780916071,0.00222856946639633,0.04166669093306871,6,"{""2019"": 0.10137555062817609, ""2020"": 0.12119528636216646, ""2021"": 0.214340914478929, ""2022"": 0.003517118121061303, ""2023"": 0.1925590887929475, ""2024"": 0.26838831801799146}",0.007742944507951349,0.955,0.0026047417868243342,0.08025751888400716,0.1555598510994219,True,0.13432843644093795,2,NOMINAL_SUPPORT
