mechanism,family,quantile,raw_events,independent_events,rolling_60_median,rolling_60_p10,rolling_60_minimum,rolling_60_maximum,density_pass
PREMIUM_DEMAND_Q50,PREMIUM_DEMAND,0.5,554,217,12.0,6.0,0.0,14.0,True
DISCOUNT_REVERSION_Q50,DISCOUNT_REVERSION,0.5,450,196,10.0,6.0,0.0,14.0,True
DISCOUNT_REVERSION_Q60,DISCOUNT_REVERSION,0.6,404,188,9.0,6.0,0.0,13.0,True
PREMIUM_DEMAND_Q60,PREMIUM_DEMAND,0.6,481,203,11.0,5.0,0.0,14.0,True
PREMIUM_DEMAND_Q70,PREMIUM_DEMAND,0.7,367,179,9.0,4.0,0.0,14.0,True
DISCOUNT_REVERSION_Q70,DISCOUNT_REVERSION,0.7,321,158,8.0,4.0,0.0,13.0,True
