episode,peak_date,trough_date,maximum_drawdown,shape,peak_cycle_id,trough_cycle_id,same_cycle_at_peak_and_trough,peak_position_eventual_net_return,peak_close_vs_entry,trough_close_vs_entry,closed_trades_in_peak_to_trough,losing_trades_in_peak_to_trough,closed_trade_compound_return,longest_losing_trade_streak
1,2021-06-30,2022-03-22,-0.2153338010058452,LOSS_SEQUENCE,CYC-1B5254F1DB7E952944E4,CYC-03586D99D23356B0DA4D,False,0.0335174605388337,0.08039867109634558,-0.2259136212624584,12,9,-0.14317269763998208,4
2,2024-10-08,2024-10-16,-0.1823133632312854,OPEN_PROFIT_GIVEBACK,CYC-8D9BC752629049DA7687,CYC-8D9BC752629049DA7687,True,0.4327770325363635,0.6038011695906431,0.3114035087719298,0,0,0.0,0
3,2023-04-20,2024-08-05,-0.1719410334614036,LOSS_SEQUENCE,CYC-A78D19E73249C391ACEC,CYC-26105522ED113F38F253,False,0.0943727750396739,0.145612343297975,-0.3037608486017358,18,11,0.0022658556967700694,7
