state_id,signal_id,frequency,name,state_primary,horizon,year,event_count,raw_return_mean,raw_return_median,net_return_mean,net_return_median,net_win_rate,net_return_std,standardized_effect,mfe_mean,mfe_median,mae_mean,mae_median
STATE-0D5CA2C52F0EA4EC,SIG-30M-6EDAA2BC7B058FD0,30m,cxt_overlap_V240612,压力,1,2021,6,-0.0002412424863118,0.0029282713399471,-0.0012405016142614,0.0019258442821362,0.6666666666666666,0.0073286777340206,-0.1692667707986296,0.0043494929422753,0.0048868789940218,-0.008581331284096,-0.0083710581473308
STATE-0D5CA2C52F0EA4EC,SIG-30M-6EDAA2BC7B058FD0,30m,cxt_overlap_V240612,压力,1,2022,15,0.0013043015776668,0.002248138260503,0.000303497678039,0.0012463909958748,0.6,0.0047692487010239,0.0636363706455281,0.0081862981850799,0.0072295730459692,-0.005542476136757,-0.0050283860502837
STATE-0D5CA2C52F0EA4EC,SIG-30M-6EDAA2BC7B058FD0,30m,cxt_overlap_V240612,压力,1,2023,5,-0.0036708558263317,-0.0016347882949158,-0.004666687054891,-0.0026326545734816,0.2,0.0065592842331194,-0.7114628500664526,0.0021370541691468,0.0017133956386292,-0.0068055364137586,-0.004922874958976
STATE-0D5CA2C52F0EA4EC,SIG-30M-6EDAA2BC7B058FD0,30m,cxt_overlap_V240612,压力,1,2024,4,0.0118929109616936,0.0038764875221334,0.0108815237443407,0.0028731127220114,0.5,0.0321517752996229,0.3384423921520876,0.0190920911013112,0.0074756728561641,-0.0079071908312539,-0.006350385450115
STATE-0D5CA2C52F0EA4EC,SIG-30M-6EDAA2BC7B058FD0,30m,cxt_overlap_V240612,压力,1,2025,9,0.0018000498847267,0.0018050541516245,0.0007987504845421,0.000803749749674,0.5555555555555556,0.0079243034918291,0.100797563516566,0.0078036293322378,0.0065894924309883,-0.0034518177827477,-0.0026714158504007
STATE-0D5CA2C52F0EA4EC,SIG-30M-6EDAA2BC7B058FD0,30m,cxt_overlap_V240612,压力,1,2026,5,-0.0012177642017081,0.0048578199052133,-0.0022160472959592,0.0038534642631291,0.6,0.0209373625463073,-0.1058417597277576,0.0087525267350648,0.0061611374407584,-0.0133473614046389,-0.0095541401273884
STATE-0D5CA2C52F0EA4EC,SIG-30M-6EDAA2BC7B058FD0,30m,cxt_overlap_V240612,压力,3,2021,6,-0.0029544614176629,0.0027882457663604,-0.0039510086826126,0.0017859586641452,0.5,0.0231880635387838,-0.1703897643718414,0.0112876375279509,0.00964491857349,-0.0195400665348728,-0.0123811970912627
STATE-0D5CA2C52F0EA4EC,SIG-30M-6EDAA2BC7B058FD0,30m,cxt_overlap_V240612,压力,3,2022,15,0.0013211087008724,0.0012645777715329,0.0003202880025208,0.0002638135758594,0.5333333333333333,0.0089045375276047,0.035969077734571,0.012020058783314,0.0103133159268928,-0.0109130794242208,-0.0083569405099148
STATE-0D5CA2C52F0EA4EC,SIG-30M-6EDAA2BC7B058FD0,30m,cxt_overlap_V240612,压力,3,2023,5,-0.0070704343142534,-0.0105021332458156,-0.0080628676632645,-0.011491136610887,0.2,0.0089818630716305,-0.8976832088134686,0.0042601780811464,0.0042664916311125,-0.0153842999981228,-0.0131276665572694
STATE-0D5CA2C52F0EA4EC,SIG-30M-6EDAA2BC7B058FD0,30m,cxt_overlap_V240612,压力,3,2024,4,-0.0008353015423998,-8.916658297591917e-05,-0.0018339669081744,-0.0010885777108288,0.5,0.0471985761934601,-0.0388564032240565,0.0349019362149877,0.0148087814198862,-0.0237305041245071,-0.0128879286215642
