state_id,signal_id,frequency,name,namespace,s001_reference_function,state_primary,horizon,episode_count,coverage_years,max_year_share,positive_years,negative_years,year_sign_consistency,forward_bias,evidence_quality,behavior_sha256,event_count,raw_return_mean,raw_return_median,net_return_mean,net_return_median,net_win_rate,net_return_std,standardized_effect,mfe_mean,mfe_median,mae_mean,mae_median
STATE-25B722E7D5716B00,SIG-DAILY-7F321044E87FE70C,daily,bar_triple_V230506,bar,False,三连跌,1,26,6,0.4230769230769231,4,2,0.6666666666666666,POSITIVE,OK,9b42810d61eeab129d4274b140fbe949fa5323d34d4552cb5f5a672973178a22,26,0.0042976968686789,0.0047829793894262,0.0032939010697098,0.0037786985504564,0.6923076923076923,0.0129396235729721,0.2545592652780168,0.011026848197932,0.0080790839456864,-0.0065598706688753,-0.0047927722968909
STATE-25B722E7D5716B00,SIG-DAILY-7F321044E87FE70C,daily,bar_triple_V230506,bar,False,三连跌,3,26,6,0.4230769230769231,5,1,0.8333333333333334,POSITIVE,OK,9b42810d61eeab129d4274b140fbe949fa5323d34d4552cb5f5a672973178a22,26,0.0075016392512473,0.0027775880824003,0.0064946411110663,0.001775311632543,0.5,0.0185527075169782,0.3500643291618134,0.0183657760799139,0.0174042063637033,-0.0100368736120938,-0.0078406686109366
STATE-25B722E7D5716B00,SIG-DAILY-7F321044E87FE70C,daily,bar_triple_V230506,bar,False,三连跌,5,26,6,0.4230769230769231,6,0,1.0,POSITIVE,OK,9b42810d61eeab129d4274b140fbe949fa5323d34d4552cb5f5a672973178a22,25,0.0142703071634972,0.0134353741496597,0.0132565437380466,0.012422445239965,0.68,0.0242739874287628,0.5461213892835187,0.0244028979889592,0.0212937570575899,-0.0122447569672957,-0.0086872586872587
STATE-25B722E7D5716B00,SIG-DAILY-7F321044E87FE70C,daily,bar_triple_V230506,bar,False,三连跌,10,26,6,0.4230769230769231,5,1,0.8333333333333334,POSITIVE,OK,9b42810d61eeab129d4274b140fbe949fa5323d34d4552cb5f5a672973178a22,25,0.0133267824716854,0.0175582540203478,0.0123139620994,0.0165412042911921,0.6,0.04153000757149,0.2965075813724011,0.0335716526728731,0.0294709866373785,-0.0222080335712559,-0.0150708068078471
STATE-25B722E7D5716B00,SIG-DAILY-7F321044E87FE70C,daily,bar_triple_V230506,bar,False,三连跌,20,26,6,0.4230769230769231,3,3,0.5,NEGATIVE,OK,9b42810d61eeab129d4274b140fbe949fa5323d34d4552cb5f5a672973178a22,25,0.0007519091429927,0.0035937499999998,-0.0002483426402584,0.0025906577961019,0.52,0.0523084561701292,-0.0047476576148747,0.0400906515514647,0.0313680407291836,-0.0366332074660373,-0.0257630456186412
STATE-A52AA78D99B5F894,SIG-DAILY-93BA325393A0F9B9,daily,tas_macd_bs1_V230411,tas,False,顶背驰,1,16,4,0.5,2,2,0.5,POSITIVE,OK,6f539c794d5af0dc68b5a3a7a70dc8ccac29ec95ccd0c916e72d8c1a36064209,16,0.0060547761592786,0.0072662748132875,0.0050492241591195,0.0062595119199211,0.6875,0.0117317257724698,0.4303905714339396,0.011728670299628,0.0117726159694757,-0.0070460345540286,-0.0040615318100317
STATE-A52AA78D99B5F894,SIG-DAILY-93BA325393A0F9B9,daily,tas_macd_bs1_V230411,tas,False,顶背驰,3,16,4,0.5,1,3,0.75,NEGATIVE,OK,6f539c794d5af0dc68b5a3a7a70dc8ccac29ec95ccd0c916e72d8c1a36064209,16,5.717396104266276e-05,-0.0007328707514793,-0.0009423834342206,-0.0017316384968551,0.375,0.0240056200377699,-0.0392567837338892,0.0196132085179674,0.0160164574780279,-0.0157221676522325,-0.010537176186615
STATE-A52AA78D99B5F894,SIG-DAILY-93BA325393A0F9B9,daily,tas_macd_bs1_V230411,tas,False,顶背驰,5,16,4,0.5,0,4,1.0,NEGATIVE,OK,6f539c794d5af0dc68b5a3a7a70dc8ccac29ec95ccd0c916e72d8c1a36064209,16,-0.0160414217933777,-0.0018700051998839,-0.0170248886381618,-0.0028676363790942,0.4375,0.0356630818591569,-0.4773813072408524,0.0201206295089526,0.0160164574780279,-0.0320733748981913,-0.0215648960885527
STATE-A52AA78D99B5F894,SIG-DAILY-93BA325393A0F9B9,daily,tas_macd_bs1_V230411,tas,False,顶背驰,10,16,4,0.5,0,4,1.0,NEGATIVE,OK,6f539c794d5af0dc68b5a3a7a70dc8ccac29ec95ccd0c916e72d8c1a36064209,16,-0.0243826104860374,-0.02771448804757,-0.025357740310639,-0.0286862876597163,0.3125,0.0390001481436716,-0.6501959996978541,0.0243030862776385,0.0206952062821625,-0.0515836948532232,-0.0366896842440309
STATE-A52AA78D99B5F894,SIG-DAILY-93BA325393A0F9B9,daily,tas_macd_bs1_V230411,tas,False,顶背驰,20,16,4,0.5,1,3,0.75,NEGATIVE,OK,6f539c794d5af0dc68b5a3a7a70dc8ccac29ec95ccd0c916e72d8c1a36064209,16,-0.0343460869813405,-0.040423650246095,-0.0353112583086954,-0.0413827470474482,0.3125,0.0662300610451556,-0.533160588280603,0.0316808882057928,0.0267948763085189,-0.0861377897913845,-0.0849090648463592
