entry_signal_date,entry_date,exit_date_5,net_return_4,net_return_5,net_return_6,band_return_4_6,volatility_20,volatility_bucket,downtrend_60
2023-02-17,2023-02-20,2023-02-27,0.0126767243567011,0.0083830259337063,0.0071108189935598,0.0093901897613224,0.1128051392632627,LOW,False
2023-03-06,2023-03-07,2023-03-14,-0.0290963893053473,-0.0256623250874561,-0.026130606571714,-0.0269631069881725,0.1126205793797947,LOW,False
2023-03-20,2023-03-21,2023-03-28,0.0189837328472399,0.0186614226359962,0.017694492002265,0.0184465491618337,0.1056091847184692,LOW,False
2023-03-29,2023-03-30,2023-04-07,0.0204792491475238,0.0223884713161814,0.0312981747699172,0.0247219650778742,0.1096230882844744,LOW,False
2023-05-11,2023-05-12,2023-05-19,-0.0032670111118239,-0.0047246966659342,-0.0027811159271207,-0.0035909412349596,0.1322292048208766,LOW,False
2023-07-10,2023-07-11,2023-07-18,0.0039224926869787,0.0026099612371512,-0.0001791680937326,0.0021177619434658,0.1268794419022114,LOW,True
2023-07-18,2023-07-19,2023-07-26,-0.0049338638852545,0.0027709315673636,0.0019512724766597,-7.055328041039033e-05,0.1347892641433858,LOW,True
2023-09-15,2023-09-18,2023-09-25,-0.0177069224008682,-0.0009995002498748,-0.0058222612831512,-0.0081762279779647,0.1601890605573401,MEDIUM,True
2023-10-11,2023-10-12,2023-10-19,-0.013495684402413,-0.0272067753475588,-0.0383144945942593,-0.0263389847814104,0.1115870298785129,LOW,True
2023-11-02,2023-11-03,2023-11-10,0.0232350132211522,0.0196447149291481,0.0196447149291481,0.0208414810264828,0.1589044375508942,MEDIUM,True
2023-12-15,2023-12-18,2023-12-25,-0.0189163570388716,-0.0212690756071236,-0.0227169024183557,-0.0209674450214503,0.1118680684729156,LOW,True
