entry_signal_date,pool_size,nearest_distance,farthest_selected_distance
2021-01-28,30,0.0633991458983236,3.0394479336785674
2021-02-26,30,0.3218841120418168,3.005414827085315
2021-03-10,30,1.2576960630570015,4.302116419770427
2021-04-27,30,0.3857331158342419,2.9059345909833225
2022-08-26,30,0.5130327248422516,2.7480160857505327
2022-09-15,30,0.46547989055280725,2.0056894408567327
2022-11-11,30,0.2526296035737519,1.5143804218460255
2023-02-17,30,0.22290689628408508,1.6832690446395855
2023-06-08,30,0.2914959837312255,1.939536462123408
2023-07-10,30,0.28099844108342686,1.3791267508230824
2023-07-18,30,0.37634543430417383,1.7814941709295244
2023-08-28,30,0.2816873093554205,1.282359274792344
2023-10-11,30,0.26346448187208016,1.133131861050695
2023-11-02,30,0.9389849461968801,3.9146164260088216
2024-01-19,30,0.3555394078904885,3.040484381320942
2024-11-26,30,0.5415902802985116,2.1839352161354983
2025-03-25,30,0.3570900265919124,3.029268256079127
2025-05-23,30,0.3621683724746846,2.8906969462588092
2025-06-19,30,1.5772427245768528,3.120706917214199
2025-11-12,30,0.6351273802114479,1.5828904791150376
2026-08-20,30,0.9295421527175859,2.877742510976121
