trade_date,event_time,first_hour_open,first_hour_close,first_hour_return,signed_volume_imbalance,imbalance_magnitude,imbalance_threshold,pressure_side,price_direction_agrees,is_volume_imbalance_event
2021-01-12,2021-01-12 10:30:00,1.9993799,2.0086298,0.0046263844104863505,0.35681542241770053,0.35681542241770053,0.1503957182241398,buy_pressure,True,True
2021-01-15,2021-01-15 10:30:00,2.0007814,1.9968572,-0.0019613337069207537,-0.1895186258237495,0.1895186258237495,0.14872369754424947,sell_pressure,True,True
2021-01-19,2021-01-19 10:30:00,2.0195615,2.0150767,-0.0022206800832755835,0.16809666109314642,0.16809666109314642,0.14872369754424947,buy_pressure,False,True
2021-01-21,2021-01-21 10:30:00,2.029372,2.0425461,0.0064917127071824066,0.28220243053702126,0.28220243053702126,0.1503957182241398,buy_pressure,True,True
2021-01-25,2021-01-25 10:30:00,2.057402,2.0725382,0.007356948228882665,0.17593646584669506,0.17593646584669506,0.15358966147358868,buy_pressure,True,True
2021-01-28,2021-01-28 10:30:00,2.0159176,2.0136752,-0.0011123470522801382,0.17799389888209927,0.17799389888209927,0.15358966147358868,buy_pressure,False,True
2021-02-01,2021-02-01 10:30:00,1.9682666,1.9769559,0.00441469666761618,0.161514202818775,0.161514202818775,0.16007826325269683,buy_pressure,True,True
2021-02-03,2021-02-03 10:30:00,2.001342,1.9974178,-0.0019607843137255943,0.18520637976416693,0.18520637976416693,0.15358966147358868,buy_pressure,False,True
2021-02-09,2021-02-09 10:30:00,1.9606985,1.9831225,0.011436740528949274,0.20232191420801243,0.20232191420801243,0.1577744028566668,buy_pressure,True,True
2021-02-10,2021-02-10 10:30:00,2.004145,2.0080692,0.001958041958042056,-0.1799113718198171,0.1799113718198171,0.163818063214805,sell_pressure,False,True
2021-02-19,2021-02-19 10:30:00,2.0509551,2.043387,-0.0036900369003689537,-0.25753580392069925,0.25753580392069925,0.163818063214805,sell_pressure,True,True
2021-02-26,2021-02-26 10:30:00,1.9909709,1.9968572,0.0029564972546811674,-0.23762881890134518,0.23762881890134518,0.1577744028566668,sell_pressure,False,True
2021-03-01,2021-03-01 10:30:00,1.984524,2.0030238,0.009322033898305104,0.18480012264525797,0.18480012264525797,0.1577744028566668,buy_pressure,True,True
2021-03-08,2021-03-08 10:30:00,2.0002208,1.9932133,-0.0035033632286995964,0.16498071595041833,0.16498071595041833,0.1577744028566668,buy_pressure,False,True
2021-03-17,2021-03-17 10:30:00,1.9175323,1.9251004,0.003946791404765504,0.16159772669817934,0.16159772669817934,0.15567516980644722,buy_pressure,True,True
2021-03-18,2021-03-18 10:30:00,1.9326685,1.9407972,0.0042059463379260364,0.2305066883894188,0.2305066883894188,0.1577744028566668,buy_pressure,True,True
2021-03-19,2021-03-19 10:30:00,1.9281837,1.9385548,0.0053786887629014846,0.3434027083894175,0.3434027083894175,0.1577744028566668,buy_pressure,True,True
2021-03-30,2021-03-30 10:30:00,1.9405169,1.9441608,0.0018777986422071624,0.28700037273360357,0.28700037273360357,0.15398839003535378,buy_pressure,True,True
2021-04-06,2021-04-06 10:30:00,1.9679863,1.970509,0.0012818686796753909,0.3006058046989476,0.3006058046989476,0.15266014826204402,buy_pressure,True,True
2021-04-08,2021-04-08 10:30:00,1.9691075,1.9682666,-0.000427046263345221,0.187571796596953,0.187571796596953,0.15258610834724057,buy_pressure,False,True
2021-04-12,2021-04-12 10:30:00,1.9665848,1.9539713,-0.006413911060433208,-0.24925411216790588,0.24925411216790588,0.15398839003535378,sell_pressure,True,True
2021-04-22,2021-04-22 10:30:00,1.9993799,2.0038647,0.0022430954717509444,0.17851532263239334,0.17851532263239334,0.15079295430215275,buy_pressure,True,True
2021-04-26,2021-04-26 10:30:00,2.0105919,2.0332962,0.01129234629861986,0.3796337392419851,0.3796337392419851,0.15079295430215275,buy_pressure,True,True
2021-04-28,2021-04-28 10:30:00,2.0024632,2.0091904,0.0033594624860020517,0.2937394269813831,0.2937394269813831,0.15079295430215275,buy_pressure,True,True
2021-05-07,2021-05-07 10:30:00,2.0173191,2.0274099,0.005002084201750634,-0.30334060375350574,0.30334060375350574,0.15079295430215275,sell_pressure,False,True
2021-05-10,2021-05-10 10:30:00,2.0063874,2.0131146,0.0033528918692373733,0.19545181958779154,0.19545181958779154,0.15079295430215275,buy_pressure,True,True
2021-05-11,2021-05-11 10:30:00,2.0033041,1.9797589,-0.011753183153770719,-0.29007364789062645,0.29007364789062645,0.15258610834724057,sell_pressure,True,True
2021-05-12,2021-05-12 10:30:00,2.0021829,2.0080692,0.0029399412011759107,0.16586856101466688,0.16586856101466688,0.15258610834724057,buy_pressure,True,True
2021-05-17,2021-05-17 10:30:00,2.0375007,2.051796,0.0070160957490714715,0.16986007583431403,0.16986007583431403,0.15398839003535378,buy_pressure,True,True
2021-05-18,2021-05-18 10:30:00,2.0478718,2.0503945,0.0012318642211881503,0.2729057551966034,0.2729057551966034,0.15398839003535378,buy_pressure,True,True
2021-05-21,2021-05-21 10:30:00,2.0422658,2.0358189,-0.0031567389514135513,0.2309974452439155,0.2309974452439155,0.15079295430215275,buy_pressure,False,True
2021-05-25,2021-05-25 10:30:00,2.0403037,2.0560005,0.007693364473142061,0.3352494018729165,0.3352494018729165,0.15258610834724057,buy_pressure,True,True
2021-05-27,2021-05-27 10:30:00,2.0638489,2.0773033,0.006519081895966394,0.3826354791250729,0.3826354791250729,0.15607739739301826,buy_pressure,True,True
2021-06-04,2021-06-04 10:30:00,2.0747806,2.085432,0.005133747635774011,0.21677599127235153,0.21677599127235153,0.15079295430215275,buy_pressure,True,True
2021-06-10,2021-06-10 10:30:00,2.0896365,2.105053,0.007377598926894491,0.16879118303511978,0.16879118303511978,0.15079295430215275,buy_pressure,True,True
2021-06-17,2021-06-17 10:30:00,2.0498339,2.0610459,0.005469711472719796,0.26804126074498563,0.26804126074498563,0.15079295430215275,buy_pressure,True,True
2021-06-18,2021-06-18 10:30:00,2.0666519,2.0781442,0.005560830055608257,0.3583950818871041,0.3583950818871041,0.15079295430215275,buy_pressure,True,True
2021-06-21,2021-06-21 10:30:00,2.0823487,2.10225,0.009557140934177033,0.34308432827147284,0.34308432827147284,0.15079295430215275,buy_pressure,True,True
2021-06-23,2021-06-23 10:30:00,2.1103787,2.1072954,-0.0014610173993890863,0.17320550745291102,0.17320550745291102,0.15705338536848257,buy_pressure,False,True
2021-06-25,2021-06-25 10:30:00,2.1145832,2.1176665,0.001458112407210832,0.3625309239322074,0.3625309239322074,0.1668914787218254,buy_pressure,True,True
2021-06-30,2021-06-30 10:30:00,2.1199089,2.1232725,0.0015866719555732711,0.20076855019688403,0.20076855019688403,0.1668914787218254,buy_pressure,True,True
2021-07-06,2021-07-06 10:30:00,2.1005682,2.1058939,0.002535361622631349,0.3310619518634472,0.3310619518634472,0.1668914787218254,buy_pressure,True,True
2021-07-07,2021-07-07 10:30:00,2.088235,2.10225,0.006711409395973256,0.1742684445843003,0.1742684445843003,0.16916529551483778,buy_pressure,True,True
2021-07-14,2021-07-14 10:30:00,2.1840976,2.1740068,-0.00462012320328542,-0.24038526535759877,0.24038526535759877,0.1668914787218254,sell_pressure,True,True
2021-07-15,2021-07-15 10:30:00,2.1672796,2.1546661,-0.005819968960165567,-0.3800862401880984,0.3800862401880984,0.16916529551483778,sell_pressure,True,True
2021-07-28,2021-07-28 10:30:00,2.1030909,2.096644,-0.003065440490470639,-0.3571422010312399,0.3571422010312399,0.16464142584747826,sell_pressure,True,True
2021-08-04,2021-08-04 10:30:00,2.1437344,2.1669993,0.010852510460251041,0.46770866566188846,0.46770866566188846,0.15370302108462383,buy_pressure,True,True
2021-08-05,2021-08-05 10:30:00,2.1714841,2.1776507,0.0028398089583066,0.2989711041638241,0.2989711041638241,0.15370302108462383,buy_pressure,True,True
2021-08-10,2021-08-10 10:30:00,2.1897036,2.2062413000000003,0.007552483358935103,0.3974154348797723,0.3974154348797723,0.15370302108462383,buy_pressure,True,True
2021-08-11,2021-08-11 10:30:00,2.2068019,2.2076428,0.0003810491553410955,0.46520002403836125,0.46520002403836125,0.15370302108462383,buy_pressure,True,True
2021-08-12,2021-08-12 10:30:00,2.2202563,2.2331501,0.005807347557126752,0.40698649178415985,0.40698649178415985,0.15370302108462383,buy_pressure,True,True
2021-08-16,2021-08-16 10:30:00,2.2334304,2.2250214,-0.003765060240963791,-0.2842020335031517,0.2842020335031517,0.1656643435546368,sell_pressure,True,True
2021-08-23,2021-08-23 10:30:00,2.1812946,2.2084837,0.012464662040606367,0.5698157904983228,0.5698157904983228,0.15160700672591124,buy_pressure,True,True
2021-08-24,2021-08-24 10:30:00,2.217173,2.228385,0.005056890012642201,0.26682738266153294,0.26682738266153294,0.16008806266270167,buy_pressure,True,True
2021-08-27,2021-08-27 10:30:00,2.236794,2.245203,0.003759398496240518,-0.16610317321610693,0.16610317321610693,0.1656643435546368,sell_pressure,False,True
2021-08-30,2021-08-30 10:30:00,2.262021,2.2827632,0.009169764560099214,0.2942574393365531,0.2942574393365531,0.16704397665276144,buy_pressure,True,True
2021-09-02,2021-09-02 10:30:00,2.2600589,2.2855662,0.011286121790896608,0.24492140517171124,0.24492140517171124,0.16704397665276144,buy_pressure,True,True
2021-09-03,2021-09-03 10:30:00,2.312475,2.3079902,-0.0019393939393940185,-0.20806850157607443,0.20806850157607443,0.17033619658134672,sell_pressure,True,True
2021-09-07,2021-09-07 10:30:00,2.3088311,2.3351793,0.011411921816195214,0.3457974020142219,0.3457974020142219,0.17357753544889726,buy_pressure,True,True
2021-09-14,2021-09-14 10:30:00,2.404974,2.4136633,0.0036130536130536406,0.21093550184115284,0.21093550184115284,0.1647235401179823,buy_pressure,True,True
2021-09-17,2021-09-17 10:30:00,2.3388232,2.3365808,-0.0009587727708533222,-0.18878663232318743,0.18878663232318743,0.1647235401179823,sell_pressure,True,True
2021-09-27,2021-09-27 10:30:00,2.3273309,2.2830435,-0.019029266530170008,-0.2232936874134948,0.2232936874134948,0.14796300089936398,sell_pressure,True,True
