period,champion_return,challenger_return,return_delta,champion_max_drawdown,challenger_max_drawdown,max_drawdown_delta,champion_sharpe,challenger_sharpe,sharpe_delta
2021_2025,0.7699865045469618,0.9257896654255948,0.155803160878633,-0.2551487317445502,-0.21595737134825022,0.0391913603963,0.7342490225522434,0.8259089918521363,0.09165996929989284
2021,-0.00619914062358029,0.03601267434984279,0.04221181497342308,-0.1812898546014765,-0.10372192165904237,0.07756793294243414,0.05300635265283405,0.3806147565846551,0.32760840393182106
2022,0.07661831985256495,0.07493793268567028,-0.0016803871668946702,-0.0854180176971977,-0.08177204662783455,0.003645971069363152,0.6370395335320825,0.6226372496000274,-0.014402283932055115
2023,-0.050372752649808894,-0.06058336988806545,-0.010210617238256559,-0.1508975380849421,-0.1500865519704091,0.0008109861145330077,-0.34463972717980246,-0.43086582895691283,-0.08622610177711038
2024,0.22170505734424073,0.238349540414325,0.01664448307008426,-0.18231540565177773,-0.1823154056517775,2.220446049250313e-16,0.8682122887851095,0.912017102163035,0.04380481337792552
2025,0.4311143133322253,0.491914537900908,0.060800224568682726,-0.14102529516436368,-0.14982884265169782,-0.00880354748733414,1.9559098664199772,2.175478958800521,0.21956909238054356
