hypothesis_id,exit_bars,regime,episodes,mean_return,median_return,win_rate,profit_factor,cagr,max_drawdown,calmar
M01,3,range,479,-0.0010612937969559874,-0.00119928043174089,0.29227557411273486,0.3305539025824529,-0.08596138560404998,-0.3997616666607632,-0.21503158700055303
M01,3,trend_down,229,-0.001052113610475254,-0.00153877761718213,0.3231441048034934,0.4521330722416414,-0.041830180926275884,-0.2183551729679597,-0.19156945245539855
M01,3,trend_up,272,-0.0014781030318544316,-0.0014706680336851186,0.28308823529411764,0.2305684679855551,-0.0686298711311617,-0.32777168761370357,-0.209383158230694
M02,3,range,469,-0.0012203482865755766,-0.00119928043174089,0.26439232409381663,0.26987227103710354,-0.09621408783954166,-0.4452796047076849,-0.21607566756331417
M02,3,trend_down,211,-0.0012374674096394395,-0.00119928043174089,0.2559241706161137,0.26709345371556176,-0.045109169413390604,-0.23076968053632074,-0.19547268648357335
M02,3,trend_up,286,-0.0011233632391445887,-0.0010500958735592536,0.33916083916083917,0.36645367816301183,-0.055288725939911854,-0.2752156072557431,-0.20089240756079288
M03,3,range,468,-0.0014207836699537543,-0.0014469624187498087,0.23717948717948717,0.20153215855251233,-0.11083016830599413,-0.49420606759191665,-0.2242590198174388
M03,3,trend_down,241,-0.0013432462922542423,-0.0013729849047092735,0.23236514522821577,0.22401153602696935,-0.05560039519003257,-0.2746047922215553,-0.20247423484573907
M03,3,trend_up,284,-0.001076945929549351,-0.001061662515235151,0.29225352112676056,0.33468026471443907,-0.052720625883251326,-0.2636549216190387,-0.1999607121289722
M04,3,range,496,-0.001141063413469257,-0.00119928043174089,0.3024193548387097,0.34172221546917614,-0.09527829435854296,-0.43774045841021636,-0.21765932878257174
M04,3,trend_down,220,-0.0009291043797292226,-0.001199280431741001,0.33181818181818185,0.49771638539422325,-0.03564853712912752,-0.2153771421211832,-0.16551680822781864
M04,3,trend_up,303,-0.001055926509440606,-0.0010696838676345077,0.297029702970297,0.37787643450023695,-0.05505620126973698,-0.27359551650923164,-0.20123210340648723
M05,3,range,406,-0.0011664603130669177,-0.001199280431741001,0.27586206896551724,0.32449128543400846,-0.08035575593430455,-0.38786139590467295,-0.20717647278837226
M05,3,trend_down,192,-0.001063314509877929,-0.001133370393495703,0.3229166666666667,0.35342789254533613,-0.03547318685626344,-0.18657913541966364,-0.19012408207635476
M05,3,trend_up,232,-0.0014568061925039257,-0.001199280431741001,0.3232758620689655,0.2837929768596027,-0.05805026828570248,-0.2880485526838239,-0.20152945656151683
M06,3,range,495,-0.0010399059478284102,-0.00119928043174089,0.2727272727272727,0.32744984061965926,-0.08698114352326214,-0.40272422308600586,-0.215981901601897
M06,3,trend_down,223,-0.0007443082011326057,-0.0009908930502331437,0.3811659192825112,0.5731651780481914,-0.029111852626578116,-0.16387417381857472,-0.1776475935665609
M06,3,trend_up,288,-0.0012956168127157305,-0.0013472643518780414,0.2569444444444444,0.25801988905148915,-0.06383299957146726,-0.30694085212315514,-0.20796514745406156
M07,3,range,584,-0.0010936068379528091,-0.001199280431741001,0.285958904109589,0.33900041410065695,-0.10682980436934264,-0.4737564214282728,-0.22549521133090705
M07,3,trend_down,284,-0.0009965633825196655,-0.001380036177522137,0.2746478873239437,0.4565774703499196,-0.04894159277310994,-0.26162239826133926,-0.1870695823383643
M07,3,trend_up,357,-0.0013024339378125357,-0.0013548326384950071,0.27450980392156865,0.32606600474911135,-0.07905003386412524,-0.37437163369857585,-0.21115390897316788
M01,6,range,466,-0.0011196267977234935,-0.0010667676631200829,0.34763948497854075,0.41211937565771095,-0.0883154711182712,-0.41059137214911356,-0.21509334367161975
M01,6,trend_down,220,-0.0014408847544539148,-0.0017685448691826533,0.3090909090909091,0.42136444488897157,-0.054717147797286314,-0.2776135087957168,-0.19709828975775884
M01,6,trend_up,262,-0.0014781368690346803,-0.0014903932545713983,0.3053435114503817,0.3496839489034969,-0.06635870526264276,-0.32091115783977675,-0.20678216896333057
M02,6,range,447,-0.0011715851454991318,-0.0010384947396017141,0.3422818791946309,0.41346070411974495,-0.08872630152965821,-0.4236891862876401,-0.20941365605074105
M02,6,trend_down,193,-0.001219326716928672,-0.001199280431741001,0.29533678756476683,0.38926298132020176,-0.04086199475806229,-0.2124851765872886,-0.19230515471405715
M02,6,trend_up,274,-0.0012162063253465356,-0.0008651701709035398,0.4051094890510949,0.43591229675269705,-0.05742579589978569,-0.2923484462837038,-0.19642928371870993
M03,6,range,452,-0.0013589765457218278,-0.0013593107166959273,0.3053097345132743,0.3396536645267489,-0.10304309226552744,-0.4696731534540043,-0.2193931918563844
M03,6,trend_down,235,-0.0013402773764413572,-0.001408541005712749,0.31063829787234043,0.3458817466431133,-0.05424002788572102,-0.2728231360576602,-0.1988102206781231
M03,6,trend_up,270,-0.0012117898998664429,-0.0011360971878411896,0.34814814814814815,0.45020219774074166,-0.0564606672740513,-0.281103538248505,-0.20085363430800424
M04,6,range,470,-0.0011559501172245556,-0.0010578043354782518,0.35319148936170214,0.43214150677316077,-0.0918239286170236,-0.4385336066224933,-0.20938857873227762
M04,6,trend_down,212,-0.0010032502432305124,-0.001365764339857689,0.3490566037735849,0.5839350684428651,-0.03725665567603409,-0.2203862621071342,-0.16905162472388083
