hypothesis_id,exit_bars,terminal_equity,cagr,max_drawdown,calmar,static_terminal_equity,static_cagr,static_max_drawdown,static_calmar,full_buyhold_terminal_equity,full_buyhold_cagr,full_buyhold_max_drawdown,full_buyhold_calmar,incremental_terminal_return_vs_static
M01,3,0.8169494769819516,-0.0347976495905401,-0.41439384394933054,-0.08397240957757794,1.1596058978112689,0.026434177219925914,-0.21515895921604933,0.1228588264055616,1.3192117956225378,0.050022700401032516,-0.3947213062817094,0.1267291620820988,-0.29549385828070884
M02,3,0.8165163171691481,-0.03508569520005578,-0.41710191872874935,-0.08411779861140553,1.1596058978112689,0.026434177219925914,-0.21515895921604933,0.1228588264055616,1.3192117956225378,0.050022700401032516,-0.3947213062817094,0.1267291620820988,-0.295867398820319
M03,3,0.7960404670409235,-0.039393823298792374,-0.4444816610746226,-0.08862868088539354,1.1596058978112689,0.026434177219925914,-0.21515895921604933,0.1228588264055616,1.3192117956225378,0.050022700401032516,-0.3947213062817094,0.1267291620820988,-0.3135249928070971
M04,3,0.8267572320271636,-0.03276601127321099,-0.4158488972650719,-0.07879307000380276,1.1596058978112689,0.026434177219925914,-0.21515895921604933,0.1228588264055616,1.3192117956225378,0.050022700401032516,-0.3947213062817094,0.1267291620820988,-0.28703602354243796
M05,3,0.8399324410551566,-0.030266685162797957,-0.3961514288329049,-0.07640180738957861,1.1596058978112689,0.026434177219925914,-0.21515895921604933,0.1228588264055616,1.3192117956225378,0.050022700401032516,-0.3947213062817094,0.1267291620820988,-0.27567422463053093
M06,3,0.8330909954821033,-0.03146452359484031,-0.40558697849674474,-0.07757774599041484,1.1596058978112689,0.026434177219925914,-0.21515895921604933,0.1228588264055616,1.3192117956225378,0.050022700401032516,-0.3947213062817094,0.1267291620820988,-0.2815740269564474
M07,3,0.7837216241515107,-0.04183346020523493,-0.4309553512986032,-0.09707144853678609,1.1596058978112689,0.026434177219925914,-0.21515895921604933,0.1228588264055616,1.3192117956225378,0.050022700401032516,-0.3947213062817094,0.1267291620820988,-0.3241482941482374
M01,6,0.8051918953106367,-0.03736742875960142,-0.43298583046320493,-0.08630173583192324,1.1596058978112689,0.026434177219925914,-0.21515895921604933,0.1228588264055616,1.3192117956225378,0.050022700401032516,-0.3947213062817094,0.1267291620820988,-0.3056331493049328
M02,6,0.8260795912819492,-0.03310400381120959,-0.4192956938972806,-0.07895145190620402,1.1596058978112689,0.026434177219925914,-0.21515895921604933,0.1228588264055616,1.3192117956225378,0.050022700401032516,-0.3947213062817094,0.1267291620820988,-0.28762039513497073
M03,6,0.8009292535138178,-0.038356996273417376,-0.44318777402586085,-0.08654795669336125,1.1596058978112689,0.026434177219925914,-0.21515895921604933,0.1228588264055616,1.3192117956225378,0.050022700401032516,-0.3947213062817094,0.1267291620820988,-0.3093090893849759
