hypothesis_id,exit_bars,year,episodes,mean_return,median_return,win_rate,profit_factor,cagr,max_drawdown,calmar
M01,3,2021,162,-0.0009678422153951962,-0.0009280551991275865,0.2962962962962963,0.27645310721580174,-0.14544364097781282,-0.1450700250191408,-1.0025754180343094
M01,3,2022,179,-0.0011004879191817785,-0.001029848587878801,0.37988826815642457,0.37716353527598023,-0.17960774103145005,-0.17529291695785,-1.024614936806817
M01,3,2023,174,-0.0013388989548123547,-0.001508723376353327,0.20114942528735633,0.1777547271184822,-0.20821783052833764,-0.21108110331427776,-0.9864352007783614
M01,3,2024,178,-0.001245671985587206,-0.0016973599198787936,0.29775280898876405,0.42529035416188354,-0.2001159063833874,-0.2084488637115095,-0.9600239733632954
M01,3,2025,173,-0.0010292667011195895,-0.0013320467110932155,0.2832369942196532,0.32496792086392307,-0.16360646955733948,-0.1678719859835499,-0.9745906596552184
M01,3,2026,114,-0.0014456037097546927,-0.001677622097473741,0.3333333333333333,0.35565574396539473,-0.15262955225359376,-0.155893960067924,-0.9790600751119035
M02,3,2021,164,-0.000707286144342953,-0.000785424295376147,0.3719512195121951,0.478917114930734,-0.11000299135079783,-0.12337188635663343,-0.8916374272888242
M02,3,2022,172,-0.0010825684577505056,-0.0010360992900852461,0.31976744186046513,0.3681847235348678,-0.1705624773053972,-0.16805061196215565,-1.0149470764427042
M02,3,2023,171,-0.0011825938810352478,-0.00119928043174089,0.1871345029239766,0.17367141746795628,-0.18338274185807002,-0.18393069271852103,-0.997020884049572
M02,3,2024,170,-0.0012988525483633169,-0.0013712939824411796,0.3176470588235294,0.3083414767544851,-0.19886150009330616,-0.2007538178913395,-0.9905739386781796
M02,3,2025,171,-0.001338949321833625,-0.00119928043174089,0.25146198830409355,0.21833190399024896,-0.2051839821933269,-0.20390485795960178,-1.0062731425161953
M02,3,2026,118,-0.0016995367196232815,-0.0014384007844975844,0.2542372881355932,0.2656209366116182,-0.1824453636250677,-0.1882193703043208,-0.9693229943872543
M03,3,2021,163,-0.0010733108261357775,-0.001065929200823934,0.2883435582822086,0.24312873645216881,-0.16088337987855883,-0.16441893613139924,-0.9784966602021139
M03,3,2022,171,-0.00146019316812872,-0.0015939593251422801,0.2807017543859649,0.21536899318451688,-0.2214968017264044,-0.22178801325695563,-0.9986869825547613
M03,3,2023,183,-0.0013745299394562727,-0.001362643323394197,0.1366120218579235,0.08274972432785793,-0.22269135767185733,-0.22265683835858874,-1.000155033699046
M03,3,2024,180,-0.0012461522265186553,-0.0014724581986874652,0.2777777777777778,0.36358883336969,-0.20207938054304564,-0.20195349131623463,-1.0006233575165773
M03,3,2025,173,-0.001012168144822831,-0.0010643255986686473,0.2832369942196532,0.2639998728873368,-0.16098884843795203,-0.1665295422999944,-0.9667284627969427
M03,3,2026,123,-0.00177973652687233,-0.0020234705810956433,0.25203252032520324,0.2595821042914369,-0.19730459313480597,-0.20517979141737064,-0.961618060783846
M04,3,2021,187,-0.0013444782873790052,-0.001199280431741001,0.25133689839572193,0.21563668623182608,-0.2228221399602176,-0.22863642188927202,-0.9745697475449897
M04,3,2022,169,-0.001736722920702547,-0.001486498467562103,0.2485207100591716,0.18877116321563903,-0.25504278505032985,-0.25101443394320977,-1.016048284729441
M04,3,2023,171,-0.0011953370931916188,-0.001199280431741001,0.23391812865497075,0.2183454868588067,-0.18524159554977948,-0.1920247399965097,-0.9646756743591814
M04,3,2024,167,-5.094852992479675e-05,-0.0006308110409792844,0.41916167664670656,0.9643994267603822,-0.009817880618647523,-0.08842135227650194,-0.1110351783350483
M04,3,2025,193,-0.0013926603378201566,-0.001335153200013095,0.3005181347150259,0.2741723312033509,-0.23643417481391482,-0.2272313752374865,-1.0404996870120167
M04,3,2026,132,-0.00048256093189834526,-0.0005764504968232553,0.42424242424242425,0.7204345373485788,-0.06265885435546581,-0.08150675714791733,-0.7687565613946999
M05,3,2021,129,-0.0011272907464160492,-0.0013281246938110502,0.29457364341085274,0.316872785561109,-0.13579454935245772,-0.14395669548461365,-0.9433013788995434
M05,3,2022,157,-0.0010522753406861588,-0.00119928043174089,0.3184713375796178,0.412891223185363,-0.15300334642460567,-0.15270822952498198,-1.0019325539988362
M05,3,2023,149,-0.0012102235252913639,-0.0010383392909790734,0.2483221476510067,0.16710081893564085,-0.1652796980093887,-0.16264176136939512,-1.0162193068851624
M05,3,2024,153,-0.0012222960932464142,-0.001199280431741001,0.32679738562091504,0.34161785540133194,-0.17124762252580794,-0.16949916554244715,-1.010315431216226
M05,3,2025,140,-0.0012803802438439427,-0.0010189892143793733,0.30714285714285716,0.25248459935311685,-0.16465061898967448,-0.1619915187615365,-1.0164150583219878
M05,3,2026,102,-0.0015539483648429205,-0.001591405611905794,0.30392156862745096,0.3762609235618571,-0.1473770099814431,-0.16717064456948283,-0.881596229774584
M06,3,2021,175,-0.001050955354670948,-0.001199280431741001,0.28,0.27095353892942603,-0.16837563941502298,-0.1674662349594458,-1.0054303749994584
M06,3,2022,184,-0.0008253656448019672,-0.0010770558595982749,0.3532608695652174,0.5220250491153106,-0.14207912577019188,-0.141426084164873,-1.0046175471036698
M06,3,2023,175,-0.0011379259737349617,-0.00119928043174089,0.21714285714285714,0.2046741716845596,-0.18091030862775437,-0.1838723319126626,-0.9838908700722022
M06,3,2024,182,-0.0012794901430946012,-0.001585016757623181,0.3076923076923077,0.36729848546219723,-0.20867943148322787,-0.2151007549606686,-0.9701473689452421
M06,3,2025,176,-0.0008811655218206278,-0.001129784138979295,0.30113636363636365,0.4090086762964064,-0.14420755642397376,-0.14274152559761843,-1.0102705279365445
M06,3,2026,114,-0.0011491049657150918,-0.0013828632796559215,0.2894736842105263,0.3649532317224558,-0.12327100185595863,-0.12612153724798092,-0.9773985042188508
M07,3,2021,219,-0.0011093991023245237,-0.0010565538356323012,0.2694063926940639,0.23117135998475577,-0.21615924968596611,-0.21444352621527563,-1.0080008172826262
M07,3,2022,211,-0.0007646601613100895,-0.0013358405519992012,0.3222748815165877,0.5453330990107689,-0.15002679274730046,-0.15065862767174032,-0.9958061816027124
M07,3,2023,217,-0.0012003411883272164,-0.0013544942187757592,0.2119815668202765,0.2090292786041512,-0.22974574827607963,-0.24243406014468738,-0.9476628330976463
M07,3,2024,219,-0.001333181441281184,-0.0015624806934021462,0.2831050228310502,0.3817200338063065,-0.25483321361990974,-0.25539887350516177,-0.9977851903671744
M07,3,2025,210,-0.001058389986979702,-0.001480713833492353,0.2857142857142857,0.3879443062436983,-0.20002145594386156,-0.20638167005407382,-0.9691822722989604
M07,3,2026,149,-0.0013936573260421377,-0.0015540521767923865,0.3221476510067114,0.39178670937780913,-0.18855740333904036,-0.19263294763780392,-0.9788429531461744
M01,6,2021,158,-0.0008305768703582593,-0.0009174184076509162,0.37341772151898733,0.4501635249147694,-0.12353574422433156,-0.12392420034626872,-0.9968653731809304
M01,6,2022,176,-0.0014882129236361002,-0.0013592465317696645,0.32386363636363635,0.3601044501617888,-0.23161121975431775,-0.22553925961681465,-1.0269219653723223
M01,6,2023,168,-0.0012902581716124554,-0.0013797168441881391,0.2857142857142857,0.2950249816856185,-0.19546945716333108,-0.2042913697566553,-0.9568170079635152
M01,6,2024,169,-0.0018839958174765902,-0.0022889604661815444,0.3076923076923077,0.35539024510670597,-0.2744866737657323,-0.28182988929977615,-0.9739445111649141
M01,6,2025,168,-0.0009467266461139033,-0.0010241149201050126,0.30952380952380953,0.46047632060533217,-0.14782147668809187,-0.15166753392294707,-0.9746415258732357
M01,6,2026,109,-0.0012719929431005946,-0.0014351804599810336,0.3853211009174312,0.516303186656729,-0.13080771456624674,-0.13838461583725126,-0.9452475173980652
M02,6,2021,155,-0.0004876447138237227,-9.874095131556793e-05,0.4838709677419355,0.6735334619465584,-0.07365907843821251,-0.08708200100078034,-0.8458588180300595
M02,6,2022,162,-0.001126315511721815,-0.001052816129117784,0.37037037037037035,0.4814638709064602,-0.1680543567139663,-0.16614377218670418,-1.0114995855825104
M02,6,2023,165,-0.00131947682773005,-0.001042581228796191,0.24848484848484848,0.2114216131187074,-0.1961082140010284,-0.19787453448694658,-0.991073533082476
M02,6,2024,157,-0.0012664769876167808,-0.0013777333028448524,0.33121019108280253,0.42867902341869535,-0.18142467452374167,-0.18082919035801304,-1.0032930754406943
M02,6,2025,160,-0.001097601449979741,-0.0008608755108211463,0.35,0.38824512974450825,-0.16209092777761147,-0.1654441137874162,-0.9797322132952199
M02,6,2026,115,-0.0021048200902663815,-0.001905812419173869,0.3217391304347826,0.3534088351858883,-0.21646811178364056,-0.23397745710958262,-0.9251665286808309
M03,6,2021,159,-0.0012112826058927955,-0.0010598804708801257,0.37735849056603776,0.34737264151044733,-0.17589834476226907,-0.17659848281364598,-0.9960354243127008
M03,6,2022,163,-0.0015255585019749362,-0.001199280431741001,0.34355828220858897,0.35016765642048725,-0.22131559388074673,-0.21950487370802885,-1.0082491114758863
M03,6,2023,177,-0.0012349777030196557,-0.001362696779837802,0.23163841807909605,0.24164472557073993,-0.19677628651430323,-0.1947477465541061,-1.0104162435565516
M03,6,2024,176,-0.001323856145723354,-0.0017405115642951663,0.30113636363636365,0.4698987245706171,-0.20950657671472162,-0.20819098509699996,-1.0063191574654815
M03,6,2025,167,-0.0009417737059153938,-0.0009171333358176659,0.33532934131736525,0.40541206239351746,-0.14613129645930256,-0.15560323488654204,-0.9391276252441285
M03,6,2026,115,-0.0017937386170903955,-0.0023842379825398385,0.3391304347826087,0.3874450572165277,-0.18758900165292036,-0.20493029015151865,-0.9153795737771283
M04,6,2021,176,-0.0010896917313670035,-0.000884084324915102,0.38636363636363635,0.41786653965568243,-0.17541554012827854,-0.19428815536922373,-0.9028627596722002
M04,6,2022,162,-0.0017901679771258874,-0.0015364898082199097,0.30864197530864196,0.2952949482599237,-0.2528607689609955,-0.2488606404061362,-1.01607376943309
M04,6,2023,168,-0.001325920695974231,-0.0012778519169178715,0.2619047619047619,0.2936707973569607,-0.2002962216847035,-0.2097581073567376,-0.9548914423796636
