year,rows,minimum,median,maximum,same_day_ratio
2020,34,1,1.0,21,0.0
2021,243,1,1.0,27,0.0
2022,243,1,1.0,26,0.0
2023,244,1,1.0,25,0.0
2024,244,1,1.0,25,0.0
2025,243,1,1.0,28,0.0
2026,162,0,1.0,22,0.4074074074074074
