signal_date,entry_date,exit_date,entry_price,exit_price,net_return,baseline_entry_before_exit,path_id,factor_name,direction,holding_sessions
2021-02-18,2021-02-19,2021-02-24,1.455,1.422,-0.023657243543176887,False,P001,raw__30m__cxt_bi_status_V230101,CONTINUATION,3
2021-03-01,2021-03-02,2021-03-05,1.394,1.348,-0.03396508345540261,False,P001,raw__30m__cxt_bi_status_V230101,CONTINUATION,3
2021-03-10,2021-03-11,2021-03-16,1.272,1.25,-0.018277810780144343,False,P001,raw__30m__cxt_bi_status_V230101,CONTINUATION,3
2021-03-16,2021-03-17,2021-03-22,1.244,1.253,0.0062279953270953925,False,P001,raw__30m__cxt_bi_status_V230101,CONTINUATION,3
2021-03-22,2021-03-23,2021-03-26,1.269,1.251,-0.015169720104486584,True,P001,raw__30m__cxt_bi_status_V230101,CONTINUATION,3
2021-04-13,2021-04-14,2021-04-19,1.271,1.3,0.021794374252684934,True,P001,raw__30m__cxt_bi_status_V230101,CONTINUATION,3
2021-05-12,2021-05-13,2021-05-18,1.288,1.356,0.05174276215929319,True,P001,raw__30m__cxt_bi_status_V230101,CONTINUATION,3
2021-07-20,2021-07-21,2021-07-26,1.573,1.598,0.014877812206420593,False,P001,raw__30m__cxt_bi_status_V230101,CONTINUATION,3
2021-07-27,2021-07-28,2021-08-02,1.568,1.622,0.03340485369560131,True,P001,raw__30m__cxt_bi_status_V230101,CONTINUATION,3
2021-08-09,2021-08-10,2021-08-13,1.604,1.614,0.005228682416896335,False,P001,raw__30m__cxt_bi_status_V230101,CONTINUATION,3
2021-08-16,2021-08-17,2021-08-20,1.587,1.571,-0.011071338936706643,False,P001,raw__30m__cxt_bi_status_V230101,CONTINUATION,3
2021-08-23,2021-08-24,2021-08-27,1.605,1.54,-0.041457464414210166,True,P001,raw__30m__cxt_bi_status_V230101,CONTINUATION,3
2021-09-06,2021-09-07,2021-09-10,1.466,1.436,-0.021442893832756105,False,P001,raw__30m__cxt_bi_status_V230101,CONTINUATION,3
2021-09-14,2021-09-15,2021-09-22,1.435,1.383,-0.03720021522339867,False,P001,raw__30m__cxt_bi_status_V230101,CONTINUATION,3
2021-09-22,2021-09-23,2021-09-28,1.4,1.411,0.006849789391018879,False,P001,raw__30m__cxt_bi_status_V230101,CONTINUATION,3
2021-09-30,2021-10-08,2021-10-13,1.414,1.358,-0.04056387647760262,False,P001,raw__30m__cxt_bi_status_V230101,CONTINUATION,3
2021-10-13,2021-10-14,2021-10-19,1.378,1.385,0.004075248297476852,True,P001,raw__30m__cxt_bi_status_V230101,CONTINUATION,3
2022-01-11,2022-01-12,2022-01-17,1.339,1.35,0.007207374654719212,True,P001,raw__30m__cxt_bi_status_V230101,CONTINUATION,3
2022-01-24,2022-01-25,2022-01-28,1.344,1.283,-0.04634104078912937,False,P001,raw__30m__cxt_bi_status_V230101,CONTINUATION,3
2022-01-28,2022-02-07,2022-02-10,1.279,1.249,-0.02443188101023741,False,P001,raw__30m__cxt_bi_status_V230101,CONTINUATION,3
2022-02-15,2022-02-16,2022-02-21,1.239,1.24,-0.0001932044470096539,False,P001,raw__30m__cxt_bi_status_V230101,CONTINUATION,3
2022-03-04,2022-03-07,2022-03-10,1.23,1.185,-0.03754829902122103,False,P001,raw__30m__cxt_bi_status_V230101,CONTINUATION,3
