scenario_id,window_id,metric,standard_advantage,stress_advantage,advantage_shrinkage
fee_x2,2021,net_cagr,0.0010187939248492706,0.001000100390475156,0.018348690464443318
fee_x2,2021,max_drawdown,-0.0003125459180371992,-0.00031464161685867964,
fee_x2,2021,calmar,0.0064370630940839,0.006211259465660951,0.03507867254407959
fee_x2,2021,profit_factor,0.0002901765698581915,-0.0036770241750768706,13.671678409024624
fee_x2,2022,net_cagr,0.053678794036955635,0.05303790801022812,0.011939277664961945
fee_x2,2022,max_drawdown,0.012026553616150903,0.012889255985535919,-0.071733132942297
fee_x2,2022,calmar,0.6088649948536458,0.5789670489694208,0.0491043928242445
fee_x2,2022,profit_factor,0.33264366994316585,0.31528057742394044,0.05219727320285994
fee_x2,2023,net_cagr,0.01120827317638784,0.00801515204054648,0.28488966012786154
fee_x2,2023,max_drawdown,0.011588381913038015,0.013608227839134956,-0.17429921979223217
fee_x2,2023,calmar,0.06349178967224375,0.030214284672418795,0.524122964112518
fee_x2,2023,profit_factor,0.10683376791190635,0.10344821063086729,0.03168995484490211
fee_x2,2024,net_cagr,0.06290316678616348,0.06207820067670111,0.013114858148029374
fee_x2,2024,max_drawdown,-1.0224635581534969e-06,3.3010551774292907e-06,
fee_x2,2024,calmar,0.3450196740238358,0.3405305953086539,0.01301108039094534
fee_x2,2024,profit_factor,0.749204760746029,0.6995944473367084,0.06621729600319226
fee_x2,2025,net_cagr,0.049628545943901425,0.04896463643221316,0.01337757331110867
fee_x2,2025,max_drawdown,0.022105739793054524,0.02202420283629103,0.0036884970838710895
fee_x2,2025,calmar,1.0923167394601165,1.0124742304585301,0.0730946493057032
fee_x2,2025,profit_factor,2.4315967681952033,2.1200605084865893,0.1281200336270576
fee_x2,2026_ytd,net_cagr,0.14159646515882196,0.14003268834453886,0.011043897264872315
fee_x2,2026_ytd,max_drawdown,-6.809080486558372e-06,-4.093135863802999e-06,
fee_x2,2026_ytd,calmar,1.1709847523179207,1.1582671432724343,0.010860610285755024
fee_x2,2026_ytd,profit_factor,30.5337188978773,25.343597559320145,0.1699799934595576
fee_x2,full,net_cagr,0.041265943516339165,0.04004077365475989,0.029689612236641905
